project,file,line,rule,verdict,reason,provenance,confidence
lua,lauxlib.c,47,MEM05-C,FP,findfield recursion bounded to depth 2 by design; no real stack risk,precision_audit,high
lua,lauxlib.c,127,API00-C,FP,L is a required LUALIB_API parameter; NULL-check contract is caller's,precision_audit,high
lua,lauxlib.c,127,API00-C,FP,L1 is a required LUALIB_API parameter; NULL-check contract is caller's,precision_audit,high
lua,lauxlib.c,127,DCL15-C,FP,LUALIB_API expands to visibility attribute; symbol is declared in lauxlib.h,precision_audit,high
lua,lauxlib.c,171,API00-C,FP,extramsg is required LUALIB_API parameter; caller contract,precision_audit,high
lua,lauxlib.c,171,DCL15-C,FP,LUALIB_API public symbol declared in lauxlib.h,precision_audit,high
lua,lauxlib.c,171,DCL19-C,FP,luaL_argerror is a public API symbol exported via lauxlib.h,precision_audit,high
lua,lauxlib.c,197,API00-C,FP,L is required LUALIB_API parameter; caller contract,precision_audit,high
lua,lauxlib.c,197,API00-C,FP,tname is required LUALIB_API parameter; caller contract,precision_audit,high
lua,lauxlib.c,197,DCL15-C,FP,LUALIB_API public symbol declared in lauxlib.h,precision_audit,high
lua,lauxlib.c,197,DCL19-C,FP,luaL_typeerror is public API exported via lauxlib.h,precision_audit,high
lua,lauxlib.c,220,API00-C,FP,L is required LUALIB_API parameter; caller contract,precision_audit,high
lua,lauxlib.c,220,DCL15-C,FP,LUALIB_API public symbol declared in lauxlib.h,precision_audit,high
lua,lauxlib.c,220,DCL19-C,FP,luaL_where is public API exported via lauxlib.h,precision_audit,high
lua,lauxlib.c,238,API00-C,FP,L is required LUALIB_API parameter; caller contract,precision_audit,high
lua,lauxlib.c,238,API00-C,FP,fmt is required LUALIB_API parameter; caller contract,precision_audit,high
lua,lauxlib.c,238,DCL15-C,FP,LUALIB_API public symbol declared in lauxlib.h,precision_audit,high
lua,lauxlib.c,238,DCL19-C,FP,luaL_error is public API exported via lauxlib.h,precision_audit,high
lua,lauxlib.c,249,DCL15-C,FP,LUALIB_API public symbol declared in lauxlib.h,precision_audit,high
lua,lauxlib.c,249,DCL19-C,FP,luaL_fileresult is public API exported via lauxlib.h,precision_audit,high
lua,lauxlib.c,258,CON33-C,FP,Lua is single-threaded at C level; strerror safe in this context,precision_audit,high
lua,lauxlib.c,258,CON34-C,FP,Lua is single-threaded at C level; strerror safe in this context,precision_audit,high
lua,lauxlib.c,278,PRE00-C,FP,l_inspectstat used only with non-side-effecting variable names at call sites,precision_audit,high
lua,lauxlib.c,278,PRE01-C,FP,Parameters stat/what used as simple variable names; no precedence hazard,precision_audit,high
lua,lauxlib.c,278,PRE01-C,FP,Parameters stat/what used as simple variable names; no precedence hazard,precision_audit,high
lua,lauxlib.c,278,PRE10-C,FP,l_inspectstat used as a statement (not in if-without-braces); safe,precision_audit,high
lua,lauxlib.c,278,PRE12-C,FP,"Macro arguments at call sites are plain variables, not expressions with side-effects",precision_audit,high
lua,lauxlib.c,291,DCL15-C,FP,LUALIB_API public symbol declared in lauxlib.h,precision_audit,high
lua,lauxlib.c,317,DCL15-C,FP,LUALIB_API public symbol declared in lauxlib.h,precision_audit,high
lua,lauxlib.c,317,DCL19-C,FP,luaL_newmetatable is public API exported via lauxlib.h,precision_audit,high
lua,lauxlib.c,323,STR30-C,FP,lua_setfield takes const char* key; string literal not modified,precision_audit,high
lua,lauxlib.c,330,API00-C,FP,L is required LUALIB_API parameter; caller contract,precision_audit,high
lua,lauxlib.c,330,API00-C,FP,tname is required LUALIB_API parameter; caller contract,precision_audit,high
lua,lauxlib.c,330,DCL15-C,FP,LUALIB_API public symbol declared in lauxlib.h,precision_audit,high
lua,lauxlib.c,336,API00-C,FP,L is required LUALIB_API parameter; caller contract,precision_audit,high
lua,lauxlib.c,344,DCL30-C,FP,"p is pointer from lua_touserdata (Lua stack slot), not C automatic storage",precision_audit,high
lua,lauxlib.c,351,API00-C,FP,L is required LUALIB_API parameter; caller contract,precision_audit,high
lua,lauxlib.c,351,API00-C,FP,tname is required LUALIB_API parameter; caller contract,precision_audit,high
lua,lauxlib.c,354,DCL30-C,FP,p is pointer from luaL_testudata; not a C automatic-storage local,precision_audit,high
lua,lauxlib.c,366,API00-C,FP,L is required LUALIB_API parameter; caller contract,precision_audit,high
lua,lauxlib.c,366,API00-C,FP,def is optional parameter (NULL means use checkstring); intentional,precision_audit,high
lua,lauxlib.c,366,API00-C,FP,lst is required LUALIB_API parameter; caller contract,precision_audit,high
lua,lauxlib.c,366,DCL15-C,FP,LUALIB_API public symbol declared in lauxlib.h,precision_audit,high
lua,lauxlib.c,386,DCL15-C,FP,LUALIB_API public symbol declared in lauxlib.h,precision_audit,high
lua,lauxlib.c,386,DCL19-C,FP,luaL_checkstack is public API exported via lauxlib.h,precision_audit,high
lua,lauxlib.c,387,EXP20-C,FP,l_unlikely(!lua_checkstack(...)) is explicit boolean test; clear semantics,precision_audit,high
lua,lauxlib.c,396,DCL15-C,FP,LUALIB_API public symbol declared in lauxlib.h,precision_audit,high
lua,lauxlib.c,402,DCL15-C,FP,LUALIB_API public symbol declared in lauxlib.h,precision_audit,high
lua,lauxlib.c,408,API00-C,FP,L is required LUALIB_API parameter; caller contract,precision_audit,high
lua,lauxlib.c,411,DCL30-C,FP,"s from lua_tolstring points into Lua string storage, not C local",precision_audit,high
lua,lauxlib.c,415,API00-C,FP,len is optional output pointer; NULL allowed (handled in body),precision_audit,high
lua,lauxlib.c,416,API05-C,FP,"Lua uses portable C99, not conformant array parameters; categorical FP",precision_audit,high
lua,lauxlib.c,426,API00-C,FP,L is required LUALIB_API parameter; caller contract,precision_audit,high
lua,lauxlib.c,426,DCL15-C,FP,LUALIB_API public symbol declared in lauxlib.h,precision_audit,high
lua,lauxlib.c,429,EXP33-C,FP,isnum initialized by lua_tonumberx via output pointer before use,precision_audit,high
lua,lauxlib.c,435,API00-C,FP,L is required LUALIB_API parameter; caller contract,precision_audit,high
lua,lauxlib.c,435,DCL15-C,FP,LUALIB_API public symbol declared in lauxlib.h,precision_audit,high
lua,lauxlib.c,448,API00-C,FP,L is required LUALIB_API parameter; caller contract,precision_audit,high
lua,lauxlib.c,448,DCL15-C,FP,LUALIB_API public symbol declared in lauxlib.h,precision_audit,high
lua,lauxlib.c,451,EXP33-C,FP,isnum initialized by lua_tointegerx via output pointer before use,precision_audit,high
lua,lauxlib.c,458,API00-C,FP,L is required LUALIB_API parameter; caller contract,precision_audit,high
lua,lauxlib.c,458,DCL15-C,FP,LUALIB_API public symbol declared in lauxlib.h,precision_audit,high
lua,lauxlib.c,486,EXP34-C,FP,box from lua_touserdata on a just-created userdata; cannot be NULL,precision_audit,high
lua,lauxlib.c,491,DCL31-C,FP,lua_getallocf is declared in lua.h; sqc missed the include,precision_audit,high
lua,lauxlib.c,491,EXP33-C,FP,ud initialized by lua_getallocf output-pointer parameter before use,precision_audit,high
lua,lauxlib.c,509,ARR02-C,FP,Omitting array bound when full initializer is present is standard C idiom,precision_audit,high
lua,lauxlib.c,518,EXP34-C,FP,box from lua_touserdata on boxmt userdata; guaranteed non-NULL by lua_setmetatable path,precision_audit,high
lua,lauxlib.c,530,PRE00-C,FP,buffonstack used with plain variable B; no side-effecting arguments,precision_audit,high
lua,lauxlib.c,530,PRE12-C,FP,B is a plain variable at all call sites; no multiple-evaluation hazard,precision_audit,high
lua,lauxlib.c,537,PRE00-C,FP,checkbufferlevel used with plain variable B; no side-effecting arguments,precision_audit,high
lua,lauxlib.c,537,PRE01-C,FP,B is a plain variable at call sites; no precedence hazard,precision_audit,high
lua,lauxlib.c,537,PRE02-C,FP,checkbufferlevel is used as a statement; outer parentheses not needed,precision_audit,high
