rule,idx,project,file,line,verdict,reason,provenance,confidence
DCL13-C,1,sqlite,ext/misc/ieee754.c,105,FP,"argv signature fixed by sqlite3_create_function xFunc typedef, cannot be const-qualified",b15-adjudicator,high
DCL03-C,2,sqlite,ext/misc/ieee754.c,113,FP,"assert(sizeof(m)==sizeof(r)) is a deliberate compile-context invariant check, not a defect",b15-adjudicator,high
FLP02-C,3,sqlite,ext/misc/ieee754.c,115,FP,"r<0.0 is a sign test on a freshly-set double not an equality of computed floats, benign",b15-adjudicator,high
EXP34-C,4,sqlite,ext/misc/ieee754.c,121,FP,x from sqlite3_value_blob is guarded by value_type==BLOB and bytes==sizeof(r)==8 before x[i] read,b15-adjudicator,high
EXP07-C,5,sqlite,ext/misc/ieee754.c,141,FP,"a>>52 on bit-pattern of non-negative double yields exponent 0..2047, well-defined informational",b15-adjudicator,high
EXP07-C,6,sqlite,ext/misc/ieee754.c,142,FP,((sqlite3_int64)1)<<52 is a constant mask shift well within int64 range,b15-adjudicator,high
INT32-C,7,sqlite,ext/misc/ieee754.c,142,FP,(1<<52)-1 is a constant mask computation no overflow possible,b15-adjudicator,high
INT32-C,8,sqlite,ext/misc/ieee754.c,142,FP,1<<52 constant shift positive operand defined behavior,b15-adjudicator,high
INT32-C,9,sqlite,ext/misc/ieee754.c,144,FP,"m<<=1 only when e==0 so m is a 52-bit subnormal mantissa, shift stays in range",b15-adjudicator,high
EXP07-C,10,sqlite,ext/misc/ieee754.c,146,FP,constant mask shift 1<<52 well-defined,b15-adjudicator,high
INT32-C,11,sqlite,ext/misc/ieee754.c,146,FP,constant shift 1<<52 well-defined,b15-adjudicator,high
INT32-C,12,sqlite,ext/misc/ieee754.c,152,FP,"-m guarded: a==INT64_MIN handled separately at line 137, normal m here is positive 53-bit",b15-adjudicator,high
CON43-C,13,sqlite,ext/misc/ieee754.c,154,FP,sqlite3_user_data returns stable per-function aux pointer not attacker double-fetch,b15-adjudicator,high
EXP33-C,14,sqlite,ext/misc/ieee754.c,156,FP,"zResult only read in case 0 where sqlite3_snprintf writes it first, not used uninitialized",b15-adjudicator,high
INT14-C,15,sqlite,ext/misc/ieee754.c,157,FP,e mixing bitwise/arithmetic is style informational not a defect,b15-adjudicator,high
INT32-C,16,sqlite,ext/misc/ieee754.c,184,FP,-m in two-arg path guarded by m<-9223372036854775807LL return at line 182 so no INT_MIN negation,b15-adjudicator,high
INT32-C,17,sqlite,ext/misc/ieee754.c,194,FP,"m<<=1 loop bounded: runs only while top bits clear, m stays in 53-bit normalized range",b15-adjudicator,high
INT32-C,18,sqlite,ext/misc/ieee754.c,197,FP,"e clamped to [-10000,10000] before +1075, no overflow",b15-adjudicator,high
EXP07-C,19,sqlite,ext/misc/ieee754.c,209,FP,constant mask 1<<52 well-defined,b15-adjudicator,high
INT32-C,20,sqlite,ext/misc/ieee754.c,209,FP,constant (1<<52)-1 no overflow,b15-adjudicator,high
INT32-C,21,sqlite,ext/misc/ieee754.c,209,FP,constant shift 1<<52 well-defined,b15-adjudicator,high
EXP07-C,22,sqlite,ext/misc/ieee754.c,210,FP,e<<52 with e clamped to 0..0x7ff fits in int64 informational,b15-adjudicator,high
