rule,idx,project,file,line,verdict,reason,provenance,confidence
DCL13-C,0,sqlite,src/func.c,27,FP,sqlite3GetFuncCollSeq reads context->pVdbe/iOp but never writes through context; signature is the fixed sqlite3_context callback convention so const is not actually applied here and read-only is by design,,high
INT32-C,1,sqlite,src/func.c,30,FP,"context->iOp is a small VDBE program counter set internally, never an attacker-sized value; iOp-1 cannot realistically underflow INT_MIN",,high
DCL13-C,2,sqlite,src/func.c,52,FP,"minmaxFunc reads argv[] entries only (sqlite3_value_type/result_value); argv pointer array not modified, fixed callback signature",,high
INT13-C,3,sqlite,src/func.c,68,FP,"mask is 0 or -1 internal flag; XOR with signed compare result is intentional sign-trick, defined behavior on these values, not attacker data",,med
DCL13-C,4,sqlite,src/func.c,82,FP,typeofFunc only reads argv[0]; fixed callback signature,,high
ARR02-C,5,sqlite,src/func.c,84,FP,azType[] implicit size with explicit initializer list is idiomatic and exact; ArraySize() used in assert; no defect,,high
INT32-C,6,sqlite,src/func.c,85,FP,sqlite3_value_type returns 1..5 enum; minus 1 cannot overflow; guarded by assert i>=0 && i<ArraySize,,high
DCL03-C,7,sqlite,src/func.c,88,FP,assert(SQLITE_INTEGER==1) is a compile-time-known constant invariant check; intentional runtime assert documenting enum mapping,,high
DCL03-C,8,sqlite,src/func.c,89,FP,same constant-invariant assert pattern,,high
DCL03-C,9,sqlite,src/func.c,90,FP,same constant-invariant assert pattern,,high
DCL03-C,10,sqlite,src/func.c,91,FP,same constant-invariant assert pattern,,high
DCL03-C,11,sqlite,src/func.c,92,FP,same constant-invariant assert pattern,,high
DCL13-C,12,sqlite,src/func.c,107,FP,subtypeFunc only reads argv[0]; fixed callback signature,,high
DCL13-C,13,sqlite,src/func.c,119,FP,lengthFunc only reads argv[0]; fixed callback signature,,high
ARR30-C,14,sqlite,src/func.c,136,FP,"UTF-8 char-count loop in lengthFunc bounded by NUL terminator (c=*z; while c!=0); z0 advances with z, no OOB",,high
INT14-C,15,sqlite,src/func.c,139,FP,"z used in *z deref and z++ arithmetic; standard pointer iteration, not a readability defect",,med
DCL13-C,16,sqlite,src/func.c,158,FP,bytelengthFunc only reads argv[0]; fixed callback signature,,high
DCL13-C,17,sqlite,src/func.c,194,FP,absFunc only reads argv[0]; fixed callback signature,,high
DCL13-C,18,sqlite,src/func.c,246,FP,instrFunc reads argv entries only; fixed callback signature,,high
INT32-C,19,sqlite,src/func.c,290,FP,"N counts matched chars bounded by nHaystack (a value-bytes length, far below INT_MAX); cannot reach INT_MAX in practice",,high
INT32-C,20,sqlite,src/func.c,292,FP,"nHaystack-- guarded by loop condition nNeedle<=nHaystack; stops at >=0, no underflow",,high
MSC07-C,21,sqlite,src/func.c,303,FP,"code after endInstr return is the endInstrOOM error label reached via goto, not unreachable",,high
DCL13-C,22,sqlite,src/func.c,314,FP,printfFunc reads argv via x.apArg; fixed callback signature,,high
ARR00-C,23,sqlite,src/func.c,325,FP,"argv+1 forms x.apArg with x.nArg=argc-1, guarded by argc>=1; one-past/element pointer over the real argc-element argv array, analyzer mismodels argv as single element",,high
