project,commit,file,line,rule,verdict,reason
hostap,dcee60436,src/ap/beacon.c,2025,MSC17-C,FP,case 135 has /* fallthrough */ comment before case 134
hostap,dcee60436,src/ap/beacon.c,2041,MSC17-C,FP,case CONF_OPER_CHWIDTH_80P80MHZ has /* fallthrough */ comment before next case
hostap,dcee60436,src/ap/ctrl_iface_ap.c,1261,MSC17-C,FP,case 0 has /* fall-through */ comment before case 20
hostap,dcee60436,src/ap/hw_features.c,1285,MSC17-C,FP,case HOSTAPD_CHAN_INVALID_NO_IR has /* fall through */ comment before case HOSTAPD_CHAN_INVALID
hostap,dcee60436,src/ap/hw_features.c,1396,MSC17-C,FP,case HOSTAPD_CHAN_INVALID_NO_IR has /* fall through */ comment before case HOSTAPD_CHAN_INVALID
hostap,dcee60436,src/ap/ieee802_11.c,3804,MSC17-C,FP,"case WLAN_AUTH_EPPKE is an empty grouped case label (guarded by #ifdef) falling to WLAN_AUTH_PASN, no executable statements to flag"
hostap,dcee60436,src/ap/ieee802_11.c,8005,MSC17-C,FP,case 320 has /* fallthrough */ comment before case 160
hostap,dcee60436,src/ap/ieee802_11.c,8512,MSC17-C,FP,case WLAN_FC_STYPE_BEACON has /* fallthrough */ comment before case WLAN_FC_STYPE_PROBE_RESP
hostap,dcee60436,src/ap/ieee802_11.c,8849,MSC17-C,FP,case WLAN_FC_STYPE_BEACON has /* fallthrough */ comment before case WLAN_FC_STYPE_PROBE_RESP
hostap,dcee60436,src/ap/ieee802_11_eht.c,325,MSC17-C,FP,case CONF_OPER_CHWIDTH_320MHZ has /* fall through */ comment before next case
hostap,dcee60436,src/common/hw_features_common.c,611,MSC17-C,FP,case CONF_OPER_CHWIDTH_USE_HT has /* fall through */ comment on its terminal fallthrough path before case CONF_OPER_CHWIDTH_80MHZ
hostap,dcee60436,src/common/hw_features_common.c,660,MSC17-C,FP,case CONF_OPER_CHWIDTH_80P80MHZ has /* fall through */ comment before case CONF_OPER_CHWIDTH_80MHZ
hostap,dcee60436,src/common/hw_features_common.c,702,MSC17-C,FP,case CONF_OPER_CHWIDTH_80P80MHZ has /* fall through */ comment before case CONF_OPER_CHWIDTH_80MHZ
hostap,dcee60436,src/common/wpa_common.c,4301,MSC17-C,FP,empty grouped case labels (guarded by #ifdef CONFIG_SAE) with /* fall through */ comment before next #ifdef block
hostap,dcee60436,src/common/wpa_common.c,4306,MSC17-C,FP,empty grouped case labels (guarded by #ifdef CONFIG_FILS) with /* fall through */ comment before next #ifdef block
hostap,dcee60436,src/common/wpa_common.c,4312,MSC17-C,FP,empty grouped case labels (guarded by #ifdef CONFIG_IEEE80211R) with /* fall through */ comment before case WPA_KEY_MGMT_PASN
hostap,dcee60436,src/crypto/tls_gnutls.c,1513,MSC17-C,FP,case GNUTLS_E_FATAL_ALERT_RECEIVED has /* fallthrough */ comment before default
hostap,dcee60436,src/eap_peer/eap_peap.c,670,MSC17-C,FP,case EAP_TYPE_EXPANDED has /* fall through */ comment (after #endif EAP_TNC) before default
hostap,dcee60436,src/eap_server/eap_server_fast.c,1523,MSC17-C,FP,case PHASE1 has /* fall through */ comment before case PHASE2_START
hostap,dcee60436,src/eap_server/eap_server_ikev2.c,216,MSC17-C,FP,case MSG has /* fall through */ comment before case WAIT_FRAG_ACK
hostap,dcee60436,src/eap_server/eap_server_teap.c,1440,MSC17-C,FP,"case PHASE1B falls to PHASE2_START but has ""/* fall through */"" comment at line 1444 before the next label"
hostap,dcee60436,src/eap_server/eap_server_tls_common.c,388,MSC17-C,FP,"default: falls to case EAP_TYPE_TLS but has ""/* fallthrough */"" comment at line 392 before it"
hostap,dcee60436,src/eap_server/eap_server_wsc.c,251,MSC17-C,FP,"case MESG falls to WAIT_FRAG_ACK but has ""/* fall through */"" comment at line 262 before the next label"
hostap,dcee60436,src/fst/fst_ctrl_iface.c,48,MSC17-C,FP,"case REASON_REJECT falls to REASON_TEARDOWN but has ""/* fall through */"" comment at line 52 before it"
