rule,project,file,line,verdict,reason,provenance,confidence
MSC13-C,curl,lib/ftp.c,209,TP,"slashPos is initialized to NULL at declaration but is only ever read inside the FTPFILE_SINGLECWD case (line 243) where it is first reassigned via strrchr() at line 242, so the initial NULL is always dead.",msc13_delta_adjudication_0.4.207,high
MSC13-C,curl,lib/ftp.c,211,TP,result = CURLE_OK is immediately overwritten at line 221 by the Curl_urldecode() call before any intervening read.,msc13_delta_adjudication_0.4.207,high
MSC13-C,curl,lib/ftp.c,212,TP,rawPath = NULL is overwritten at line 226 (rawPath = ftpc->rawpath) before any read of rawPath occurs.,msc13_delta_adjudication_0.4.207,high
MSC13-C,curl,lib/ftp.c,545,TP,result = CURLE_OK in ftp_initiate_transfer is immediately overwritten at line 549 by Curl_conn_connect() with no intervening read.,msc13_delta_adjudication_0.4.207,high
MSC13-C,curl,lib/ftp.c,827,TP,"result = CURLE_OK in ftp_state_cwd is reassigned in every branch of the following if/else chain (lines 831, 847, 856, 863) before the single return at line 867, so the initial value is never read.",msc13_delta_adjudication_0.4.207,high
MSC13-C,curl,lib/ftp.c,890,TP,"ip_end = NULL is either never read at all (the goto done path at line 906 skips straight to the label without touching ip_end) or is reassigned in every reachable branch of the if/else-if chain (912, 922, 925, 938) before the first read at line 948.",msc13_delta_adjudication_0.4.207,high
MSC13-C,curl,lib/ftp.c,1332,TP,result = CURLE_FTP_PORT_FAILED is immediately overwritten at line 1349 by ftp_port_parse_string() before any read.,msc13_delta_adjudication_0.4.207,high
MSC13-C,curl,lib/ftp.c,1416,TP,result = CURLE_OK in ftp_state_use_pasv is overwritten at line 1443 by Curl_pp_sendf() before any read.,msc13_delta_adjudication_0.4.207,high
MSC13-C,curl,lib/ftp.c,1463,TP,"result = CURLE_OK in ftp_state_prepare_transfer is reassigned in all three branches of the if/else if/else (1471, 1475, 1483/1488/1490/1495) before the single return at line 1497.",msc13_delta_adjudication_0.4.207,high
MSC13-C,curl,lib/ftp.c,1504,TP,result = CURLE_OK in ftp_state_rest is reassigned in both branches of the if/else (1511 or 1516) before the return at line 1518.,msc13_delta_adjudication_0.4.207,high
MSC13-C,curl,lib/ftp.c,1525,TP,result = CURLE_OK in ftp_state_size is reassigned in both branches of the if/else (1531 or 1536) before the return at line 1538.,msc13_delta_adjudication_0.4.207,high
MSC13-C,curl,lib/ftp.c,1545,TP,result = CURLE_OK in ftp_state_list is unconditionally overwritten at line 1590 by Curl_pp_sendf() before any read.,msc13_delta_adjudication_0.4.207,high
MSC13-C,curl,lib/ftp.c,1627,TP,result = CURLE_OK in ftp_state_type is reassigned in both branches (1643 or 1649) before the return at line 1651.,msc13_delta_adjudication_0.4.207,high
