rule,project,file,line,verdict,reason,provenance,confidence
ARR30-C,curl,lib/cfilters.c,956,FP,"cfilter[sockindex] is only reached when CONN_SOCK_IDX_VALID(sockindex) (0<=i<2) is true in the same ternary condition, so the index is always range-checked before use",delta_arr30_task537,high
ARR30-C,curl,lib/curl_trc.c,65,FP,"s_infotype[type] is only reached from the switch(type) cases CURLINFO_TEXT/HEADER_OUT/HEADER_IN, a closed set of low-valued enumerators well within the 7-entry array, not an unvalidated index",delta_arr30_task537,high
ARR30-C,curl,lib/curlx/inet_pton.c,73,FP,while((ch = *src++) != '\0') walks a NUL-terminated input string and writes into tmp[INADDRSZ] only through *tp which is separately bounds-checked (octets>4 return 0) before each advance; this is the well-audited inet_pton4 parser,delta_arr30_task537,high
ARR30-C,curl,lib/http.c,1055,FP,"while(*auth) terminates on the NUL byte and auth is advanced via strchr(auth, ',') which itself stops at end-of-string, so the loop cannot walk past the buffer",delta_arr30_task537,high
ARR30-C,curl,lib/http1.c,218,FP,"tmp[target_len] = '\\0' is only reached after the earlier check `if(target_len >= sizeof(tmp)) goto out;`, guaranteeing target_len < sizeof(tmp) before the write",delta_arr30_task537,high
ARR30-C,curl,lib/http_aws_sigv4.c,983,FP,"memcpy(date, timestamp, sizeof(date)) copies exactly sizeof(date)==9 bytes into date[9] (declared at line 829), matching the destination size exactly; the flagged '17 bytes' does not correspond to the actual size argument used, which is sizeof(date) not TIMESTAMP_SIZE",delta_arr30_task537,high
ARR30-C,curl,lib/idn.c,231,FP,while(*ch) { if(*ch++ & 0x80) ... } is a standard NUL-terminated string scan (Curl_is_ASCII_name) that cannot read past the string's terminator,delta_arr30_task537,high
ARR30-C,curl,lib/mprintf.c,695,FP,"while(*work) walks a NUL-terminated snprintf output buffer, and a DEBUGASSERT(strlen(work) < BUFFSIZE) immediately precedes the loop confirming it is in-bounds",delta_arr30_task537,high
ARR30-C,curl,lib/multi.c,195,FP,"finit[state] is indexed by CURLMstate, a closed enum with MSTATE_LAST entries matching the array's declared size (17), not attacker/caller-controlled unvalidated data",delta_arr30_task537,medium
ARR30-C,curl,lib/multi.c,196,FP,finit[state](data) is the same enum-bounded dispatch-table call as line 195; CURLMstate values are structurally confined to the array's declared range,delta_arr30_task537,medium
