rule,project,file,line,verdict,reason,provenance,confidence
MEM30-C,curl,lib/curl_gssapi.c,233,FP,"ctx is freshly calloc'd at line 205 (never freed before) and this branch's curlx_free(ctx) at 233 is immediately followed by return; it is one of several mutually-exclusive single-free-then-return branches, not a double free.",delta_mem30_task544,high
MEM30-C,curl,lib/curl_gssapi.c,247,FP,This curlx_free(ctx) at line 247 is inside an independent early-return branch (gss_display_name failure) that returns immediately after freeing; no prior free of ctx occurs on this path.,delta_mem30_task544,high
MEM30-C,curl,lib/curl_gssapi.c,254,FP,curlx_free(ctx) at line 254 is its own exclusive early-return branch (creds/target length overflow check); ctx was not freed earlier on this path.,delta_mem30_task544,high
MEM30-C,curl,lib/curl_gssapi.c,270,FP,curlx_free(ctx) at line 270 is the final exclusive early-return branch (used>=length check) in the same free-then-return pattern; not a double free on any single execution path.,delta_mem30_task544,high
MEM30-C,curl,lib/socks_sspi.c,455,FP,"curlx_free(sspi_w_token[0].pvBuffer) at line 455 is only reached after the earlier if/else branches (428-430, 437-439, 447-450) that free-and-return did not fire; each of those returns immediately after freeing, so no path frees the buffer twice.",delta_mem30_task544,high
MSC04-C,curl,lib/asyn-ares.c,145,FP,"Chain relies on multi->timer_cb(...) at lib/multi.c:3457, an application-supplied CURLMOPT_TIMERFUNCTION callback pointer; no function literally named timer_cb exists in lib/, only unrelated example programs in docs/examples/*.c, so the checker misresolved a vtable-style callback call and fabricated a cycle through the user event loop.",delta_msc04_task544,high
MSC04-C,curl,lib/asyn-ares.c,205,FP,"Chain relies on multi->timer_cb(...) at lib/multi.c:3457, an application-supplied CURLMOPT_TIMERFUNCTION callback pointer; no function literally named timer_cb exists in lib/, only unrelated example programs in docs/examples/*.c, so the checker misresolved a vtable-style callback call and fabricated a cycle through the user event loop.",delta_msc04_task544,high
MSC04-C,curl,lib/asyn-ares.c,213,FP,"Chain relies on multi->timer_cb(...) at lib/multi.c:3457, an application-supplied CURLMOPT_TIMERFUNCTION callback pointer; no function literally named timer_cb exists in lib/, only unrelated example programs in docs/examples/*.c, so the checker misresolved a vtable-style callback call and fabricated a cycle through the user event loop.",delta_msc04_task544,high
MSC04-C,curl,lib/asyn-ares.c,710,FP,"Chain relies on multi->timer_cb(...) at lib/multi.c:3457, an application-supplied CURLMOPT_TIMERFUNCTION callback pointer; no function literally named timer_cb exists in lib/, only unrelated example programs in docs/examples/*.c, so the checker misresolved a vtable-style callback call and fabricated a cycle through the user event loop.",delta_msc04_task544,high
MSC04-C,curl,lib/asyn-ares.c,827,FP,"Chain relies on multi->timer_cb(...) at lib/multi.c:3457, an application-supplied CURLMOPT_TIMERFUNCTION callback pointer; no function literally named timer_cb exists in lib/, only unrelated example programs in docs/examples/*.c, so the checker misresolved a vtable-style callback call and fabricated a cycle through the user event loop.",delta_msc04_task544,high
MSC04-C,curl,lib/asyn-ares.c,877,FP,"Chain relies on multi->timer_cb(...) at lib/multi.c:3457, an application-supplied CURLMOPT_TIMERFUNCTION callback pointer; no function literally named timer_cb exists in lib/, only unrelated example programs in docs/examples/*.c, so the checker misresolved a vtable-style callback call and fabricated a cycle through the user event loop.",delta_msc04_task544,high
MSC04-C,curl,lib/doh.c,1199,FP,"Chain relies on multi->timer_cb(...) at lib/multi.c:3457, an application-supplied CURLMOPT_TIMERFUNCTION callback pointer; no function literally named timer_cb exists in lib/, only unrelated example programs in docs/examples/*.c, so the checker misresolved a vtable-style callback call and fabricated a cycle through the user event loop.",delta_msc04_task544,high
MSC04-C,curl,lib/doh.c,278,FP,"Chain relies on multi->timer_cb(...) at lib/multi.c:3457, an application-supplied CURLMOPT_TIMERFUNCTION callback pointer; no function literally named timer_cb exists in lib/, only unrelated example programs in docs/examples/*.c, so the checker misresolved a vtable-style callback call and fabricated a cycle through the user event loop.",delta_msc04_task544,high
MSC04-C,curl,lib/doh.c,435,FP,"Chain relies on multi->timer_cb(...) at lib/multi.c:3457, an application-supplied CURLMOPT_TIMERFUNCTION callback pointer; no function literally named timer_cb exists in lib/, only unrelated example programs in docs/examples/*.c, so the checker misresolved a vtable-style callback call and fabricated a cycle through the user event loop.",delta_msc04_task544,high
