rule,project,file,line,verdict,reason,provenance,confidence
MSC13-C,hostap,src/ap/ieee802_11.c,5319,FP,"link_bss_found is set false then read at the `if (!link_bss_found || TEST_FAIL())` check right after the for_each_mld_link loop; sqc misses this because for_each_mld_link expands to a dl_list_for_each loop macro it does not model.",msc13_delta_adjudication_0.4.207,high
MSC13-C,hostap,src/ap/ieee802_11.c,5331,FP,"link_bss_found = true is immediately followed by break, then read via `!link_bss_found` right after the for_each_mld_link macro loop; same macro-loop CFG gap as the sibling finding at line 5319.",msc13_delta_adjudication_0.4.207,high
MSC13-C,hostap,src/ap/ieee802_11.c,6020,TP,"int resp = WLAN_STATUS_SUCCESS is unconditionally overwritten (either by a `resp = ...; goto fail` branch or by `resp = check_assoc_ies(...)` at line 6280) before any read on every code path reaching the fail: label in handle_assoc, so the initial value is genuinely never read.",msc13_delta_adjudication_0.4.207,high
MSC13-C,hostap,src/ap/ieee802_11.c,6740,FP,"sqc's parser is misidentifying the trailing attribute-position macro `__maybe_unused` as the declared variable itself; the real variable is `action`, which is used at lines 6750/6753.",msc13_delta_adjudication_0.4.207,high
MSC13-C,hostap,src/ap/ieee802_11.c,6974,FP,"int ret = 0 is read at `return ret;` (line 7108) on the default-case path through the switch(stype) where ret is never reassigned, so the initial value is genuinely consumed.",msc13_delta_adjudication_0.4.207,high
MSC13-C,hostap,src/ap/ieee802_11.c,6975,FP,"freq is used at line 7099 in `ret = handle_action(hapd, mgmt, len, freq);` inside the switch(stype) case WLAN_FC_STYPE_ACTION; sqc appears to lose track of reads that occur inside switch-case bodies.",msc13_delta_adjudication_0.4.207,high
MSC13-C,hostap,src/ap/ieee802_11.c,6978,FP,"nan_network_id is read at line 7054 (`!ether_addr_equal(mgmt->da, nan_network_id)`) inside a large multi-line if condition interleaved with several #ifdef blocks; sqc's CFG appears to lose the read across the nested preprocessor conditionals.",msc13_delta_adjudication_0.4.207,high
MSC13-C,hostap,src/ap/ieee802_11.c,6980,FP,"p2p_network_id is read at line 7055 (`!ether_addr_equal(mgmt->da, p2p_network_id)`) in the same nested-ifdef if condition as nan_network_id; same CFG preproc-ifdef gap.",msc13_delta_adjudication_0.4.207,high
MSC13-C,hostap,wpa_supplicant/config.c,877,FP,"val |= WPA_KEY_MGMT_FT_FILS_SHA384 (guarded by nested #ifdef CONFIG_IEEE80211R/CONFIG_FILS) is read at the `if (val == 0)` check after the else-if chain (line 904) and on any subsequent loop iteration's `val |=`; sqc's CFG appears to drop the read across the nested preprocessor-gated else-if chain.",msc13_delta_adjudication_0.4.207,high
MSC13-C,hostap,wpa_supplicant/config.c,882,FP,"val |= WPA_KEY_MGMT_OWE (guarded by #ifdef CONFIG_OWE) is likewise read at the `if (val == 0)` check at line 904; same nested-ifdef CFG gap as the other val branches in this else-if chain.",msc13_delta_adjudication_0.4.207,high
MSC13-C,hostap,wpa_supplicant/config.c,886,FP,"val |= WPA_KEY_MGMT_DPP (guarded by #ifdef CONFIG_DPP) is read at line 904's `if (val == 0)` check; same nested-ifdef CFG gap.",msc13_delta_adjudication_0.4.207,high
MSC13-C,hostap,wpa_supplicant/config.c,890,FP,"val |= WPA_KEY_MGMT_EPPKE (guarded by #ifdef CONFIG_ENC_ASSOC) is read at line 904's `if (val == 0)` check; same nested-ifdef CFG gap.",msc13_delta_adjudication_0.4.207,high
MSC13-C,hostap,src/tls/libtommath.c,2110,FP,"res = mp_toom_sqr(a, b) falls through the #ifdef-gated else-if chain in mp_sqr to `b->sign = MP_ZPOS; return res;` at line 2136, which reads it.",msc13_delta_adjudication_0.4.207,high
MSC13-C,hostap,src/tls/libtommath.c,2116,FP,"res = mp_karatsuba_sqr(a, b) likewise falls through to the shared `return res;` at line 2136 in mp_sqr.",msc13_delta_adjudication_0.4.207,high
MSC13-C,hostap,src/tls/libtommath.c,2125,FP,"res = fast_s_mp_sqr(a, b) likewise falls through to the shared `return res;` at line 2136 in mp_sqr.",msc13_delta_adjudication_0.4.207,high
MSC13-C,hostap,src/ap/drv_callbacks.c,1767,FP,"sqc's parser is misidentifying the trailing attribute-position macro `__maybe_unused` as the declared variable; the real variable is `plen`, which is read at line 1774 and used again at line 1785.",msc13_delta_adjudication_0.4.207,high
MSC13-C,hostap,src/ap/drv_callbacks.c,1769,FP,"Same attribute-macro misparse as the sibling finding at line 1767; the real variable is `action`, used at lines 1781/1784.",msc13_delta_adjudication_0.4.207,high
MSC13-C,hostap,src/common/wpa_common.c,3853,TP,"size_t dlen = 0 is only ever read via the for-loop's `pos += dlen` update expression, but every loop-body path either reassigns dlen (`dlen = 2 + pos[1];`) before the update runs or breaks out of the loop before that reassignment (the padding-ignore branch at line 3860), so the initial 0 is never actually read.",msc13_delta_adjudication_0.4.207,high
MSC13-C,hostap,src/rsn_supp/wpa_ft.c,45,TP,"int ret = 0 is unconditionally overwritten by `ret = wpa_pmk_r1_to_ptk(...)` before the first read/use of ret in wpa_derive_ptk_ft; no path reads the initial 0.",msc13_delta_adjudication_0.4.207,high
MSC13-C,hostap,wpa_supplicant/events.c,6976,FP,"stype is read repeatedly (e.g. lines 7005, 7023, 7029, 7043, 7050) inside multiple #ifdef-gated (CONFIG_P2P/CONFIG_IBSS_RSN/CONFIG_PASN/CONFIG_SAE) if-conditions within the EVENT_RX_MGMT case; sqc's CFG appears to drop these reads across the nested preprocessor conditionals.",msc13_delta_adjudication_0.4.207,high
