rule,project,file,line,verdict,reason,provenance,confidence
EXP34-C,curl,lib/file.c,575,FP,"entry is assigned and NULL-checked as the condition of the enclosing while((entry = readdir(dir))) loop, so entry is provably non-NULL at line 575",delta_exp34_task539,high
EXP34-C,curl,lib/http.c,1081,FP,"auth is dereferenced earlier in the same loop via while(*auth), so by the time it reaches strchr(auth, ',') at 1081 it is already proven non-NULL",delta_exp34_task539,high
EXP34-C,curl,lib/ldap.c,225,FP,"ldap_win_bind_auth (lib/ldap.c:156) internally checks if(method && user && passwd) before doing anything with user, so passing a possibly-NULL user is safe",delta_exp34_task539,high
EXP34-C,curl,lib/openldap.c,1210,FP,"client_write (lib/openldap.c:1056) only dereferences its value parameter under if(!result && value), so a NULL val_b64 (possible when bv_len==0) is never read",delta_exp34_task539,high
EXP34-C,curl,lib/setopt.c,1982,FP,"Curl_setstropt (lib/setopt.c:81) explicitly handles s==NULL via if(s){...} and never dereferences a NULL s, by design (NULL clears the stored string option)",delta_exp34_task539,high
EXP34-C,curl,lib/url.c,3008,FP,"as is only used under if(hit && same_dest), and Curl_altsvc_lookup (lib/altsvc.c:624) only returns TRUE after doing *dstentry = as with as taken from a live llist node, so as is never NULL when hit is TRUE",delta_exp34_task539,high
EXP34-C,curl,lib/url.c,3874,FP,"conn is the struct connectdata parameter of Curl_conn_meta_set; every call site in the codebase passes a live conn or data->conn from an established connection, consistent with curl's documented non-NULL connectdata invariant",delta_exp34_task539,medium
EXP34-C,curl,lib/url.c,3884,FP,same invariant as Curl_conn_meta_set: Curl_conn_meta_remove's conn parameter is always a live connectdata at every call site in the codebase,delta_exp34_task539,medium
EXP34-C,curl,lib/vtls/mbedtls.c,487,FP,"ssl_config comes from Curl_ssl_cf_get_config (lib/vtls/vtls.c:1905), which always returns &data->set.ssl or &data->set.proxy_ssl, both valid non-NULL addresses, never NULL",delta_exp34_task539,high
EXP34-C,curl,lib/vtls/openssl.c,4250,FP,"ssl_config comes from the same Curl_ssl_cf_get_config helper as the mbedtls.c finding, which is guaranteed to return a non-NULL pointer",delta_exp34_task539,high
EXP34-C,curl,src/tool_writeout.c,231,FP,ptr = curlx_dyn_ptr(&buf) is only dereferenced under if(len) where len = curlx_dyn_len(&buf); dynbuf's own invariant DEBUGASSERT(!s->leng || s->bufr) guarantees bufr is non-NULL whenever leng (len) is nonzero,delta_exp34_task539,high
