rule,project,file,line,verdict,reason,provenance,confidence
API00-C,sqlite,ext/fts5/fts5_tcl.c,1653,FP,"apArg is the standard sqlite3_value** argument array SQLite core always supplies with exactly nArg valid entries for a registered scalar function (asserted via assert(nArg==1)), an established callback contract.",delta_api00_int32_task546,high
API00-C,sqlite,ext/misc/prefixes.c,306,FP,"db is only passed through to sqlite3_create_module/sqlite3_create_function, not dereferenced, and is guaranteed valid by SQLite's extension-loading convention (this is the standard xInit entry point signature).",delta_api00_int32_task546,high
API00-C,sqlite,ext/misc/series.c,921,FP,"db is only passed through to sqlite3_create_module, not dereferenced, under the same standard SQLite extension xInit entry-point contract as prefixes.c.",delta_api00_int32_task546,high
CON07-C,sqlite,ext/fts5/fts5_tcl.c,169,FP,"iCmd is a function-local static counter incremented via sprintf(zCmd,...,iCmd++) but this file is the Tcl test-harness/binding for FTS5 used only by SQLite's single-threaded Tcl test suite, not production concurrent surface.",delta_con07_task546,medium
CON07-C,sqlite,ext/fts5/fts5_tcl.c,561,FP,"Same iCmd++ pattern in xF5tFunction, another Tcl test-binding callback in the single-threaded Tcl test harness, not part of sqlite's production multi-threaded surface.",delta_con07_task546,medium
CON07-C,sqlite,ext/fts5/fts5_unicode2.c,737,FP,aFts5UnicodeBlock/aFts5UnicodeData/aFts5UnicodeMap are only read via array indexing (iLo = aFts5UnicodeBlock[...]; etc.) in sqlite3Fts5UnicodeCategory; there is no compound read-modify-write on them at all.,delta_con07_task546,high
CON07-C,sqlite,ext/icu/icu.c,122,FP,"MATCH_ALL and MATCH_ONE are declared 'static const uint32_t' local constants in icuLikeCompare and are only compared, never assigned; the checker misidentified const-qualified locals as mutable shared state.",delta_con07_task546,high
CON07-C,sqlite,ext/misc/sqlite3_stdio.c,311,FP,simBinaryStdout/simBinaryOther are set via plain assignment (simBinaryStdout = (mode==_O_BINARY);) not a compound read-modify-write; misclassification of the operation type.,delta_con07_task546,high
CON07-C,sqlite,src/main.c,372,FP,"sqlite3_data_directory/sqlite3_temp_directory are set to 0 via plain assignment inside sqlite3_shutdown, whose own doc comment states 'This routine is not threadsafe... Must not be called while any part of SQLite is otherwise in use in any thread.'",delta_con07_task546,high
CON07-C,sqlite,src/os_unix.c,8581,FP,"unixBigLock/vxworksMutex are set to 0 via plain assignment (not RMW) inside sqlite3_os_end, which is only invoked from the documented non-threadsafe sqlite3_shutdown.",delta_con07_task546,high
CON07-C,sqlite,src/os_win.c,3612,FP,"winIoerrRetry/winIoerrRetryDelay are set via plain assignment (winIoerrRetry = a[0];) not compound RMW, and azLock is a function-local 'static const char*[]' only read by index; no atomicity-relevant compound operation exists here.",delta_con07_task546,high
CON07-C,sqlite,src/os_win.c,6263,FP,"max32BitValue, unixEpoch, and winFiletimeEpoch are all declared 'static const sqlite3_int64' locals in winCurrentTimeInt64 and are never mutated.",delta_con07_task546,high
CON07-C,sqlite,src/pragma.c,72,FP,"zText, iOffset, iLength, and iValue are all 'static const' lookup-table locals in getSafetyLevel, read-only and never mutated.",delta_con07_task546,high
CON07-C,sqlite,src/select.c,260,FP,"zKeyText and aKeyword are 'static const' lookup-table locals in sqlite3JoinType, read-only and never mutated.",delta_con07_task546,high
CON07-C,sqlite,src/util.c,1865,FP,"x is a 'static const unsigned char[]' lookup table only read via x[a-b]/x[b-a]; a and b are ordinary function parameters (LogEst a, LogEst b), not shared static/global state at all.",delta_con07_task546,high
CON07-C,sqlite,src/util.c,1915,FP,"a is a stack-local u64 and x is a function parameter (double x) in sqlite3LogEstFromDouble; neither has static/global storage duration, so this is a misidentification of ordinary locals as shared state.",delta_con07_task546,high
CON07-C,sqlite,src/wal.c,2417,FP,"S and E are 'static const int' locals in walHandleException, only read in bitmask expressions, never mutated.",delta_con07_task546,high
CON07-C,sqlite,src/wal.c,2450,FP,"S and E are 'static const int' locals in walAssertLockmask, only read in bitmask expressions, never mutated.",delta_con07_task546,high
CON07-C,sqlite,src/window.c,1656,FP,first_valueName and nth_valueName are 'static const char[]' name constants compared by pointer (pFunc->zName==nth_valueName) elsewhere in the file; never mutated in windowAggStep or anywhere else.,delta_con07_task546,high
CON07-C,sqlite,src/window.c,1920,FP,"first_valueName, lagName, leadName, nth_valueName are all 'static const char[]' constants used only for pointer-equality comparisons in windowReturnOneRow, never mutated.",delta_con07_task546,high
CON07-C,sqlite,src/window.c,2029,FP,"first_valueName, lagName, leadName, nth_valueName are all 'static const char[]' constants used only for pointer-equality comparisons in windowCacheFrame, never mutated.",delta_con07_task546,high
EXP39-C,sqlite,src/vdbeapi.c,2539,FP,"pOut is a generic `void*` API out-parameter in sqlite3_stmt_scanstatus_v2; the switch(iScanStatusOp) dispatches to exactly one case per call, each writing a single type to a fresh caller-supplied buffer sized for that op (double only for SQLITE_SCANSTAT_EST) -- no call path writes int then reads/writes double through the same object.",delta_exp39_task546,high
INT32-C,sqlite,src/where.c,6100,FP,"iLoop is a join-loop index bounded by nLoop, the number of tables in a single join which SQLite caps at a small fixed constant (BMS, 64), so sizeof(WhereLoop*)*iLoop cannot approach overflow.",delta_api00_int32_task546,high
MSC21-C,sqlite,ext/expert/sqlite3expert.c,1132,FP,"for(p=pScan; p!=pLast; p=pNext) walks the same singly-linked list pLast was taken from, so pLast is guaranteed reachable by pointer-chain traversal; not an arithmetic-step skip risk.",delta_msc21_task546,high
MSC21-C,sqlite,ext/expert/sqlite3expert.c,1148,FP,for(p=pStatement; p!=pLast; p=pNext) is the same pointer-traversal-to-a-list-member idiom as line 1132 in this file.,delta_msc21_task546,high
MSC21-C,sqlite,ext/fts3/fts3_expr.c,339,FP,"for(ii=0; rc==SQLITE_OK; ii++) terminates on rc, the return value of pModule->xNext() reassigned each iteration in the body, not on ii; ii itself steps by exactly +1 regardless.",delta_msc21_task546,high
MSC21-C,sqlite,src/alter.c,2548,FP,"for(ii=0; iEnd==0; ii++) terminates on iEnd, which is set inside the loop body/inner while when the target token is found, not on ii; ii itself steps by exactly +1.",delta_msc21_task546,high
MSC21-C,sqlite,src/notify.c,67,FP,"for(p2=sqlite3BlockedList; p2!=p; p2=p2->pNextBlocked) walks the same list p was taken from in the outer loop, so p is guaranteed reachable; not an arithmetic-step skip risk.",delta_msc21_task546,high
MSC21-C,sqlite,src/where.c,879,FP,"for(pIdx=pTab->pIndex; pIdx!=0; pIdx=pIdx->pNext) is a linked-list pointer traversal to NULL, not a numeric-step skip risk.",delta_msc21_task546,high
MSC21-C,sqlite,src/whereexpr.c,595,FP,for(op=TK_EQ; eOp!=(WO_EQ<<(op-TK_EQ)); op++) increments op by exactly 1 each iteration; the checker mistook the shifted comparison expression on the right-hand side for a non-unit target/step.,delta_msc21_task546,high
