rule,idx,project,file,line,verdict,reason,provenance,confidence
MSC37-C,0,sqlite,src/pcache1.c,216,FP,Line 216 is the start of a static struct PCacheGlobal declaration not a function so MSC37 missing-return is a parser misfire,,high
API00-C,1,sqlite,src/pcache1.c,271,FP,sqlite3PCacheBufferSetup is internal init-time API serialized by sqlite3_initialize with pBuf/sz/n contract from sqlite3_config not a trust boundary and n is clamped via ROUNDDOWN8 and the n--/sz loop,,high
DCL13-C,2,sqlite,src/pcache1.c,271,FP,pBuf is reinterpreted via (PgFreeslot*)pBuf and its bytes are written through (p->pNext=...) so it is mutated and cannot be const,,high
INT32-C,3,sqlite,src/pcache1.c,279,FP,"n/10+1 with n bounded to small slot counts (clamped, n<=90 branch) cannot overflow int",,high
INT32-C,4,sqlite,src/pcache1.c,283,FP,while(n--) is the standard countdown idiom n is non-negative slot count from config never INT_MIN,,high
ARR00-C,5,sqlite,src/pcache1.c,287,FP,sz is the configured slot size used as a stride in pBuf=&((char*)pBuf)[sz] not an array subscript and is ROUNDDOWN8-sanitized init-time config,,high
ARR30-C,6,sqlite,src/pcache1.c,287,FP,same as idx5 sz is a byte stride into the config buffer not an unvalidated index bounded by config contract,,high
EXP36-C,7,sqlite,src/pcache1.c,287,FP,(char*)pBuf indexing back to void* preserves original alignment of pBuf which is a config buffer EIGHT_BYTE aligned by contract no alignment violation,,high
INT32-C,8,sqlite,src/pcache1.c,305,FP,szBulk computed as i64 (cast (i64)) with nInitPage a small config page count and szAlloc bounded szPage<=65536+szExtra<300 product fits i64,,high
INT32-C,9,sqlite,src/pcache1.c,307,FP,-1024*(i64)nInitPage is i64 math nInitPage is a small negative-flag page-count constant cannot overflow i64,,high
INT32-C,10,sqlite,src/pcache1.c,310,FP,szAlloc*(i64)nMax is i64 math nMax is SQLITE_LIMIT-bounded cache size product fits i64,,high
INT33-C,11,sqlite,src/pcache1.c,315,FP,szAlloc is szPage+szExtra+ROUND8(sizeof) with szPage>=512 asserted (line767) so divisor is always >=512 never zero,,high
STR34-C,12,sqlite,src/pcache1.c,315,FP,zBulk is a char* used in zBulk[pCache->szPage] pointer indexing and zBulk+=szAlloc pointer arithmetic not a char-to-int sign-extension conversion,,high
ARR39-C,13,sqlite,src/pcache1.c,319,FP,(u8*)pX+ROUND8(sizeof(*pX)) is correct byte-offset pointer arithmetic ROUND8 yields a byte count not an element index no double scaling,,high
INT32-C,14,sqlite,src/pcache1.c,327,FP,--nBulk in do-while nBulk is sqlite3MallocSize/szAlloc a positive page count loop runs while non-zero never INT_MIN,,high
ARR39-C,15,sqlite,src/pcache1.c,457,FP,(u8*)p+ROUND8(sizeof(*p)) is correct byte pointer arithmetic same idiom as idx13 no double scaling,,high
