rule,idx,project,file,line,verdict,reason,provenance,confidence
INT30-C,0,sqlite,src/build.c,72,FP,nBytes guarded by assert(nTableLock<0x7fff0000) so sizeof(TableLock)*(n+1) cannot wrap an int,,high
MEM30-C,1,sqlite,src/build.c,75,FP,pToplevel->aTableLock is the realloc result not a freed pointer; guarded by if(aTableLock) before use,,high
MEM30-C,2,sqlite,src/build.c,76,FP,same realloc-result access inside the if(aTableLock) success branch; no free occurred,,high
MEM30-C,3,sqlite,src/build.c,83,FP,pToplevel->db is the connection passed to ReallocOrFree as arg0 not freed; OOM path calls OomFault(db) legitimately,,high
API00-C,4,sqlite,src/build.c,86,FP,sqlite3TableLock has fixed contract; zName flows to P4_STATIC and may be a literal; callers pass valid name,,high
ARR00-C,5,sqlite,src/build.c,94,FP,iDb bounded by caller; assert(iDb>=0) and iDb==1 early-return; aDb[iDb] valid by parser invariant,,high
DCL13-C,6,sqlite,src/build.c,102,TP,codeTableLocks reads pParse fields only never writes through it; const Parse* would compile (DCL13 declaration-class TP),,medium
INT32-C,7,sqlite,src/build.c,185,FP,reg+i bounded by nRetCol VDBE register count; not attacker-controlled to INT_MAX,,high
EXP33-C,8,sqlite,src/build.c,206,FP,pSchema assigned db->aDb[iDb].pSchema before use on every iteration that passes the cookieMask test,,high
EXP33-C,9,sqlite,src/build.c,222,FP,i is a loop counter initialized in for(i=0;...) on every use path,,high
INT32-C,10,sqlite,src/build.c,311,FP,nErr is a small bounded error counter; cannot reach INT_MAX in a single parse,,high
API00-C,11,sqlite,src/build.c,337,FP,sqlite3FindTable asserts mutex; db is a valid connection by internal contract,,high
EXP34-C,12,sqlite,src/build.c,344,FP,db dereferenced only after assert holding mutexes; db non-null by caller contract,,high
API00-C,13,sqlite,src/build.c,408,FP,zName/zDbase contract: callers pass valid strings; zDbase NULL handled explicitly,,high
API00-C,14,sqlite,src/build.c,408,FP,same as 13; LocateTable dereferences pParse->db with established non-null contract,,high
DCL30-C,15,sqlite,src/build.c,469,FP,p is sqlite3FindTable result returned by value (Table*) not address of local; no DCL30 issue,,high
API00-C,16,sqlite,src/build.c,481,FP,pParse used to reach db; internal contract guarantees non-null,,high
API00-C,17,sqlite,src/build.c,481,FP,p (SrcItem*) member access guarded by parser-built SrcList; non-null by contract,,high
DCL13-C,18,sqlite,src/build.c,484,FP,p->fg/p->u4/p->zName only read in LocateTableItem; but signature is part of locate API and p fields read-only here so const candidate is borderline; pointee not mutated,,medium
API00-C,19,sqlite,src/build.c,502,FP,"zName read-only contract; not a defect, system literal table names",,high
API00-C,20,sqlite,src/build.c,526,FP,db non-null by FindIndex contract with mutex assert,,high
INT13-C,21,sqlite,src/build.c,532,FP,i^1 is intentional TEMP/MAIN swap on small bounded index; INT13 bitwise-on-signed is a stylistic FP here,,high
API00-C,22,sqlite,src/build.c,546,FP,FreeIndex db is connection arg passed to DbFree; not validated by design,,high
API00-C,23,sqlite,src/build.c,546,FP,p index pointer freed at end; caller guarantees non-null (UnlinkAndDelete checks ALWAYS(pIndex)),,high
MSC04-C,24,sqlite,src/build.c,546,FP,recursion path passes through sqlite3DeleteTable->deleteTable but is bounded by schema tree depth and nTabRef refcount; not unbounded MSC04 defect,,high
EXP34-C,25,sqlite,src/build.c,550,FP,p non-null guaranteed by caller ALWAYS(pIndex) before sqlite3FreeIndex call,,high
MEM30-C,26,sqlite,src/build.c,553,FP,"p->isResized read before sqlite3DbFree(db,p); p freed only at the final line, not before",,high
MEM30-C,27,sqlite,src/build.c,553,FP,sqlite3DbFree frees its 2nd arg not db; db is the connection never freed,,high
MEM30-C,28,sqlite,src/build.c,553,FP,p->azColl read before p is freed; no use-after-free,,high
MEM30-C,29,sqlite,src/build.c,557,FP,db is connection arg to DbFree not the freed object,,high
API00-C,30,sqlite,src/build.c,566,FP,UnlinkAndDeleteIndex db non-null by contract with SchemaMutexHeld assert,,high
