project,file,line,rule,verdict,reason
pureftpd,src/log_mysql.c,7,PRE08-C,TP,"log_mysql_p.h and log_mysql.h share the same first 8 characters ('log_mysq') case-insensitively; both are #included in this file (lines 7-8), matching PRE08-C's literal ambiguous-truncation condition even though modern filesystems make the practical risk negligible."
pureftpd,src/log_mysql.c,28,MSC12-C,FP,"The empty if-body at line 28 pairs with a non-empty else that returns -1 for invalid characters; the if/else as a whole has real effect (rejecting bad chars), so this is a deliberate 'accept and fall through, reject and return' idiom (documented by the adjacent comment), not dead/no-effect code."
pureftpd,src/log_mysql.c,54,MEM10-C,TP,"`if (from == NULL) { return NULL; }` at line 54 is a direct ad-hoc NULL check on parameter `from`, matching MEM10-C's definition of validating a pointer parameter without a centralized validation function; it is a negative/early-return guard, which sqc's own suppression logic for positive guards does not apply to."
pureftpd,src/log_mysql.c,59,STR01-C,FP,"The 'mixed string management' flag compares a fixed stack buffer used for a bounded query string (line 251) against a heap buffer sized for an arbitrary escaped string (line 59); using different storage strategies for different purposes (fixed protocol buffer vs. dynamically-sized escape output) is normal, idiomatic C, not an inconsistency defect."
pureftpd,src/log_mysql.c,59,ERR33-C,FP,"`to = malloc(...)` IS checked for NULL in the very same statement: `if ((to = malloc(to_len + 4U)) == NULL) return NULL;`. sqc's forward-scan for the check only looks at sibling statements *after* the assignment inside the enclosing compound statement, missing that the check is embedded in the same if-condition, so it wrongly reports the malloc as unchecked."
pureftpd,src/log_mysql.c,59,MEM02-C,TP,"`to = malloc(to_len + (size_t) 4U)` assigns the malloc result directly to a `char *` without any explicit cast, matching MEM02-C's literal definition even though this is stylistically harmless in modern C."
pureftpd,src/log_mysql.c,59,ERR00-C,FP,"Same as the ERR33-C finding on this line: the malloc result is checked for NULL inline (`if ((to = malloc(...)) == NULL) ...`); sqc's `has_nearby_error_check` walk gives up after 3 AST-parent hops without reaching the enclosing if/compound_statement, so it misses this in-condition check."
pureftpd,src/log_mysql.c,59,INT32-C,TP,"`to_len = from_len * 2U + 1U` is a size_t computed from an unbounded `strlen(from)` with no explicit overflow guard before being used in `malloc(to_len + 4U)`; `pw_mysql_validate_name` only restricts which characters are allowed, not the string's length, so this is a legitimate (if impractical to trigger) integer-overflow-before-allocation pattern."
pureftpd,src/log_mysql.c,59,MEM04-C,FP,"`to_len = from_len * 2U + 1U` is provably >= 1, so `to_len + 4U` is provably >= 5 and can never be zero; the zero-size-allocation concern MEM04-C targets does not actually apply here."
pureftpd,src/log_mysql.c,59,MEM06-C,FP,"MEM06-C fires unconditionally on every malloc/calloc/realloc call in the file (its `has_memory_protection` check just looks for any mlock/setrlimit call anywhere in the function) with no actual sensitivity analysis; this buffer is a generic SQL-escaping scratch buffer, not demonstrably 'sensitive data'."
pureftpd,src/log_mysql.c,63,DCL06-C,TP,"0xff is used as a byte mask 4 times (lines 63,64,66,67) without a symbolic constant, matching DCL06-C's literal repeated-magic-number definition."
pureftpd,src/log_mysql.c,68,ARR30-C,FP,"`to[to_len]` accesses index to_len into a buffer allocated as `malloc(to_len + 4U)` at line 59; index to_len is within the allocated to_len+4 bytes (it's one of 4 intentional canary bytes appended after the escaped string), so this is not an out-of-bounds access."
pureftpd,src/log_mysql.c,68,ARR37-C,FP,"ARR37-C's analyzer classifies `to` as a 'NonArray' (single-object) pointer merely because its malloc argument text lacks '*' or 'sizeof' (`malloc(to_len + (size_t) 4U)`), missing that this is a classic dynamically-sized array allocation; subscripting a heap pointer within its own allocated bounds is standard, compliant C, not a violation of 'do not add an integer to a pointer to a non-array object'."
pureftpd,src/log_mysql.c,68,EXP34-C,FP,`to` is checked for NULL immediately after the malloc at line 59 (`if ((to = malloc(...)) == NULL) return NULL;`); by line 68 `to` is provably non-NULL on every reachable path.
pureftpd,src/log_mysql.c,69,ARR30-C,FP,"Same reasoning as line 68: `to[to_len+1]` is within the to_len+4 allocated bytes (a canary byte), not out of bounds."
pureftpd,src/log_mysql.c,69,ARR37-C,FP,"Same ARR37-C misclassification as line 68: `to` is a dynamically-sized buffer, not a 'non-array object'; indexing it is compliant."
pureftpd,src/log_mysql.c,70,ARR30-C,FP,"`to[to_len+2]` is within the to_len+4 allocated bytes (a canary byte), not out of bounds."
pureftpd,src/log_mysql.c,70,ARR37-C,FP,Same ARR37-C misclassification as line 68.
pureftpd,src/log_mysql.c,71,ARR30-C,FP,"`to[to_len+3]` is the last of the 4 allocated canary bytes (to_len+4 total), not out of bounds."
pureftpd,src/log_mysql.c,71,ARR37-C,FP,Same ARR37-C misclassification as line 68.
pureftpd,src/log_mysql.c,83,ARR30-C,FP,`to[to_len]` (re-read of the first canary byte for comparison against t1) remains within the to_len+4 allocated bytes; not out of bounds.
pureftpd,src/log_mysql.c,83,ARR37-C,FP,"Same ARR37-C misclassification: `to` is a dynamically-sized heap buffer, not a non-array object."
pureftpd,src/log_mysql.c,84,ARR30-C,FP,`to[to_len+1]` re-read for canary comparison is within allocated bounds.
pureftpd,src/log_mysql.c,84,ARR37-C,FP,Same ARR37-C misclassification as above.
pureftpd,src/log_mysql.c,85,ARR30-C,FP,`to[to_len+2]` re-read for canary comparison is within allocated bounds.
pureftpd,src/log_mysql.c,85,ARR37-C,FP,Same ARR37-C misclassification as above.
pureftpd,src/log_mysql.c,86,ARR30-C,FP,`to[to_len+3]` re-read for canary comparison is within allocated bounds (last byte of the to_len+4 allocation).
pureftpd,src/log_mysql.c,86,ARR37-C,FP,Same ARR37-C misclassification as above.
pureftpd,src/log_mysql.c,88,STR34-C,FP,"`*to++ = 0;` writes the constant 0 into a char through a char pointer; STR34-C's sign-extension concern is about reading a (possibly negative) char and converting it to a wider type, which does not apply to writing a literal into a char-typed lvalue."
pureftpd,src/log_mysql.c,88,ARR37-C,FP,"`to++` inside the wipe loop is ordinary pointer arithmetic advancing through the heap buffer's own bytes (which sqc separately, and incorrectly, classifies as a 'non-array' single object); it is not pointer arithmetic on a non-array object."
pureftpd,src/log_mysql.c,91,ARR30-C,FP,"By line 91 the canary-mismatch/overflow branch (lines 82-90) has either infinite-looped (never falls through) or confirmed `escaped_len < to_len`, so `to[escaped_len]` is provably in-bounds."
pureftpd,src/log_mysql.c,91,ARR37-C,FP,"Same ARR37-C misclassification: `to` is a dynamically-sized escape buffer, not a non-array object."
pureftpd,src/log_mysql.c,93,DCL30-C,FP,"`to` is heap memory obtained from `malloc`, not a local variable with automatic storage duration; returning a heap pointer the caller is responsible for freeing is the correct, intended usage and creates no dangling pointer."
pureftpd,src/log_mysql.c,93,ARR00-C,FP,"Same as the DCL30-C finding on this line: `to` is malloc'd heap memory, not 'a local array which will be destroyed when function returns' — it deliberately survives the function's return for the caller to use and free."
pureftpd,src/log_mysql.c,110,EXP40-C,FP,"`char *query_pnt = query;` copies a `char * const query` parameter (a const *pointer variable*, not a pointer-to-const) into a plain `char *`; only the top-level 'this pointer variable can't be reassigned' qualifier is dropped, not any pointee const-qualification, so nothing is actually cast away."
pureftpd,src/log_mysql.c,118,ARR30-C,FP,"`while (*orig_str_scan != 0) { ...; orig_str_scan++; }` is ordinary NUL-terminated string traversal; the loop is inherently bounded by the string's terminator, not an unbounded pointer walk lacking a length check."
pureftpd,src/log_mysql.c,121,CON43-C,FP,"`switch (tolower((unsigned char) *orig_str_scan))` dereferences `orig_str_scan` once into a local expression evaluated once for the switch; this is single-threaded code with no shared/kernel memory re-fetched by another actor, so there is no double-fetch/TOCTOU scenario here."
pureftpd,src/log_mysql.c,129,EXP34-C,FP,"`memcpy(query_pnt, user, user_len)` is only reached after `if (user_len <= 0) goto nextone;`, and `user_len` is computed as `user == NULL ? 0 : strlen(user)`; user_len can only be > 0 when `user` is non-NULL, so `user` is provably non-NULL at the memcpy call."
pureftpd,src/log_mysql.c,129,EXP05-C,FP,"`memcpy(..., user_len)` passes `user_len` (a `const size_t`) by value as a function argument; passing a const-qualified value by copy does not cast away const qualification, since no aliasing pointer or reference is involved."
pureftpd,src/log_mysql.c,140,EXP34-C,FP,"Same reasoning as the `user` finding at line 129: `memcpy(query_pnt, ip, ip_len)` is guarded by `if (ip_len <= 0) goto nextone;`, and `ip_len` is only nonzero when `ip` is non-NULL."
pureftpd,src/log_mysql.c,140,EXP05-C,FP,Passing `ip_len` (a `const size_t`) by value to memcpy does not cast away const qualification.
pureftpd,src/log_mysql.c,151,EXP34-C,FP,"`memcpy(query_pnt, port, port_len)` is guarded by `if (port_len <= 0) goto nextone;`, and `port_len` is only nonzero when `port` is non-NULL."
pureftpd,src/log_mysql.c,151,EXP05-C,FP,Passing `port_len` by value does not cast away const qualification.
pureftpd,src/log_mysql.c,162,EXP34-C,FP,"`memcpy(query_pnt, peer_ip, peer_ip_len)` is guarded by `if (peer_ip_len <= 0) goto nextone;`, and `peer_ip_len` is only nonzero when `peer_ip` is non-NULL."
pureftpd,src/log_mysql.c,162,EXP05-C,FP,Passing `peer_ip_len` by value does not cast away const qualification.
pureftpd,src/log_mysql.c,173,EXP34-C,FP,"`memcpy(query_pnt, decimal_ip, decimal_ip_len)` is guarded by `if (decimal_ip_len <= 0) goto nextone;`, and `decimal_ip_len` is only nonzero when `decimal_ip` is non-NULL."
pureftpd,src/log_mysql.c,173,EXP05-C,FP,Passing `decimal_ip_len` by value does not cast away const qualification.
pureftpd,src/log_mysql.c,181,STR34-C,FP,"`*query_pnt++ = '\\';` writes a char literal through a char pointer target; there is no read-and-widen of a char value here, so STR34-C's sign-extension concern does not apply."
pureftpd,src/log_mysql.c,190,STR34-C,FP,"`*query_pnt++ = *orig_str_scan;` assigns a char value into a char-typed lvalue (query_pnt is `char *`); the destination is not a 'larger type', so no sign-extension-on-widening occurs."
pureftpd,src/log_mysql.c,190,STR34-C,FP,"Same statement, `*orig_str_scan` (char) is copied into `*query_pnt` (also char), not into any larger integer type; sqc's message mischaracterizes the char-to-char assignment as a widening conversion."
pureftpd,src/log_mysql.c,190,STR34-C,FP,Duplicate flag on the same char-to-char assignment; no widening conversion is present.
pureftpd,src/log_mysql.c,194,STR34-C,FP,`*query_pnt = 0;` writes the constant 0 through a char pointer; writing a literal is not a char-to-larger-type conversion.
pureftpd,src/log_mysql.c,196,DCL30-C,FP,`query` in sqlsubst is a parameter (`char * const query`) aliasing the caller's own stack buffer (`char query[MYSQL_MAX_REQUEST_LENGTH]` declared in pw_mysql_getquery); returning it is not returning a pointer to a local variable of *this* function — the caller's frame that owns the storage is still live when the pointer is used.
pureftpd,src/log_mysql.c,245,INT01-C,FP,"The `account` parameter of `pw_mysql_getquery` is `const char * const account`, an escaped SQL-parameter string, not anything that represents a size; INT01-C's naming heuristic misfired."
pureftpd,src/log_mysql.c,251,ENV01-C,FP,"`char query[MYSQL_MAX_REQUEST_LENGTH];` has nothing to do with an environment variable — this file never calls getenv(); ENV01-C's check flags any fixed-size array whose size expression merely contains the substring 'MAX', with no check for actual env-var usage."
pureftpd,src/log_mysql.c,265,EXP33-C,FP,"`query` is filled via the out-parameter `sqlsubst(orig_query, query, sizeof query, ...)` before being used in `mysql_real_query(..., query, ...)` at line 265; sqc's uninitialized-use check does not track that a helper function writes into a buffer passed by pointer, so it misses the initialization."
pureftpd,src/log_mysql.c,283,EXP02-C,TP,"`lengths == NULL || (length = (size_t) lengths[0] + 1U) <= 1U` does put a side-effecting assignment in the right operand of `||`, which by design only executes when the left operand is false; this matches EXP02-C's literal short-circuit-side-effect pattern, even though the resulting behavior here is safe (both branches lead to `goto bye`)."
pureftpd,src/log_mysql.c,286,ERR33-C,FP,"`answer = malloc(length)` is checked for NULL in the same statement (`if ((answer = malloc(length)) == NULL) goto bye;`); sqc's forward-only check misses this in-condition NULL check, same root cause as the line-59 ERR33-C finding."
pureftpd,src/log_mysql.c,286,MEM02-C,TP,"`answer = malloc(length)` assigns the malloc result to `char *answer` without an explicit cast, matching MEM02-C's literal definition."
pureftpd,src/log_mysql.c,286,ERR00-C,FP,Same as ERR33-C on this line: the malloc result is checked for NULL inline; sqc's 3-hop-limited `has_nearby_error_check` walk never reaches the enclosing if/compound_statement that contains the check.
pureftpd,src/log_mysql.c,286,MEM04-C,FP,"`length = (size_t) lengths[0] + 1U` is only ever reached with `length > 1` (the preceding `<= 1U` check at line 283 goes to `bye` otherwise), so `malloc(length)` can never be a zero-size allocation."
pureftpd,src/log_mysql.c,286,MEM06-C,FP,"MEM06-C fires on every malloc call unconditionally regardless of what data the caller eventually stores there; `pw_mysql_getquery` is a generic single-field fetch helper reused for uid/gid/dir/quota values as well as the password hash, so the allocation site itself is not evidence of 'sensitive data'."
pureftpd,src/log_mysql.c,289,API07-C,FP,"`strncpy(answer, row[0], length - 1)` is immediately followed at line 290 by `answer[length - 1] = 0;`, which is exactly CERT's own prescribed fix ('manually null-terminate the destination buffer'); API07-C flags every strncpy call unconditionally without checking for this already-compliant follow-up."
pureftpd,src/log_mysql.c,289,STR03-C,FP,"`length` used here is `lengths[0] + 1`, the MySQL driver's own exact byte length for `row[0]`, and `answer` was malloc'd to exactly that `length`; the copy length is derived from the true source length, not an arbitrary/unvalidated guess, so no truncation can occur."
pureftpd,src/log_mysql.c,290,ARR37-C,FP,"ARR37-C misclassifies `answer` (from `malloc(length)`, a runtime-sized buffer) as a 'NonArray' single object because the malloc argument text lacks '*'/'sizeof'; `answer[length - 1]` is ordinary, compliant indexing of a dynamically-sized buffer."
pureftpd,src/log_mysql.c,290,EXP34-C,FP,"`answer` is checked for NULL at the malloc call (line 286, `if ((answer = malloc(length)) == NULL) goto bye;`); the code at line 290 is only reached when `answer != NULL`."
pureftpd,src/log_mysql.c,302,DCL30-C,FP,"`answer` is malloc'd heap memory (line 286), not a local variable with automatic storage; returning it to the caller (which is expected to free it) is correct and creates no dangling pointer."
pureftpd,src/log_mysql.c,302,ARR00-C,FP,"Same as the DCL30-C finding on this line: `answer` is heap memory from `malloc`, not a local array destroyed on return."
pureftpd,src/log_mysql.c,305,API00-C,TP,"`pw_mysql_check` dereferences `result` (`result->auth_ok = 0;`) with no prior NULL check, matching API00-C's literal 'validate pointer parameters before use' definition, even though in practice the caller always supplies a valid AuthResult."
