rule,idx,project,file,line,verdict,reason,provenance,confidence
API00-C,0,sqlite,ext/fts3/fts3_write.c,280,FP,"internal wrapper; p is the FTS3 vtab handle, zSql/pp caller-supplied from in-tree callers",,high
API00-C,1,sqlite,ext/fts3/fts3_write.c,280,FP,zSql is internal SQL string built by FTS3; not untrusted,,high
API00-C,2,sqlite,ext/fts3/fts3_write.c,280,FP,pp is OUT param (address of caller local); never invalid,,high
DCL13-C,3,sqlite,ext/fts3/fts3_write.c,281,TP,param 'p' only read (p->db) in PrepareStmt; never modified,,high
EXP00-C,4,sqlite,ext/fts3/fts3_write.c,287,FP,ternary operands already parenthesized; bitwise-or of flags is idiomatic,,high
EXP00-C,5,sqlite,ext/fts3/fts3_write.c,287,FP,duplicate of line 287 finding,,high
INT13-C,6,sqlite,ext/fts3/fts3_write.c,288,FP,operands are flag constants via ternary (SQLITE_PREPARE_*); bitmask combine not signed-data misuse,,high
DCL13-C,7,sqlite,ext/fts3/fts3_write.c,309,TP,apVal[] only read (bound/value_text); array of pointers not modified,,med
ARR02-C,8,sqlite,ext/fts3/fts3_write.c,311,FP,local string-literal array sized by initializer; implicit bound is correct and indexed by compile-time SQL_XXX constants,,high
ARR00-C,9,sqlite,ext/fts3/fts3_write.c,417,FP,eStmt asserted 0<=eStmt<SizeofArray at line 415 and always a compile-time SQL_XXX constant from internal callers,,high
ARR00-C,10,sqlite,ext/fts3/fts3_write.c,435,FP,same bounded eStmt; assertion at 415 guarantees range,,high
INT32-C,11,sqlite,ext/fts3/fts3_write.c,442,FP,"bind-param index i bounded by nParam (sqlite3_bind_parameter_count), tiny",,high
DCL30-C,12,sqlite,ext/fts3/fts3_write.c,445,FP,"*pp=pStmt stores heap sqlite3_stmt pointer value, not address of automatic",,high
EXP34-C,13,sqlite,ext/fts3/fts3_write.c,461,FP,pStmt used only under rc==SQLITE_OK from fts3SqlStmt which guarantees non-null (assert rc==OK||pStmt==0),,high
DCL30-C,14,sqlite,ext/fts3/fts3_write.c,471,FP,"*ppStmt=pStmt stores heap stmt pointer value, not &automatic",,high
API00-C,15,sqlite,ext/fts3/fts3_write.c,475,FP,internal; pTab is trusted FTS3 vtab handle,,high
API00-C,16,sqlite,ext/fts3/fts3_write.c,475,FP,ppStmt is OUT param set before return,,high
EXP34-C,17,sqlite,ext/fts3/fts3_write.c,484,FP,pStmt deref under rc==SQLITE_OK guarantee from fts3SqlStmt,,high
DCL30-C,18,sqlite,ext/fts3/fts3_write.c,492,FP,"*ppStmt=pStmt stores heap stmt pointer value, not &automatic",,high
API00-C,19,sqlite,ext/fts3/fts3_write.c,496,FP,"internal; pTab trusted vtab handle, delegates to fts3SelectDocsize",,high
API00-C,20,sqlite,ext/fts3/fts3_write.c,496,FP,ppStmt OUT param,,high
DCL13-C,21,sqlite,ext/fts3/fts3_write.c,584,TP,getAbsoluteLevel reads only p->nIndex; p never modified,,high
INT32-C,22,sqlite,ext/fts3/fts3_write.c,594,FP,"explicit (sqlite3_int64) cast before multiply; iLangid 32-bit, nIndex small (prefix count); no 32-bit wrap",,high
