rule,idx,project,file,line,verdict,reason
INT33-C,1,sel4,src/arch/x86/model/statedata.c,71,FP,"FP: CONFIG_WORD_SIZE is a nonzero compile-time constant (64) from the kernel's generated config, never a runtime value that could be zero. Flagged only because the macro is opaque without a compile database."
INT34-C,2,sel4,src/arch/arm/32/kernel/vspace.c,344,FP,"FP: shift amount is the compile-time constant seL4_PageTableBits = 12, far below the 32/64-bit operand width, so the shift can never reach or exceed it. Flagged only because the macro is opaque without a compile database; --compile-commands resolves it and the finding disappears."
INT34-C,3,sel4,src/arch/arm/32/kernel/vspace.c,2723,FP,"FP: shift amount is the compile-time constant seL4_PageBits = 12, far below the 32/64-bit operand width, so the shift can never reach or exceed it. Flagged only because the macro is opaque without a compile database; --compile-commands resolves it and the finding disappears."
INT34-C,4,sel4,src/arch/arm/32/object/objecttype.c,212,FP,"FP: shift amount is the compile-time constant seL4_PageBits = 12, far below the 32/64-bit operand width, so the shift can never reach or exceed it. Flagged only because the macro is opaque without a compile database; --compile-commands resolves it and the finding disappears."
INT34-C,5,sel4,src/arch/arm/64/kernel/vspace.c,1099,FP,"FP: shift amount is the compile-time constant seL4_PageBits = 12, far below the 32/64-bit operand width, so the shift can never reach or exceed it. Flagged only because the macro is opaque without a compile database; --compile-commands resolves it and the finding disappears."
INT34-C,6,sel4,src/arch/arm/64/kernel/vspace.c,1101,FP,"FP: shift amount is the compile-time constant seL4_PageBits = 12, far below the 32/64-bit operand width, so the shift can never reach or exceed it. Flagged only because the macro is opaque without a compile database; --compile-commands resolves it and the finding disappears."
INT34-C,7,sel4,src/arch/riscv/kernel/vspace.c,183,FP,"FP: shift amount is the compile-time constant seL4_PageBits = 12, far below the 32/64-bit operand width, so the shift can never reach or exceed it. Flagged only because the macro is opaque without a compile database; --compile-commands resolves it and the finding disappears."
INT34-C,8,sel4,src/arch/riscv/kernel/vspace.c,210,FP,"FP: shift amount is the compile-time constant seL4_PageBits = 12, far below the 32/64-bit operand width, so the shift can never reach or exceed it. Flagged only because the macro is opaque without a compile database; --compile-commands resolves it and the finding disappears."
INT34-C,9,sel4,src/arch/riscv/kernel/vspace.c,389,FP,"FP: shift amount is the compile-time constant seL4_PageTableBits = 12, far below the 32/64-bit operand width, so the shift can never reach or exceed it. Flagged only because the macro is opaque without a compile database; --compile-commands resolves it and the finding disappears."
INT34-C,10,sel4,src/arch/riscv/kernel/vspace.c,570,FP,"FP: shift amount is the compile-time constant seL4_PageBits = 12, far below the 32/64-bit operand width, so the shift can never reach or exceed it. Flagged only because the macro is opaque without a compile database; --compile-commands resolves it and the finding disappears."
