rule,idx,project,file,line,verdict,reason
MEM30-C,0,curl,lib/doh.c,1334,FP,data->state is embedded struct never freed; Curl_safefree frees member once
MEM30-C,1,curl,lib/ftp.c,3119,FP,free-then-reassign: most_recent_ftp_entrypath strdup'd on prior line
MEM30-C,2,curl,lib/url.c,537,FP,sequential frees of distinct members; socks_proxy embedded struct not freed
MEM30-C,3,curl,src/tool_operate.c,776,FP,etag_save embedded struct; filename freed once
MEM30-C,4,hostap,hostapd/config_file.c,2772,FP,freed ca_cert member then accessed acct_server (different member)
MEM30-C,5,hostap,hostapd/config_file.c,3620,FP,conf never freed in function; else-if config chain
MEM30-C,6,hostap,src/ap/eap_user_db.c,209,FP,hapd->conf not freed anywhere in function
MEM30-C,7,hostap,src/ap/hostapd.c,2711,FP,deinit_no_free does not free hapd; cleanup order valid
MEM30-C,8,hostap,src/ap/hostapd.c,3009,FP,bss_deinit_no_free does not free hapd
MEM30-C,9,hostap,src/ap/ieee802_1x.c,1623,FP,free-then-reassign: aaaEapKeyData os_malloc on prior line
MEM30-C,10,hostap,src/ap/sta_info.c,394,FP,ieee802_1x_free_station frees station data not hapd
MEM30-C,11,hostap,src/ap/wps_hostapd.c,1062,FP,free-then-reassign: application_ext wpabuf_dup/NULL before read
MEM30-C,12,hostap,src/drivers/driver_ndis.c,563,FP,oid is integer param; free in other #if branch frees o
MEM30-C,13,hostap,src/drivers/driver_wext.c,358,FP,free-then-reassign: assoc_req_ies os_memdup on prior line
MEM30-C,14,hostap,src/eap_peer/eap_fast.c,822,FP,free-then-reassign: session_id rederived on prior line
MEM30-C,15,hostap,src/eap_server/eap_server_ttls.c,1246,FP,free-then-reassign: identity os_malloc on prior line
MEM30-C,16,hostap,src/p2p/p2p.c,2268,FP,freed wfd_subelems then reassigned; access is other dev->info members
MEM30-C,17,hostap,src/p2p/p2p_pd.c,1983,FP,p2ps_prov_free frees member and only on goto-out path
MEM30-C,18,hostap,src/tls/tlsv1_client_read.c,509,FP,conn->cred never freed in function
MEM30-C,19,hostap,src/tls/tlsv1_client_read.c,701,FP,dh_p freshly os_memdup'd and NULL-checked before use
MEM30-C,20,hostap,src/tls/tlsv1_client_read.c,726,FP,pos is cursor into message buffer; never freed
MEM30-C,21,hostap,wpa_supplicant/ap.c,1419,FP,flagged line IS the free of ap_pin member; hapd->conf not freed
MEM30-C,22,hostap,wpa_supplicant/config.c,1795,FP,bin_clear_free of password member then reassign; ssid->eap embedded
MEM30-C,23,hostap,wpa_supplicant/config.c,3069,FP,num_domain is scalar member; cred itself not yet freed
MEM30-C,24,hostap,wpa_supplicant/wpa_supplicant.c,8111,FP,conf->non_pref_chan never freed in function
MEM30-C,25,mosquitto,lib/net_ws.c,336,FP,freed out_packet in other branch; access is payloadlen member
MEM30-C,26,mosquitto,lib/will_mosq.c,98,FP,will freshly calloc'd; payloadlen scalar member
MEM30-C,27,mosquitto,plugins/dynamic-security/roles.c,332,FP,frees in continue-branches affect prior loop iteration's role
MEM30-C,28,mosquitto,src/handle_publish.c,123,FP,only free is inside #if 0 block (compiled out)
MEM30-C,29,mosquitto,src/persist_read.c,333,FP,cleanup label unreachable after success-path frees; distinct members
MEM30-C,30,mosquitto,test/lib/c/09-util-topic-tokenise.c,95,FP,topic_count is stack int; tokens_free frees array not count
MEM30-C,31,sqlite,autosetup/jimsh0.c,11565,FP,free-list walk happens before Jim_Free loop
MEM30-C,32,sqlite,ext/expert/sqlite3expert.c,1004,FP,free-then-reassign: zName mprintf'd and NULL-checked in loop
MEM30-C,33,sqlite,ext/fts5/fts5_main.c,1592,FP,pCsr never freed in function
MEM30-C,34,sqlite,ext/fts5/fts5_main.c,1610,FP,pCsr never freed in function
MEM30-C,35,sqlite,ext/rbu/sqlite3rbu.c,3581,FP,prepareFreeAndCollectError frees SQL string not zStateDb
MEM30-C,36,sqlite,ext/session/changeset.c,425,FP,zSQLTabName not freed in loop body; per-table reassign pattern
MEM30-C,37,sqlite,src/main.c,851,FP,lookaside is embedded struct; buffer freshly allocated
MEM30-C,38,sqlite,src/os_unix.c,6217,FP,pInode assigned by findInodeInfo; not freed
MEM30-C,39,sqlite,src/tclsqlite.c,634,FP,sequential frees of distinct pDb members
MEM30-C,40,sqlite,src/test6.c,325,FP,pWrite not freed before use; zGarbage freed after loop
MEM30-C,41,sqlite,src/vdbe.c,1468,FP,pOp->p3 is int opcode operand not pointer
MEM30-C,42,sqlite,src/vdbe.c,4189,FP,pOp->p1 is int opcode operand not pointer
MEM30-C,43,sqlite,src/vdbe.c,4261,FP,pOp->p3 is int opcode operand not pointer
MEM30-C,44,sqlite,src/vdbe.c,5910,FP,p->nCursor is int member not pointer
MEM30-C,45,sqlite,src/vdbe.c,6511,FP,pOp->p1 is int opcode operand not pointer
MEM30-C,46,sqlite,src/vdbe.c,9131,FP,pOp->p3 is int opcode operand not pointer
MEM30-C,47,sqlite,src/vdbemem.c,277,FP,free-then-reassign: zMalloc reallocated before NULL check
