rule,idx,project,file,line,verdict,reason,provenance,confidence
MSC04-C,0,sqlite,src/select.c,82,TP,"clearSelect genuinely participates in indirect recursion via sqlite3WithDelete back to clearSelect, factual call-graph cycle",,high
API00-C,1,sqlite,src/select.c,112,FP,"pDest is caller-guaranteed non-null internal init routine, always passed address of a SelectDest",,high
API00-C,2,sqlite,src/select.c,126,FP,"pParse non-null by caller contract, immediately deref'd as pParse->db throughout parser",,high
API00-C,3,sqlite,src/select.c,126,FP,"pEList may be 0 and is explicitly handled at line 144 if(pEList==0), not an unchecked deref",,high
API00-C,4,sqlite,src/select.c,126,FP,"pSrc may be 0 and is explicitly handled at line 155 if(pSrc==0), not an unchecked deref",,high
API00-C,5,sqlite,src/select.c,126,FP,"pWhere only stored into pNew->pWhere, never dereferenced here",,high
API00-C,6,sqlite,src/select.c,126,FP,"pGroupBy only stored into pNew->pGroupBy, never dereferenced",,high
API00-C,7,sqlite,src/select.c,126,FP,"pHaving only stored into pNew->pHaving, never dereferenced",,high
API00-C,8,sqlite,src/select.c,126,FP,"pOrderBy only stored into pNew->pOrderBy, never dereferenced",,high
API00-C,9,sqlite,src/select.c,126,FP,"pLimit only stored into pNew->pLimit, never dereferenced",,high
DCL13-C,10,sqlite,src/select.c,128,FP,"pEList stored into non-const field pNew->pEList and reassigned, const would break assignment",,high
DCL13-C,11,sqlite,src/select.c,129,FP,"pSrc stored into non-const field pNew->pSrc and reassigned, const invalid",,high
DCL13-C,12,sqlite,src/select.c,130,FP,"pWhere stored into non-const Expr* field pNew->pWhere, const invalid",,high
DCL13-C,13,sqlite,src/select.c,131,FP,"pGroupBy stored into non-const field pNew->pGroupBy, const invalid",,high
DCL13-C,14,sqlite,src/select.c,132,FP,"pHaving stored into non-const field pNew->pHaving, const invalid",,high
DCL13-C,15,sqlite,src/select.c,133,FP,"pOrderBy stored into non-const field pNew->pOrderBy, const invalid",,high
DCL13-C,16,sqlite,src/select.c,135,FP,"pLimit stored into non-const field pNew->pLimit, const invalid",,high
EXP30-C,17,sqlite,src/select.c,139,FP,"single chained assignment pAllocated=pNew=malloc(), no double modification between sequence points",,high
EXP33-C,18,sqlite,src/select.c,139,FP,"pNew is initialized by the malloc assignment on line 139, not uninitialized",,high
