rule,idx,project,file,line,verdict,reason,provenance,confidence
PRE00-C,0,sqlite,ext/misc/unionvtab.c,244,TP,unionGetDb macro expands (pTab) and (pSrc) and evaluates ternary; pSrc evaluated only on one branch but pTab twice — function-like macro multiple-eval is factually present,,high
PRE12-C,1,sqlite,ext/misc/unionvtab.c,244,TP,same macro at 244 references pTab twice across the ternary expansion; multiple-evaluation hazard genuinely exists,,med
INT31-C,2,sqlite,ext/misc/unionvtab.c,259,FP,"unionMalloc nByte is sqlite3_int64 with assert(nByte>0); sqlite3_malloc64 takes the 64-bit value, no narrowing of an attacker length here",,high
DCL30-C,3,sqlite,ext/misc/unionvtab.c,266,FP,"pRet is a pointer object (void*); returning its value is fine, not the address of a local — analyzer misread",,high
STR34-C,4,sqlite,ext/misc/unionvtab.c,279,FP,zIn used only in strlen()/memcpy() (line 279/282); no per-char int promotion into a sign-sensitive context,,high
INT31-C,5,sqlite,ext/misc/unionvtab.c,282,FP,"nByte=strlen()+1 (sqlite3_int64), passed to unionMalloc which is 64-bit; no truncating bound elided",,high
INT32-C,6,sqlite,ext/misc/unionvtab.c,310,FP,iIn bounded by NUL terminator of an in-memory dequoted string; cannot reach INT_MAX in a SQL identifier,,high
INT32-C,7,sqlite,ext/misc/unionvtab.c,316,FP,iIn+=2 only on an escaped doubled-quote inside a bounded NUL-terminated string; no realistic overflow,,high
INT32-C,8,sqlite,ext/misc/unionvtab.c,320,FP,iIn++ in dequote loop bounded by string length; not attacker-unbounded to INT_MAX,,high
STR34-C,9,sqlite,ext/misc/unionvtab.c,350,FP,zSql passed to sqlite3_prepare_v2 as const char*; no char->int sign-extension defect,,high
STR34-C,10,sqlite,ext/misc/unionvtab.c,352,FP,"*pzErr is assignment of an sqlite3_mprintf pointer result to char*, not a char value sign-extended",,high
DCL30-C,11,sqlite,ext/misc/unionvtab.c,356,FP,pRet is sqlite3_stmt* pointer value returned by unionPrepare; not address of automatic local,,high
STR34-C,12,sqlite,ext/misc/unionvtab.c,403,FP,*pzErr assigned mprintf pointer in unionFinalize; no char sign-extension,,high
STR34-C,13,sqlite,ext/misc/unionvtab.c,420,FP,same mprintf-pointer assignment pattern; no STR34 defect,,high
DCL13-C,14,sqlite,ext/misc/unionvtab.c,436,TP,"unionInvokeOpenClose reads pTab->pOpenClose/bHasContext/db only; never writes through pTab, const-valid",,med
DCL13-C,15,sqlite,ext/misc/unionvtab.c,437,TP,"unionInvokeOpenClose reads pSrc->zFile/zContext only and passes them to bind_text; pSrc never written through, const would compile",,med
EXP34-C,16,sqlite,ext/misc/unionvtab.c,442,FP,pTab dereferenced after caller guarantees non-null (unionCloseSources/Disconnect pass live pTab); no attacker null path,,high
INT32-C,17,sqlite,ext/misc/unionvtab.c,447,FP,2+pTab->bHasContext where bHasContext is 0/1 bind-index; cannot overflow,,high
STR34-C,18,sqlite,ext/misc/unionvtab.c,451,FP,*pzErr mprintf-pointer assignment; no char sign-extension,,high
EXP34-C,19,sqlite,ext/misc/unionvtab.c,464,FP,pTab in unionCloseSources is a live table object from caller; not null-reachable,,high
EXP34-C,20,sqlite,ext/misc/unionvtab.c,469,FP,p=*pp where loop guarantees pClosable non-null before deref; bounded by list,,high
INT32-C,21,sqlite,ext/misc/unionvtab.c,473,FP,pTab->nOpen is a small open-file counter (<=nMaxOpen); cannot underflow to INT_MIN,,high
EXP34-C,22,sqlite,ext/misc/unionvtab.c,474,FP,p is taken from non-null pClosable list node; unionInvokeOpenClose receives valid pSrc,,high
DCL13-C,23,sqlite,ext/misc/unionvtab.c,514,TP,"unionIsIntkeyTable reads pSrc->zDb/zTab only; pSrc never written through, const would compile",,med
