rule,idx,project,file,line,verdict,reason,provenance,confidence
DCL13-C,0,sqlite,src/prepare.c,24,FP,azObj is passed to sqlite3MPrintf as plain args and read only (azObj[0]/azObj[1]) never written but signature is the corruptSchema helper contract matching argv char** from callback so const is cosmetic and code never mutates it yet declaration churn risk low still not a defect,,high
INT14-C,1,sqlite,src/prepare.c,32,FP,INITFLAG_AlterMask is a bitmask macro used in & then -1 indexing this is intentional bitmask-to-index idiom not a real INT14 readability defect,,high
INT14-C,2,sqlite,src/prepare.c,32,FP,pData is a struct pointer not an integer the INT14 mixed-bitwise-arithmetic claim is a misparse of pData->mInitFlags & (INITFLAG_AlterMask),,high
ARR02-C,3,sqlite,src/prepare.c,33,FP,azAlterType[] is a static const initializer-sized array implicit bound is correct C and intentional not a defect,,high
API00-C,4,sqlite,src/prepare.c,62,FP,sqlite3IndexHasDuplicateRootPage caller (line 181) only reaches here after sqlite3FindIndex returned non-null pIndex internal contract guarantees non-null,,high
DCL13-C,5,sqlite,src/prepare.c,62,FP,pIndex is read via pIndex->pTable->pIndex and compared but const Index* would require const on pTable->pIndex chain and p iterator API churn this is a benign read but signature is fine; not a reachable defect,,med
EXP34-C,6,sqlite,src/prepare.c,64,FP,pIndex->pTable deref guarded by caller contract (non-null index from sqlite3FindIndex) and schema invariant pTable always set for indexes,,high
API00-C,7,sqlite,src/prepare.c,96,FP,NotUsed is the sqlite3_exec callback 4th arg fixed by callback typedef and consumed by UNUSED_PARAMETER2 never dereferenced,,high
FLP02-C,8,sqlite,src/prepare.c,147,FP,line 147 is assert((rc&0xFF)==(rcp&0xFF)) integer compare not floating point FLP02 is a total misfire,,high
INT13-C,9,sqlite,src/prepare.c,147,FP,rc&0xFF is intentional masking of an int error code low byte not a signedness defect rc is always small positive SQLITE_ codes,,high
INT13-C,10,sqlite,src/prepare.c,157,FP,same masking idiom rc&0xFF at line 157 intentional error-code low-byte test,,high
API00-C,11,sqlite,src/prepare.c,199,FP,sqlite3InitOne db is asserted via sqlite3_mutex_held(db->mutex) and internal-only caller contract guarantees non-null,,high
API00-C,12,sqlite,src/prepare.c,199,FP,pzErrMsg is written through initData.pzErrMsg internal caller always passes &pParse->zErrMsg non-null contract,,high
API00-C,13,sqlite,src/prepare.c,199,FP,iDb is bounds-asserted assert(iDb>=0 && iDb<db->nDb) at line 214 no overflow possible,,high
MEM05-C,14,sqlite,src/prepare.c,199,TP,sqlite3InitOne -> sqlite3Prepare -> sqlite3InitCallback -> sqlite3Prepare genuine indirect recursion through schema parse exists (depth bounded but real),,high
MSC37-C,15,sqlite,src/prepare.c,199,FP,all paths set rc and reach return rc at line 426 via error_out/initone_error_out fallthrough MSC37 misfire,,high
ARR00-C,16,sqlite,src/prepare.c,215,FP,iDb bounds-asserted at line 214 before any db->aDb[iDb] subscript,,high
ARR00-C,17,sqlite,src/prepare.c,217,FP,same iDb assert(iDb>=0 && iDb<db->nDb) covers line 217 subscript,,high
EXP05-C,18,sqlite,src/prepare.c,240,FP,(char**)azArg cast drops const for sqlite3InitCallback char** param which never writes the strings intentional and safe known SQLite idiom,,high
ARR00-C,19,sqlite,src/prepare.c,249,FP,iDb bounds-asserted line 214 covers line 249 pDb=&db->aDb[iDb],,high
ARR30-C,20,sqlite,src/prepare.c,288,FP,loop i<ArraySize(meta) bounds i to 0..4 meta[i] is exactly meta[5] no overflow,,high
INT32-C,21,sqlite,src/prepare.c,288,FP,i+1 ranges 1..5 passed as page index to GetMeta no overflow i is tiny loop counter,,high
INT14-C,22,sqlite,src/prepare.c,300,FP,BTREE_TEXT_ENCODING is a #define constant used as meta[BTREE_TEXT_ENCODING-1] index arithmetic on a macro constant not a runtime INT14 defect,,high
EXP33-C,23,sqlite,src/prepare.c,306,FP,encoding assigned at line 305 before any use at 306/310 within the same #ifndef block fully initialized on the live path,,high
STR30-C,24,sqlite,src/prepare.c,345,FP,sqlite3SetString copies the string into db-allocated memory does not modify the literal STR30 misfire the literal is read-only source,,high
ARR00-C,25,sqlite,src/prepare.c,367,FP,iDb bounds-asserted line 214 covers line 367 db->aDb[iDb].zDbSName,,high
