rule,idx,project,file,line,verdict,reason,provenance,confidence
ARR02-C,0,sqlite,src/date.c,115,FP,aMx[] is a const literal table indexed by zFormat[2]-'a' guarded by assert a..f; implicit bound is the literal count,,high
STR00-C,1,sqlite,src/date.c,127,FP,zFormat is an internal literal format string never used as a negative index; values are constant chars,,high
ARR30-C,2,sqlite,src/date.c,130,FP,loop bounded by N-- (2 or 4) and sqlite3Isdigit stops at NUL terminator,,high
INT07-C,3,sqlite,src/date.c,130,FP,N is char holding 2 or 4 then decremented in a bounded loop; no out-of-range numeric use,,high
INT32-C,4,sqlite,src/date.c,130,FP,N starts at 2 or 4 and loop exits at 0; never approaches INT_MIN,,high
INT32-C,5,sqlite,src/date.c,134,FP,val holds at most 4 digits (max 9999) so val*10+digit cannot overflow int,,high
INT32-C,6,sqlite,src/date.c,134,FP,val bounded to <=4 digits; addition stays well under INT_MAX,,high
INT32-C,7,sqlite,src/date.c,134,FP,val*10 with val<=9999 cannot overflow int,,high
ARR36-C,8,sqlite,src/date.c,137,FP,val is an int not a pointer; val>(int)max is an integer comparison misidentified as pointer compare,,high
INT32-C,9,sqlite,src/date.c,142,FP,cnt counts at most a handful of fields from a fixed-length literal format; cannot reach INT_MAX,,high
STR34-C,10,sqlite,src/date.c,172,FP,*zDate feeds sqlite3Isdigit which casts to unsigned char; val math is bounded,,high
STR34-C,11,sqlite,src/date.c,172,FP,same dereference feeds ctype macro that casts to unsigned char; no harmful sign extension,,high
POS49-C,12,sqlite,src/date.c,179,FP,p is a per-call stack DateTime not shared across threads,,high
POS49-C,13,sqlite,src/date.c,180,FP,p is a per-call stack DateTime not shared across threads,,high
INT32-C,14,sqlite,src/date.c,190,FP,nHr<=14 nMn<=59 from getDigits maxima; sgn*(nMn+nHr*60) far below INT_MAX,,high
INT32-C,15,sqlite,src/date.c,190,FP,nMn+nHr*60 <= 899; no overflow,,high
INT32-C,16,sqlite,src/date.c,190,FP,nHr<=14 so nHr*60<=840; no overflow,,high
POS49-C,17,sqlite,src/date.c,192,FP,per-call stack DateTime not shared across threads,,high
POS49-C,18,sqlite,src/date.c,193,FP,per-call stack DateTime not shared across threads,,high
ARR30-C,19,sqlite,src/date.c,223,FP,loop bounded by sqlite3Isspace stopping at NUL; zDate is a NUL-terminated string,,high
POS49-C,20,sqlite,src/date.c,237,FP,per-call stack DateTime not shared across threads,,high
EXP05-C,21,sqlite,src/date.c,250,FP,"memset(p,0,sizeof(*p)) where p is DateTime* non-const; no const cast occurs",,high
ARR01-C,22,sqlite,src/date.c,250,FP,sizeof(*p) is sizeof(DateTime) the pointee struct not the decayed pointer,,high
POS49-C,23,sqlite,src/date.c,251,FP,per-call stack DateTime not shared across threads,,high
ARR37-C,24,sqlite,src/date.c,278,FP,Y is a local int not a pointer; Y-- is integer arithmetic,,high
ARR37-C,25,sqlite,src/date.c,281,FP,Y is a local int; (Y+4800) is integer arithmetic not pointer arithmetic,,high
ARR37-C,26,sqlite,src/date.c,283,FP,Y is a local int; 36525*(Y+4716) is integer arithmetic,,high
INT32-C,27,sqlite,src/date.c,284,FP,Y bounded -4713..9999 (checked line 273); 306001*(M+1) with M<=13 fits int,,high
INT32-C,28,sqlite,src/date.c,285,FP,operands form a double expression then cast to i64; result bounded by year range,,high
INT32-C,29,sqlite,src/date.c,288,FP,all operands and target are sqlite3_int64; h<=24 m<=59 s bounded; iJD stays in valid range,,high
INT32-C,30,sqlite,src/date.c,288,FP,p->m<=59 so m*60000<=3540000; no overflow and target is i64,,high
INT32-C,31,sqlite,src/date.c,290,FP,target iJD is i64; tz bounded to +/-(59+14*60) minutes,,high
INT32-C,32,sqlite,src/date.c,290,FP,p->tz minutes bounded by getDigits; tz*60000 small and target i64,,high
POS49-C,33,sqlite,src/date.c,294,FP,per-call stack DateTime not shared across threads,,high
POS49-C,34,sqlite,src/date.c,295,FP,per-call stack DateTime not shared across threads,,high
INT14-C,35,sqlite,src/date.c,312,FP,INT14 readability only; (1<<p->M)&0x15aa is not a defect,,high
INT32-C,36,sqlite,src/date.c,312,FP,p->M asserted 0..12 (line 309); 1<<12 fits in int,,high
INT34-C,37,sqlite,src/date.c,312,FP,shift amount p->M asserted 0..12 (line 309); non-negative and within width,,high
INT32-C,38,sqlite,src/date.c,317,FP,p->D asserted 0..31 (line 308); D-28 cannot overflow,,high
INT32-C,39,sqlite,src/date.c,319,FP,p->D asserted 0..31; D-29 cannot overflow,,high
