rule,idx,project,file,line,verdict,reason,provenance,confidence
ARR30-C,0,sqlite,ext/misc/vtablog.c,89,FP,vtablog_skip_whitespace loops on NUL-terminated string z; isspace stops at the in-bounds NUL terminator - standard idiom no OOB,,high
STR34-C,1,sqlite,ext/misc/vtablog.c,95,FP,z[0] passed via (unsigned char) cast to isspace at line 89 not 95 anyway here cast IS present at 96 - sign-extension already prevented STR34 misfire,,high
ARR30-C,2,sqlite,ext/misc/vtablog.c,96,FP,ARR30 bounds claim false: z[n] with n=strlen(z) reads the in-bounds NUL terminator not OOB - though logic off-by-one exists it is not an OOB array access,,med
INT31-C,3,sqlite,ext/misc/vtablog.c,122,FP,nTag is (int)strlen(zParam) of a compile-time literal so always small positive - strncmp size_t conversion is safe,,high
EXP34-C,4,sqlite,ext/misc/vtablog.c,124,FP,z is the dequoted arg string from argv never NULL at line 124 and z[0] reads in-bounds char or NUL - EXP34 misfire,,high
STR34-C,5,sqlite,ext/misc/vtablog.c,142,FP,*pzErr assigned a sqlite3_mprintf char* result not a char dereference - STR34 sign-extension misread of pointer assignment,,high
STR34-C,6,sqlite,ext/misc/vtablog.c,145,FP,*pzVal assigned sqlite3_mprintf char* result not a char value - STR34 pointer-assignment misread,,high
STR34-C,7,sqlite,ext/misc/vtablog.c,147,FP,*pzErr assigned sqlite3_mprintf char* result not a char value - STR34 pointer-assignment misread,,high
DCL13-C,8,sqlite,ext/misc/vtablog.c,193,FP,pAux signature fixed by sqlite3_module xCreate/xConnect function-pointer typedef - DCL13 cannot add const,,high
PRE32-C,9,sqlite,ext/misc/vtablog.c,206,FP,printf args at 206 are multi-line string/expr continuation no preprocessor # directive token - PRE32 misfire,,high
DCL11-C,10,sqlite,ext/misc/vtablog.c,210,FP,argv[1]/argv[2] are const char* not size_t and %s not %d at this call - DCL11 type-inference misfire,,high
DCL11-C,11,sqlite,ext/misc/vtablog.c,240,FP,argv[i] printed with %s and the NULL branch uses literal printf NULL not %s arg - DCL11 misread of the if/else,,high
EXP33-C,12,sqlite,ext/misc/vtablog.c,243,FP,pNew assigned by sqlite3_malloc before use at 243 then NULL-checked at 245 - not uninitialized,,high
ERR07-C,13,sqlite,ext/misc/vtablog.c,248,FP,atoi on zNRow lacks error checking - matches ERR07 but value is trusted CREATE-VTAB arg in a debug logging vtab not a defect worth flagging though rule fires literally,,low
ERR34-C,14,sqlite,ext/misc/vtablog.c,248,FP,atoi error-detection - same as idx13 trusted local arg in demo module benign FP for this context,,low
ERR07-C,15,sqlite,ext/misc/vtablog.c,250,FP,atoi on zConsumeOB lacks error checking - benign trusted-arg FP same class,,low
ERR34-C,16,sqlite,ext/misc/vtablog.c,250,FP,atoi error-detection on zConsumeOB - benign trusted-arg FP,,low
PRE32-C,17,sqlite,ext/misc/vtablog.c,314,FP,printf at 314 spans two physical lines no preprocessor directive token - PRE32 misfire,,high
INT32-C,18,sqlite,ext/misc/vtablog.c,315,FP,++pTab->nCursor is a cursor counter bounded by realistic open-cursor counts never approaches INT_MAX - INT32 misfire,,high
EXP33-C,19,sqlite,ext/misc/vtablog.c,316,FP,pCur assigned by sqlite3_malloc at 316 then NULL-checked at 317 before deref - not uninitialized,,high
MEM33-C,20,sqlite,ext/misc/vtablog.c,320,FP,line 320 is &pCur->base address-of assignment to pointer no struct copy and no flexible array - MEM33 misfire,,high
EXP43-C,21,sqlite,ext/misc/vtablog.c,342,FP,printf has no overlapping restrict-qualified buffers distinct args - EXP43 misfire,,high
PRE32-C,22,sqlite,ext/misc/vtablog.c,342,FP,printf at 342 multi-line continuation no # directive - PRE32 misfire,,high
INT15-C,23,sqlite,ext/misc/vtablog.c,344,FP,(int) cast of iRowid for %d formatting - INT15 stylistic only no defect in debug output,,low
INT32-C,24,sqlite,ext/misc/vtablog.c,344,FP,(int)pCur->iRowid+1 is a logged display value bounded by nRow small loop count - INT32 misfire,,high
INT32-C,25,sqlite,ext/misc/vtablog.c,345,FP,pCur->iRowid++ bounded by nRow rows in this debug vtab never near INT64_MAX - INT32 misfire,,high
DCL13-C,26,sqlite,ext/misc/vtablog.c,354,FP,cur param fixed by sqlite3_module xColumn function-pointer typedef - DCL13 cannot add const,,high
