rule,idx,project,file,line,verdict,reason,provenance,confidence
PRE01-C,0,sqlite,src/pager.c,118,FP,"PAGERTRACE(X) at L118 is inside #if 0 dead block; X expands as call args sqlite3DebugPrintf X, parenthesizing is not applicable to a varargs call-spread, contract-safe",,high
PRE10-C,1,sqlite,src/pager.c,118,FP,PAGERTRACE multistatement is in #if 0 dead code and the live definition L120 is empty; not a real if-without-braces hazard,,high
PRE01-C,2,sqlite,src/pager.c,131,FP,"PAGERID(p) uses p->fd; macro arg always a Pager* lvalue, no precedence hazard reachable in-tree",,high
API01-C,3,sqlite,src/pager.c,670,FP,"API01 struct layout heuristic; dbFileVers[16] is fixed 16-byte version cookie always memcpy'd with sizeof, never overflowed, pMmapFreelist not corruptible",,med
PRE00-C,4,sqlite,src/pager.c,727,FP,"PAGER_INCR(v) is v++ only under SQLITE_TEST and called on plain counters; double-eval cosmetic, no side-effecting arg in-tree",,high
PRE01-C,5,sqlite,src/pager.c,727,FP,PAGER_INCR param v always a simple lvalue counter; parenthesization moot,,high
ARR02-C,6,sqlite,src/pager.c,757,FP,"aJournalMagic[] is a file-scope initialized const array; implicit bound is the correct idiom, size fixed at 8 by initializer",,high
PRE01-C,7,sqlite,src/pager.c,765,FP,JOURNAL_PG_SZ(pPager) arg always a Pager* lvalue; no precedence issue reachable,,high
PRE01-C,8,sqlite,src/pager.c,771,FP,JOURNAL_HDR_SZ(pPager) arg always a Pager* lvalue; no precedence issue reachable,,high
DCL13-C,9,sqlite,src/pager.c,805,FP,"sqlite3PagerDirectReadOk reads pPager->fd/pPCache but does not modify *pPager; however signature must match xGet-family convention - still const-eligible read-only, but it is public API matching pager.h prototype so const cannot be added without header churn; declaration-rule low value, treat as FP misfire on a read-only-but-fixed-signature param",,high
EXP40-C,10,sqlite,src/pager.c,848,FP,"assert_pager_state: Pager*p assigned to Pager*pPager both non-const, no const cast away; EXP40 misread",,high
DCL03-C,11,sqlite,src/pager.c,899,FP,"assert(!MEMDB) where MEMDB=pPager->memDb is a runtime field read, not a constant expression; static_assert impossible",,high
API00-C,12,sqlite,src/pager.c,992,FP,"print_pager_state is SQLITE_DEBUG-only debugger helper; p is a valid Pager* by contract, no untrusted path",,high
DCL13-C,13,sqlite,src/pager.c,992,FP,"print_pager_state only reads p members; const-eligible but debug-only helper, low-value declaration misfire",,med
EXP33-C,14,sqlite,src/pager.c,995,FP,"static char zRet[1024] has static storage duration, zero-initialized by C standard; EXP33 false",,high
ARR00-C,15,sqlite,src/pager.c,1030,FP,"zRet is static char[1024] (static storage), not a local automatic array; returning it is valid, not dangling",,high
EXP34-C,16,sqlite,src/pager.c,1046,FP,"setGetterMethod: pPager guaranteed non-null by all callers (internal); reads pPager->errCode after construction, no untrusted null",,high
DCL13-C,17,sqlite,src/pager.c,1066,FP,"subjRequiresPage pPg only read (pPg->pPager,pgno); const-eligible declaration misfire, no modification",,med
EXP34-C,18,sqlite,src/pager.c,1067,FP,"pPg->pPager deref: pPg always a live cache page from caller, never null on this path",,high
EXP34-C,19,sqlite,src/pager.c,1071,FP,pPager deref after pPg->pPager assignment; pPager non-null since pPg is a valid page header,,high
INT32-C,20,sqlite,src/pager.c,1074,FP,"i+1 is bounded savepoint loop index i<nSavepoint (small int); cannot overflow in practice, INT32 misfire",,high
DCL13-C,21,sqlite,src/pager.c,1087,FP,"pageInJournal reads pPager->pInJournal only; SQLITE_DEBUG helper, const-eligible misfire",,high
DCL13-C,22,sqlite,src/pager.c,1087,FP,pageInJournal reads pPg->pgno only; const-eligible misfire,,high
EXP34-C,23,sqlite,src/pager.c,1088,FP,"pPg->pgno deref: pPg is a valid page passed by debug caller, not null",,high
DCL03-C,24,sqlite,src/pager.c,1195,FP,"assert(!MEMDB) runtime field read, not constant expr; static_assert N/A",,high
INT13-C,25,sqlite,src/pager.c,1208,FP,"dc is device-characteristics bitmask int; & with SQLITE_IOCAP flags is standard idiom, value never negative",,med
DCL03-C,26,sqlite,src/pager.c,1218,FP,"assert(SQLITE_IOCAP_ATOMIC512==(512>>8)) IS a constant expression but it is a compile-time invariant check that is genuinely better as static_assert - however SQLite deliberately uses assert here for C89 portability; low-value style, FP in spirit",,high
DCL03-C,27,sqlite,src/pager.c,1219,FP,"same compile-time constant assert; portability choice, not a defect",,high
INT13-C,28,sqlite,src/pager.c,1220,FP,"dc bitmask & with flag constants; standard, value is a characteristics mask not arithmetic-negative",,med
DCL13-C,29,sqlite,src/pager.c,1240,FP,"pager_datahash pData is read-only loop over bytes; const-eligible but it is SQLITE_CHECK_PAGES debug-only, misfire",,high
DCL13-C,30,sqlite,src/pager.c,1248,FP,"pager_pagehash pPage read-only; debug-only, const-eligible misfire",,high
EXP34-C,31,sqlite,src/pager.c,1249,FP,"pPage->pPager deref: debug hash helper, pPage valid by contract",,high
EXP34-C,32,sqlite,src/pager.c,1252,FP,pPage->pPager deref again; same valid-by-contract page,,high
EXP34-C,33,sqlite,src/pager.c,1306,FP,"zSuper[0]='\0' write: caller always passes a real buffer (pTmpSpace or zSuperPtr), never null on reachable paths",,high
EXP33-C,34,sqlite,src/pager.c,1309,FP,"szJ assigned by sqlite3OsFileSize before use in short-circuit && chain; if that call fails rc!=OK short-circuits, szJ read only after success",,high
EXP33-C,35,sqlite,src/pager.c,1311,FP,len assigned by read32bits in the same && chain before len>=nSuper test; short-circuit guarantees init before read,,high
EXP33-C,36,sqlite,src/pager.c,1324,FP,cksum read at L1314 only reached after earlier && terms succeed; cksum then read32bits-initialized before the L1323 loop uses it,,high
DCL00-C,37,sqlite,src/pager.c,1357,FP,"c at L1357 is a per-record open flag, written in the exists branch; DCL00 const-suggestion is style noise, value is reassigned across iterations conceptually",,high
INT32-C,38,sqlite,src/pager.c,1359,FP,"(c-1)/HDR+1)*HDR: c is journalOff (i64, bounded by file size); journalHdrOffset asserts offset>=c and gap<HDR, no real overflow for legitimate offsets",,high
INT33-C,39,sqlite,src/pager.c,1359,FP,JOURNAL_HDR_SZ=sectorSize is validated >=32 and power-of-two in readJournalHdr before reaching journalHdrOffset; never zero,,high
INT10-C,40,sqlite,src/pager.c,1361,FP,"offset%JOURNAL_HDR_SZ in an assert; sectorSize is a positive power-of-two, modulo well-defined and non-negative (i64 offset>=0)",,high
