rule,project,file,line,verdict,reason,provenance,confidence
ARR30-C,hostap,src/ap/ieee802_11_eht.c,131,FP,"opmode is an enum function parameter but every call site (beacon.c, ieee802_11.c) passes the literal compile-time constant IEEE80211_MODE_AP, never attacker-controlled data, so mode->eht_capab[opmode] is structurally bounded",delta_arr30_task537,high
ARR30-C,hostap,src/ap/ieee802_11_eht.c,163,FP,same eht_capab[opmode] pattern in hostapd_eid_eht_capab; opmode is always the literal IEEE80211_MODE_AP constant at every call site,delta_arr30_task537,high
ARR30-C,hostap,src/ap/ieee802_11_he.c,104,FP,mode->he_capab[opmode] in hostapd_eid_he_capab; opmode is always the literal IEEE80211_MODE_AP constant at every call site (beacon.c/ieee802_11.c),delta_arr30_task537,high
ARR30-C,hostap,src/ap/pmksa_cache_auth.c,498,FP,"PMKID_HASH(pmkid) masks with 0x7f (127), exactly matching pmkid[PMKID_HASH_SIZE=128], so the macro-generated index is structurally bounded",delta_arr30_task537,high
ARR30-C,hostap,src/common/nan_de.c,1560,FP,"index i into de->service[] is taken modulo NAN_DE_MAX_SERVICE on every increment (i = (i+1) % NAN_DE_MAX_SERVICE), so it cannot exceed the array bound",delta_arr30_task537,high
ARR30-C,hostap,src/common/wpa_common.c,3369,FP,while (*start != '\0') is a standard null-terminated-string scan over an os_strdup'd buffer; the loop itself guarantees termination at the NUL and never reads past the allocation,delta_arr30_task537,high
ARR30-C,hostap,src/crypto/aes-ctr.c,49,FP,"for (i = AES_BLOCK_SIZE - 1; i >= 0; i--) is a fixed compile-time-bounded loop indexing counter[16] (AES_BLOCK_SIZE=16), i never exceeds bounds",delta_arr30_task537,high
ARR30-C,hostap,src/crypto/aes-ctr.c,50,FP,"same fixed AES_BLOCK_SIZE-bounded loop as line 49, counter[i] access is always in range",delta_arr30_task537,high
ARR30-C,hostap,src/drivers/driver_nl80211_event.c,650,FP,"link_id is checked with 'if (link_id >= MAX_NUM_MLD_LINKS) goto next_subelem;' immediately before info->addr[link_id] is written, guaranteeing the bound",delta_arr30_task537,high
ARR30-C,hostap,src/drivers/driver_nl80211_event.c,726,FP,"for_each_link() macro expands to 'for (i=0; i<MAX_NUM_MLD_LINKS; i++)', so mlo->links[i]/resp_info.addr[i] accesses are bounded by MAX_NUM_MLD_LINKS matching the array declarations",delta_arr30_task537,high
ARR30-C,hostap,src/drivers/driver_nl80211_event.c,727,FP,"same for_each_link()-bounded loop as line 726, req_info.addr[i] access is in range",delta_arr30_task537,high
ARR30-C,hostap,src/eap_server/tncs.c,202,FP,"tncs_get_imv(imvID) returns NULL (causing early return) whenever imvID >= TNC_MAX_IMV_ID, and the caller checks this before indexing tncs->imv_data[imvID]",delta_arr30_task537,high
ARR30-C,hostap,src/eap_server/tncs.c,203,FP,same tncs_get_imv(imvID) bounds check guards this imv_data[imvID] access,delta_arr30_task537,high
ARR30-C,hostap,src/eap_server/tncs.c,204,FP,same tncs_get_imv(imvID) bounds check guards this imv_data[imvID] access,delta_arr30_task537,high
ARR30-C,hostap,src/eap_server/tncs.c,205,FP,same tncs_get_imv(imvID) bounds check guards this imv_data[imvID] access,delta_arr30_task537,high
ARR30-C,hostap,src/eap_server/tncs.c,210,FP,same tncs_get_imv(imvID) bounds check guards this imv_data[imvID] access,delta_arr30_task537,high
ARR30-C,hostap,src/eap_server/tncs.c,211,FP,same tncs_get_imv(imvID) bounds check guards this imv_data[imvID] access,delta_arr30_task537,high
ARR30-C,hostap,src/eap_server/tncs.c,254,FP,TNC_TNCS_ProvideRecommendation also checks tncs_get_imv(imvID) == NULL before indexing tncs->imv_data[imvID],delta_arr30_task537,high
ARR30-C,hostap,src/eap_server/tncs.c,255,FP,same tncs_get_imv(imvID) bounds check guards this imv_data[imvID] access,delta_arr30_task537,high
ARR30-C,hostap,src/radius/radius.c,68,FP,"radius_get_attr_hdr(msg, idx) is a static helper; every call site loops 'for (i = 0; i < msg->attr_used; i++)' where attr_pos is always allocated with attr_size >= attr_used entries, so idx is structurally bounded",delta_arr30_task537,high
ARR30-C,hostap,src/utils/eloop.c,397,FP,"table->table[i] access at line 397 is inside a 'for (i = 0; i < table->count; i++)' loop, where table->table is (re)allocated to match table->count, so i is always in bounds",delta_arr30_task537,high
ARR30-C,hostap,src/utils/eloop.c,404,FP,"table->table[i] access at line 404 is inside a 'for (i = 0; i < table->count; i++)' loop, where table->table is (re)allocated to match table->count, so i is always in bounds",delta_arr30_task537,high
ARR30-C,hostap,src/utils/eloop.c,460,FP,"table->table[i] access at line 460 is inside a 'for (i = 0; i < table->count; i++)' loop, where table->table is (re)allocated to match table->count, so i is always in bounds",delta_arr30_task537,high
ARR30-C,hostap,src/utils/eloop.c,476,FP,"table->table[i] access at line 476 is inside a 'for (i = 0; i < table->count; i++)' loop, where table->table is (re)allocated to match table->count, so i is always in bounds",delta_arr30_task537,high
ARR30-C,hostap,src/utils/eloop.c,502,FP,"table->table[i] access at line 502 is inside a 'for (i = 0; i < table->count; i++)' loop, where table->table is (re)allocated to match table->count, so i is always in bounds",delta_arr30_task537,high
ARR30-C,hostap,src/utils/eloop.c,533,FP,"table->table[i] access at line 533 is inside a 'for (i = 0; i < table->count; i++)' loop, where table->table is (re)allocated to match table->count, so i is always in bounds",delta_arr30_task537,high
ARR30-C,hostap,src/utils/eloop.c,541,FP,"table->table[i] access at line 541 is inside a 'for (i = 0; i < table->count; i++)' loop, where table->table is (re)allocated to match table->count, so i is always in bounds",delta_arr30_task537,high
ARR30-C,hostap,src/utils/eloop.c,542,FP,"table->table[i] access at line 542 is inside a 'for (i = 0; i < table->count; i++)' loop, where table->table is (re)allocated to match table->count, so i is always in bounds",delta_arr30_task537,high
ARR30-C,hostap,src/utils/eloop.c,543,FP,"table->table[i] access at line 543 is inside a 'for (i = 0; i < table->count; i++)' loop, where table->table is (re)allocated to match table->count, so i is always in bounds",delta_arr30_task537,high
ARR30-C,hostap,src/utils/eloop.c,586,FP,"table->table[i] access at line 586 is inside a 'for (i = 0; i < table->count; i++)' loop, where table->table is (re)allocated to match table->count, so i is always in bounds",delta_arr30_task537,high
ARR30-C,hostap,src/utils/eloop.c,587,FP,"table->table[i] access at line 587 is inside a 'for (i = 0; i < table->count; i++)' loop, where table->table is (re)allocated to match table->count, so i is always in bounds",delta_arr30_task537,high
ARR30-C,hostap,src/utils/eloop.c,602,FP,"table->table[i] access at line 602 is inside a 'for (i = 0; i < table->count; i++)' loop, where table->table is (re)allocated to match table->count, so i is always in bounds",delta_arr30_task537,high
ARR30-C,hostap,src/utils/eloop.c,603,FP,"table->table[i] access at line 603 is inside a 'for (i = 0; i < table->count; i++)' loop, where table->table is (re)allocated to match table->count, so i is always in bounds",delta_arr30_task537,high
ARR30-C,hostap,src/utils/eloop.c,604,FP,"table->table[i] access at line 604 is inside a 'for (i = 0; i < table->count; i++)' loop, where table->table is (re)allocated to match table->count, so i is always in bounds",delta_arr30_task537,high
ARR30-C,hostap,src/utils/eloop.c,605,FP,"table->table[i] access at line 605 is inside a 'for (i = 0; i < table->count; i++)' loop, where table->table is (re)allocated to match table->count, so i is always in bounds",delta_arr30_task537,high
ARR30-C,hostap,src/utils/eloop.c,664,FP,"table->table[i] access at line 664 is inside a 'for (i = 0; i < table->count; i++)' loop, where table->table is (re)allocated to match table->count, so i is always in bounds",delta_arr30_task537,high
ARR30-C,hostap,src/utils/eloop.c,707,FP,"table->table[i] access at line 707 is inside a 'for (i = 0; i < table->count; i++)' loop, where table->table is (re)allocated to match table->count, so i is always in bounds",delta_arr30_task537,high
ARR30-C,hostap,src/utils/eloop.c,708,FP,"table->table[i] access at line 708 is inside a 'for (i = 0; i < table->count; i++)' loop, where table->table is (re)allocated to match table->count, so i is always in bounds",delta_arr30_task537,high
