rule,project,file,line,verdict,reason,provenance,confidence
MSC13-C,lua,lvm.c,1200,FP,"'k' is read directly at lvm.c:1252 (`TValue *rb = k + GETARG_Bx(i);`) and 1259, and via the KB/KC/RKC macros used throughout luaV_execute (e.g. lines 1303, 1352, 1397, 1579), so it is far from unused.",msc13_delta_adjudication_0.4.207,high
MSC13-C,lua,lvm.c,1214,FP,"'trap' assigned at line 1214 is read every subsequent loop iteration inside the vmfetch() macro's `if (l_unlikely(trap))` check (line 1186 expanded at 1219) and again at line 1957; sqc misses the macro-embedded read.",msc13_delta_adjudication_0.4.207,high
MSC13-C,lua,lvm.c,1791,FP,"'trap = 1' here is followed by `goto ret` then, on the non-fresh-frame path, `goto returning`, which re-enters the label at line 1209 and reads trap at line 1213 (`if (l_unlikely(trap)) trap = luaG_tracecall(L);`), so there is an execution path that reads it.",msc13_delta_adjudication_0.4.207,high
MSC13-C,lua,lvm.c,1808,FP,"Same pattern as line 1791: 'trap = 1' is followed by goto ret / goto returning, which reads trap at line 1213 on the non-fresh-frame execution path.",msc13_delta_adjudication_0.4.207,high
MSC13-C,lua,lvm.c,1841,FP,"'pc -= GETARG_Bx(i)' is followed by vmbreak (loop continues), and the next iteration's vmfetch() macro reads pc via `i = *(pc++)` (line 1190); sqc doesn't expand the macro read.",msc13_delta_adjudication_0.4.207,high
MSC13-C,lua,lvm.c,1845,FP,"Same as line 1841: pc is reassigned then read by the next loop iteration's vmfetch() macro expansion (`i = *(pc++)` at line 1190).",msc13_delta_adjudication_0.4.207,high
MSC13-C,lua,lvm.c,1853,FP,"'pc += GETARG_Bx(i) + 1' in OP_FORPREP is followed by vmbreak; the next loop iteration's vmfetch() macro reads pc via `i = *(pc++)`.",msc13_delta_adjudication_0.4.207,high
MSC13-C,lua,lvm.c,1870,FP,"'pc += GETARG_Bx(i)' at line 1870 is immediately read on the very next line: `i = *(pc++);` (line 1871).",msc13_delta_adjudication_0.4.207,high
MSC13-C,lua,lvm.c,1871,FP,"'i' assigned at line 1871 is read at line 1872's lua_assert(GET_OPCODE(i) == OP_TFORCALL...) and again via the RA(i) macro at line 1883 after falling through to l_tforcall.",msc13_delta_adjudication_0.4.207,high
MSC13-C,lua,ldebug.c,617,TP,"'TMS tm = (TMS)0' is overwritten by every switch case that reaches the later use at line 651 (`G(L)->tmname[tm]`), and every case that doesn't set tm returns early (OP_CALL/OP_TAILCALL/OP_TFORCALL) or hits default which also returns before line 651; the comment itself confirms it as a warning-suppression initializer whose value is never actually read.",msc13_delta_adjudication_0.4.207,medium
MSC13-C,lua,ltm.c,93,FP,"'mt' assigned inside the condition `(mt = hvalue(o)->metatable) != NULL` is read as part of that same comparison expression, and again at line 95 (`luaH_Hgetshortstr(mt, ...)`) when the branch is taken; sqc's dataflow appears not to model assignment-in-condition reads.",msc13_delta_adjudication_0.4.207,high
