rule,idx,project,file,line,verdict,reason,provenance,confidence
DCL30-C,0,sqlite,ext/fts5/fts5_config.c,48,FP,"p holds pointer into caller's const string pIn, not address of an automatic",,high
EXP34-C,1,sqlite,ext/fts5/fts5_config.c,58,FP,"p=pIn (caller arg); all callers (314,471,880) pass non-null after skipwhitespace/strlen",,high
DCL30-C,2,sqlite,ext/fts5/fts5_config.c,60,FP,"p points into caller buffer pIn (bareword scan), not a local automatic",,high
CON43-C,3,sqlite,ext/fts5/fts5_config.c,71,FP,single-threaded string parser; no concurrent double-fetch,,high
EXP34-C,4,sqlite,ext/fts5/fts5_config.c,71,FP,p=pIn; fts5ConfigSkipArgs breaks loop on p==0 before re-calling; other caller p2 non-null,,high
STR34-C,5,sqlite,ext/fts5/fts5_config.c,74,FP,p=&p[4] is pointer arithmetic after ASCII switch; no char value widened,,high
STR34-C,6,sqlite,ext/fts5/fts5_config.c,74,FP,p[4] is pointer-offset misread; *p compared to ASCII 'n'/'N' only,,high
ARR36-C,7,sqlite,ext/fts5/fts5_config.c,90,FP,p and pIn point into the same string (p initialized from pIn),,high
INT10-C,8,sqlite,ext/fts5/fts5_config.c,90,FP,"(p-pIn)%2 pointer diff; p only advances from pIn so operand always non-negative, not implementation-defined",,high
ARR30-C,9,sqlite,ext/fts5/fts5_config.c,102,FP,quoted-literal scan bounded by nul terminator (if(*p==0) p=0),,high
ARR00-C,10,sqlite,ext/fts5/fts5_config.c,129,FP,p is a pointer into caller string,,high
DCL30-C,11,sqlite,ext/fts5/fts5_config.c,129,FP,returns pointer into caller string,,high
EXP34-C,12,sqlite,ext/fts5/fts5_config.c,149,FP,z is caller-supplied dequote-in-place buffer; gobbleword path checks zOut!=0 first,,high
INT32-C,13,sqlite,ext/fts5/fts5_config.c,159,FP,"iIn indexes in-place nul-terminated string; loop bounded by string length, no overflow consequence",,high
INT32-C,14,sqlite,ext/fts5/fts5_config.c,165,FP,"iIn += 2 bounded by string length in fts5Dequote; far below INT_MAX, no bad index/alloc",,high
INT32-C,15,sqlite,ext/fts5/fts5_config.c,169,FP,iIn++ string index bounded by buffer length; benign,,high
API00-C,16,sqlite,ext/fts5/fts5_config.c,190,FP,"internal; asserts !iswhitespace(z[0]), caller passes non-null malloc'd pSpace",,high
EXP34-C,17,sqlite,ext/fts5/fts5_config.c,193,FP,"z caller-supplied buffer; assert on z[0] is dequote-in-place contract, never null",,high
STR34-C,18,sqlite,ext/fts5/fts5_config.c,212,FP,strlen(zEnum) returns size_t; no char value sign-extended,,high
STR34-C,19,sqlite,ext/fts5/fts5_config.c,243,FP,strlen(zCmd) returns size_t; no char value sign-extended,,high
ARR30-C,20,sqlite,ext/fts5/fts5_config.c,255,FP,prefix-list scan bounded by '\0' check and digit tests,,high
STR34-C,21,sqlite,ext/fts5/fts5_config.c,266,FP,"*pzErr = sqlite3_mprintf(...) is a char* pointer store, not value widen",,high
STR34-C,22,sqlite,ext/fts5/fts5_config.c,272,FP,*pzErr pointer store of mprintf result,,high
INT32-C,23,sqlite,ext/fts5/fts5_config.c,280,FP,"nPre*10+digit inside while(nPre<1000) guard; clamped to <1000, max ~9999, no overflow",,high
INT32-C,24,sqlite,ext/fts5/fts5_config.c,280,FP,nPre*10 bounded by while(nPre<1000) loop condition; explicitly range-clamped,,high
STR34-C,25,sqlite,ext/fts5/fts5_config.c,285,FP,*pzErr pointer store; nPre arithmetic guarded by '0'..'9' range check,,high
INT32-C,26,sqlite,ext/fts5/fts5_config.c,291,FP,nPrefix++ guarded by ==FTS5_MAX_PREFIX_INDEXES break above; bounded,,high
STR34-C,27,sqlite,ext/fts5/fts5_config.c,300,FP,strlen(zArg) returns size_t; no char widened,,high
EXP40-C,28,sqlite,ext/fts5/fts5_config.c,301,FP,lexical: assigning malloc result to char** local azArg; no const qualifier involved,,high
STR34-C,29,sqlite,ext/fts5/fts5_config.c,306,FP,*pzErr pointer store of mprintf result,,high
EXP34-C,30,sqlite,ext/fts5/fts5_config.c,311,FP,p2=SkipWhitespace(p); loop cond 'p && *p' guarantees p non-null so p2 non-null,,high
EXP05-C,31,sqlite,ext/fts5/fts5_config.c,317,FP,"p-p2 is ptrdiff_t of two const char*; no const cast, lexical misfire",,high
INT32-C,32,sqlite,ext/fts5/fts5_config.c,317,FP,"memcpy size p-p2 is token length within strlen-bounded zArg; non-negative, buffer sized for it",,high
ARR37-C,33,sqlite,ext/fts5/fts5_config.c,320,FP,pSpace arithmetic stays within azArg allocation sized (sizeof(char*)+2)*nArg,,high
INT32-C,34,sqlite,ext/fts5/fts5_config.c,320,FP,"(p-p2)+1 pointer diff within strlen-bounded string; non-negative, no overflow",,high
STR34-C,35,sqlite,ext/fts5/fts5_config.c,325,FP,*pzErr pointer store of mprintf result,,high
STR34-C,36,sqlite,ext/fts5/fts5_config.c,341,FP,*pzErr pointer store of mprintf result,,high
STR34-C,37,sqlite,ext/fts5/fts5_config.c,356,FP,*pzErr pointer store; zArg[0] only equality-compared to '0'/'1',,high
STR34-C,38,sqlite,ext/fts5/fts5_config.c,366,FP,*pzErr pointer store; zArg[0] equality-compared to ASCII,,high
STR34-C,39,sqlite,ext/fts5/fts5_config.c,376,FP,*pzErr pointer store of mprintf result,,high
STR34-C,40,sqlite,ext/fts5/fts5_config.c,386,FP,*pzErr pointer store; zArg[0] equality-compared to ASCII,,high
STR34-C,41,sqlite,ext/fts5/fts5_config.c,396,FP,*pzErr pointer store; zArg[0] equality-compared to ASCII,,high
ARR02-C,42,sqlite,ext/fts5/fts5_config.c,405,FP,static aDetail[] uses sentinel {0,,high
EXP45-C,43,sqlite,ext/fts5/fts5_config.c,412,FP,intentional parenthesized assign-in-condition idiom: rc captured then tested,,high
STR34-C,44,sqlite,ext/fts5/fts5_config.c,413,FP,*pzErr pointer store; zArg passed by pointer to SetEnum,,high
STR34-C,45,sqlite,ext/fts5/fts5_config.c,420,FP,*pzErr pointer store; zArg[0] equality-compared to ASCII,,high
STR34-C,46,sqlite,ext/fts5/fts5_config.c,428,FP,*pzErr pointer store of mprintf result,,high
EXP34-C,47,sqlite,ext/fts5/fts5_config.c,455,FP,strlen(zIn); both callers pass non-null (zOrig=azArg[i] or z guarded by 'z && z[0]'),,high
STR34-C,48,sqlite,ext/fts5/fts5_config.c,455,FP,strlen(zIn) returns size_t; no char widened,,high
STR34-C,49,sqlite,ext/fts5/fts5_config.c,460,FP,*pzOut = 0 is char* pointer store,,high
ARR38-C,50,sqlite,ext/fts5/fts5_config.c,465,FP,zOut allocated nIn+1 bytes (line 456); memcpy of nIn+1 is exact fit,,high
INT32-C,51,sqlite,ext/fts5/fts5_config.c,465,FP,"memcpy nIn+1 where nIn=strlen(zIn) int64; zOut allocated exactly nIn+1, copies own size",,high
STR34-C,52,sqlite,ext/fts5/fts5_config.c,467,FP,"int ii = fts5Dequote(zOut) passes pointer; return is int, no char widen",,high
STR34-C,53,sqlite,ext/fts5/fts5_config.c,468,FP,"zRet=&zIn[ii] pointer arithmetic, ii is bounded int offset",,high
STR34-C,54,sqlite,ext/fts5/fts5_config.c,468,FP,zIn[ii] pointer-offset misread; not a char value widen,,high
ARR36-C,55,sqlite,ext/fts5/fts5_config.c,473,FP,"zRet from SkipBareword(zIn) points into zIn; same array, zOut parallel size nIn+1",,high
DCL30-C,56,sqlite,ext/fts5/fts5_config.c,481,FP,zOut is a heap buffer from sqlite3_malloc64; ownership transferred to *pzOut,,high
STR34-C,57,sqlite,ext/fts5/fts5_config.c,481,FP,*pzOut = zOut is char* pointer store,,high
DCL30-C,58,sqlite,ext/fts5/fts5_config.c,484,FP,zRet points into caller string zIn (or zRet=0); not a local automatic,,high
STR34-C,59,sqlite,ext/fts5/fts5_config.c,498,FP,*pzErr pointer store of mprintf result,,high
