rule,project,file,line,verdict,reason,provenance,confidence
DCL13-C,hostap,src/utils/os_none.c,23,TP,"Stub function body never touches 't'; genuinely unmodified param, harmless const opportunity",16-40_b11,high
DCL13-C,hostap,src/utils/os_none.c,29,TP,Stub body never touches 't'; genuinely unmodified param,16-40_b11,high
DCL13-C,hostap,src/utils/os_none.c,36,TP,Stub os_mktime never touches 't'; genuinely unmodified param,16-40_b11,high
DCL13-C,hostap,src/utils/os_none.c,41,TP,Stub os_gmtime never touches 'tm'; genuinely unmodified param,16-40_b11,high
API05-C,hostap,src/utils/os_none.c,58,FP,Classic ptr+size_t-len idiom (os_get_random); confirmed categorical API05-C FP,16-40_b11,high
DCL13-C,hostap,src/utils/os_none.c,58,TP,Stub never writes through 'buf'; genuinely unmodified param,16-40_b11,high
API05-C,hostap,src/utils/os_none.c,99,FP,name is a NUL-terminated path string with no numeric bound needed; extends API05-C ptr/size FP class to non-array string param,16-40_b11,med
DCL13-C,hostap,src/utils/os_none.c,99,TP,Stub os_readfile never sets *len; genuinely unmodified output param,16-40_b11,high
DCL13-C,hostap,src/utils/os_none.c,105,TP,Stub os_fdatasync never touches 'stream'; genuinely unmodified param,16-40_b11,high
API05-C,hostap,src/utils/os_none.c,117,FP,Classic ptr+size_t-n idiom (os_memdup); confirmed categorical API05-C FP,16-40_b11,high
API05-C,hostap,src/utils/os_none.c,130,FP,Classic ptr+size_t-size idiom (os_realloc); confirmed categorical API05-C FP,16-40_b11,high
DCL13-C,hostap,src/utils/os_none.c,130,TP,Stub os_realloc never touches 'ptr'; genuinely unmodified param,16-40_b11,high
DCL13-C,hostap,src/utils/os_none.c,136,TP,Stub os_free body is empty; genuinely unmodified param,16-40_b11,high
API05-C,hostap,src/utils/os_none.c,141,FP,Classic dest/src+size_t-n idiom (os_memcpy); confirmed categorical API05-C FP,16-40_b11,high
DCL13-C,hostap,src/utils/os_none.c,141,TP,Stub os_memcpy never writes through 'dest'; genuinely unmodified param,16-40_b11,high
API05-C,hostap,src/utils/os_none.c,141,FP,Classic dest/src+size_t-n idiom (os_memcpy); confirmed categorical API05-C FP,16-40_b11,high
API05-C,hostap,src/utils/os_none.c,147,FP,Classic dest/src+size_t-n idiom (os_memmove); confirmed categorical API05-C FP,16-40_b11,high
DCL13-C,hostap,src/utils/os_none.c,147,TP,Stub os_memmove never writes through 'dest'; genuinely unmodified param,16-40_b11,high
API05-C,hostap,src/utils/os_none.c,147,FP,Classic dest/src+size_t-n idiom (os_memmove); confirmed categorical API05-C FP,16-40_b11,high
API05-C,hostap,src/utils/os_none.c,153,FP,Classic ptr+size_t-n idiom (os_memset); confirmed categorical API05-C FP,16-40_b11,high
