rule,idx,project,file,line,verdict,reason,provenance,confidence
CON03-C,0,sqlite,ext/session/sqlite3session.c,30,uncertain,"sessions_strm_chunk_size is a process-global mutable config var with no synchronization; only a race if config() called concurrently with active sessions, which the sqlite API contract forbids",,
DCL13-C,1,sqlite,ext/session/sqlite3session.c,348,FP,piVal is an OUT param written via getVarint32 macro (B assigned); not read-only,,
DCL13-C,2,sqlite,ext/session/sqlite3session.c,356,FP,"piVal written via getVarint32 into *piVal; OUT param, not read-only",,
STR31-C,3,sqlite,ext/session/sqlite3session.c,360,FP,"memcpy of nBuf<5 bytes into aCopy[5] for varint decode; not a string copy, no null-term needed",,
PRE00-C,4,sqlite,ext/session/sqlite3session.c,367,TP,function-like macro SESSION_UINT32 evaluates parameter x multiple times; could be an inline function,,
PRE12-C,5,sqlite,ext/session/sqlite3session.c,367,TP,"SESSION_UINT32(x) expands (x) four times; multiple-evaluation macro, side-effecting arg would be evaluated 4x",,
INT14-C,6,sqlite,ext/session/sqlite3session.c,376,FP,u64 'x' big-endian assembly idiom (x<<32)+y in sessionGetI64; not arithmetic misuse,,
INT13-C,7,sqlite,ext/session/sqlite3session.c,384,FP,"big-endian put idiom; signed shift masked to byte, intended",,
INT14-C,8,sqlite,ext/session/sqlite3session.c,384,FP,sqlite3_int64 'i' byte-serialization idiom (i>>56)&0xFF in sessionPutI64,,
INT13-C,9,sqlite,ext/session/sqlite3session.c,385,FP,"big-endian put idiom; signed shift masked to byte, intended",,
INT13-C,10,sqlite,ext/session/sqlite3session.c,386,FP,"big-endian put idiom; signed shift masked to byte, intended",,
INT13-C,11,sqlite,ext/session/sqlite3session.c,387,FP,"big-endian put idiom; signed shift masked to byte, intended",,
INT13-C,12,sqlite,ext/session/sqlite3session.c,388,FP,"big-endian put idiom; signed shift masked to byte, intended",,
INT13-C,13,sqlite,ext/session/sqlite3session.c,389,FP,"big-endian put idiom; signed shift masked to byte, intended",,
INT13-C,14,sqlite,ext/session/sqlite3session.c,390,FP,"big-endian put idiom; signed shift masked to byte, intended",,
INT13-C,15,sqlite,ext/session/sqlite3session.c,391,FP,"big-endian put idiom; signed shift masked to byte, intended",,
DCL03-C,16,sqlite,ext/session/sqlite3session.c,436,TP,assert( sizeof(double)==8 && sizeof(u64)==8 ) is a compile-time constant; static_assert is appropriate,,
INT32-C,17,sqlite,ext/session/sqlite3session.c,465,FP,"nByte from sqlite3_value_bytes of app-supplied value (capture side), i64 via sessionMalloc64; session-side not blob",,
PRE00-C,18,sqlite,ext/session/sqlite3session.c,514,TP,function-like macro HASH_APPEND evaluates parameter hash three times; prefer inline function,,
PRE02-C,19,sqlite,ext/session/sqlite3session.c,514,TP,HASH_APPEND replacement list ((hash)<<3)^(hash)^... lacks outer parens; precedence breaks if used inside a larger expression,,
PRE12-C,20,sqlite,ext/session/sqlite3session.c,514,TP,HASH_APPEND evaluates hash multiple times; multiple-evaluation hazard,,
INT13-C,21,sqlite,ext/session/sqlite3session.c,521,FP,i64 hash idiom i&0xFFFFFFFF in sessionHashAppendI64,,
INT13-C,22,sqlite,ext/session/sqlite3session.c,522,FP,i64 hash idiom (i>>32)&0xFFFFFFFF in sessionHashAppendI64,,
DCL02-C,23,sqlite,ext/session/sqlite3session.c,529,FP,"'n' and 'h' are distinct single-letter locals, not visually confusable; rule misfire",,
DCL13-C,24,sqlite,ext/session/sqlite3session.c,555,TP,sessionPreupdateHash: pSession only read (hook members/pCtx); const sqlite3_session* compiles,,
DCL13-C,25,sqlite,ext/session/sqlite3session.c,557,TP,sessionPreupdateHash: pTab only read (nCol/abPK/aiIdx/bRowid); const compiles,,
DCL00-C,26,sqlite,ext/session/sqlite3session.c,562,FP,"h is reassigned via h=sessionHashAppendI64(h,...) etc; it IS modified, not const-able",,
DCL03-C,27,sqlite,ext/session/sqlite3session.c,592,TP,assert( sizeof(iVal)==8 && sizeof(rVal)==8 ) is compile-time constant; static_assert appropriate,,
DCL02-C,28,sqlite,ext/session/sqlite3session.c,598,FP,"'n' vs 'h' are different letters, not confusable; misfire",,
INT33-C,29,sqlite,ext/session/sqlite3session.c,616,FP,divisor pTab->nChange is in-memory hash bucket count forced >=128 by sessionGrowHash before any hash; not blob-derived,,
EXP33-C,30,sqlite,ext/session/sqlite3session.c,633,FP,"n is written by sessionVarintGet(&a[1],&n) before being added to a; out-param initializes it",,
INT32-C,31,sqlite,ext/session/sqlite3session.c,633,FP,"sessionSerialLen on session-side change record (in-memory captured aRecord), not untrusted changeset blob",,
DCL13-C,32,sqlite,ext/session/sqlite3session.c,646,TP,sessionChangeHash: pTab only read (nCol/abPK); const SessionTable* compiles,,
DCL00-C,33,sqlite,ext/session/sqlite3session.c,651,FP,h is reassigned through the loop (h=sessionHashAppend...); not const-able,,
EXP34-C,34,sqlite,ext/session/sqlite3session.c,655,FP,"internal sessionChangeHash; pTab is a validated SessionTable, never null when iterating change records",,
EXP34-C,35,sqlite,ext/session/sqlite3session.c,656,FP,'a'=aRecord cursor into an allocated SessionChange buffer; callers pass non-null records,,
DCL02-C,36,sqlite,ext/session/sqlite3session.c,672,FP,'n' vs 'h' different letters; misfire,,
EXP33-C,37,sqlite,ext/session/sqlite3session.c,674,FP,"n written by sessionVarintGet(a,&n) before use; out-param initializes it",,
INT33-C,38,sqlite,ext/session/sqlite3session.c,685,FP,"divisor nBucket = pTab->nChange passed after sessionGrowHash (>=128) at caller 6104; never zero, not blob-derived",,
DCL13-C,39,sqlite,ext/session/sqlite3session.c,695,TP,sessionChangeEqual: pTab only read (nCol/abPK); read-only comparison helper,,
ARR00-C,40,sqlite,ext/session/sqlite3session.c,705,FP,iCol is for-loop counter bounded by pTab->nCol (DB schema column count); abPK[iCol] in-bounds; not uninitialized; record is in-memory session data not untrusted blob,,
EXP34-C,41,sqlite,ext/session/sqlite3session.c,705,FP,"internal sessionChangeEqual; pTab validated SessionTable, non-null by construction",,
EXP34-C,42,sqlite,ext/session/sqlite3session.c,710,FP,'a1'=aLeft cursor into allocated change record; caller passes non-null buffers,,
INT31-C,43,sqlite,ext/session/sqlite3session.c,710,FP,"n1 from sessionSerialLen on locally-recorded change record (sessionChangeEqual), guarded n1!=n2; trusted in-memory record",,
INT31-C,44,sqlite,ext/session/sqlite3session.c,752,uncertain,n2 from sessionSerialLen on changegroup-merge record; record buffered via sessionChangesetBufferRecord with no per-field length validation in non-streaming mode -> corrupt internal varint can over-read,downstream consumer (sessionSerialLen->memcpy) of the sessionChangesetBufferRecord overread fixed at the root upstream in 535b1f2875; truncation real but exploitability governed by the root validation sqlite added,
ARR37-C,45,sqlite,ext/session/sqlite3session.c,753,FP,sessionMergeRecord aOut writes into caller buffer sized for merged record over nCol cols; nCol is DB schema count; pointer arithmetic on legitimate output buffer,,
INT31-C,46,sqlite,ext/session/sqlite3session.c,755,uncertain,"n1 from sessionSerialLen, same merge-record path lacking per-field bounds validation; corrupt blob varint risk",downstream consumer (sessionSerialLen->memcpy) of the sessionChangesetBufferRecord overread fixed at the root upstream in 535b1f2875; truncation real but exploitability governed by the root validation sqlite added,
ARR37-C,47,sqlite,ext/session/sqlite3session.c,756,FP,"same as 753, aOut advance bounded by nCol iterations over caller-sized buffer",,
DCL30-C,48,sqlite,ext/session/sqlite3session.c,762,FP,"aOut holds the caller-supplied output-buffer address (*paOut), not local automatic storage; writing it back is correct",,
MEM33-C,49,sqlite,ext/session/sqlite3session.c,800,FP,"*paTwo=&a2[n2] is a pointer assignment, not a flexible-array-member struct copy; misfire",,
MEM33-C,50,sqlite,ext/session/sqlite3session.c,808,FP,"*paOne=&a1[n1] is a pointer assignment, not a struct copy; misfire",,
DCL13-C,51,sqlite,ext/session/sqlite3session.c,819,TP,sessionMergeUpdate: pTab only read (nCol/abPK); const compiles,,
DCL13-C,52,sqlite,ext/session/sqlite3session.c,821,FP,aOldRecord1 copied to local then &local passed to sessionMergeValue(u8**); const u8* breaks that call,,
DCL13-C,53,sqlite,ext/session/sqlite3session.c,822,FP,aOldRecord2 fed via local to sessionMergeValue(u8**); const would not compile,,
DCL13-C,54,sqlite,ext/session/sqlite3session.c,823,FP,aNewRecord1 fed via local to sessionMergeValue(u8**); const would not compile,,
DCL13-C,55,sqlite,ext/session/sqlite3session.c,824,FP,aNewRecord2 fed via local to sessionMergeValue(u8**); const would not compile,,
EXP34-C,56,sqlite,ext/session/sqlite3session.c,840,FP,internal sessionMergeUpdate; pTab validated SessionTable,,
EXP33-C,57,sqlite,ext/session/sqlite3session.c,848,FP,"nOld set by sessionMergeValue(&aOld1,&aOld2,&nOld) which always writes *pnVal before return",,
EXP34-C,58,sqlite,ext/session/sqlite3session.c,848,FP,'aOld' returned by sessionMergeValue which asserts a1!=0 and always returns a valid cursor,,
INT31-C,59,sqlite,ext/session/sqlite3session.c,848,uncertain,nNew/nOld from sessionMergeValue->sessionSerialLen on concat/merge record; unvalidated internal serial length on corrupt changeset,downstream consumer (sessionSerialLen->memcpy) of the sessionChangesetBufferRecord overread fixed at the root upstream in 535b1f2875; truncation real but exploitability governed by the root validation sqlite added,
INT31-C,60,sqlite,ext/session/sqlite3session.c,850,uncertain,"nOld from sessionSerialLen in sessionMergeUpdate; unvalidated per-field length, corrupt-blob over-read/over-write risk",downstream consumer (sessionSerialLen->memcpy) of the sessionChangesetBufferRecord overread fixed at the root upstream in 535b1f2875; truncation real but exploitability governed by the root validation sqlite added,
ARR37-C,61,sqlite,ext/session/sqlite3session.c,851,FP,sessionMergeUpdate aOut writes old.* vector into caller buffer; bounded by pTab->nCol; legitimate output cursor,,
ARR37-C,62,sqlite,ext/session/sqlite3session.c,853,FP,"aOut++ writes single placeholder byte, bounded by nCol loop",,
INT31-C,63,sqlite,ext/session/sqlite3session.c,874,uncertain,nNew from sessionSerialLen in sessionMergeUpdate new.* loop; unvalidated per-field length,downstream consumer (sessionSerialLen->memcpy) of the sessionChangesetBufferRecord overread fixed at the root upstream in 535b1f2875; truncation real but exploitability governed by the root validation sqlite added,
ARR37-C,64,sqlite,ext/session/sqlite3session.c,876,FP,aOut++ placeholder byte in new.* vector loop bounded by nCol,,
INT31-C,65,sqlite,ext/session/sqlite3session.c,878,uncertain,"nNew memcpy in sessionMergeUpdate; output buffer sized by record totals, per-field serial-len sum unvalidated on corrupt input",downstream consumer (sessionSerialLen->memcpy) of the sessionChangesetBufferRecord overread fixed at the root upstream in 535b1f2875; truncation real but exploitability governed by the root validation sqlite added,
ARR37-C,66,sqlite,ext/session/sqlite3session.c,879,FP,aOut += nNew into caller output buffer bounded by nCol loop,,
DCL30-C,67,sqlite,ext/session/sqlite3session.c,883,FP,aOut holds caller buffer address from *paOut; not local automatic storage,,
DCL13-C,68,sqlite,ext/session/sqlite3session.c,895,TP,sessionPreupdateEqual: pSession only read (hook/pCtx); const compiles,,
DCL13-C,69,sqlite,ext/session/sqlite3session.c,897,TP,sessionPreupdateEqual: pTab only read (bRowid/nCol/abPK/aiIdx); const compiles,,
DCL13-C,70,sqlite,ext/session/sqlite3session.c,898,TP,sessionPreupdateEqual: pChange only read (aRecord copied to local cursor); const SessionChange* compiles,,
