rule,idx,project,file,line,verdict,reason,provenance,confidence
MSC04-C,0,sqlite,src/vdbesort.c,474,FP,"Indirect recursion is factual in the call graph but depth-bounded by the finite MergeEngine/IncrMerger tree built from SORTER_MAX_MERGE_COUNT; MSC04 flags structure not a defect, no unbounded reentry on these freeing paths",,high
EXP34-C,1,sqlite,src/vdbesort.c,475,FP,pReadr->member access guarded by caller contract; vdbePmaReaderClear is only ever called with a valid PmaReader (aReadr[i] element or pSorter->pReader); sqc has no proof of null,,high
MEM30-C,2,sqlite,src/vdbesort.c,477,FP,"aMap is read then passed to Unfetch, not freed-then-used; sqlite3_free above only frees aAlloc/aBuffer, not aMap; no UAF",,high
MEM30-C,3,sqlite,src/vdbesort.c,477,FP,pFd is a live file handle (not freed here); used as arg to OsUnfetch; sqc misclassifies the sqlite3_free(aAlloc/aBuffer) as freeing pFd,,high
MEM30-C,4,sqlite,src/vdbesort.c,477,FP,duplicate of idx2; aMap not freed before this use,,high
MEM05-C,5,sqlite,src/vdbesort.c,491,FP,"recursion is tree-bounded (<=16 wide, log depth); not unbounded stack growth; informational",,high
EXP34-C,6,sqlite,src/vdbesort.c,499,FP,p->aMap dereference is the taken branch only when p->aMap!=0 (the if condition itself); guarded,,high
MEM33-C,7,sqlite,src/vdbesort.c,500,FP,"line 500 *ppOut=&p->aMap[p->iReadOff] is pointer-take of array element, not a flexible-array struct assignment; MEM33 misfire",,high
INT33-C,8,sqlite,src/vdbesort.c,510,FP,"p->nBuffer is the buffer size set to pgsz (page size, >=512) at seek; never zero when aBuffer path is taken (assert p->aBuffer); not attacker-controlled",,high
INT32-C,9,sqlite,src/vdbesort.c,528,FP,"nBuffer-iBuf: nBuffer=pgsz>=512, iBuf=iReadOff%nBuffer in [0,nBuffer), so difference is positive and small; no overflow",,high
MEM33-C,10,sqlite,src/vdbesort.c,534,FP,*ppOut=&p->aBuffer[iBuf] is address-of element; not a flexible-array struct copy; MEM33 misfire,,high
INT32-C,11,sqlite,src/vdbesort.c,545,FP,"nNew computed as sqlite3_int64 with MAX(128,2*..); growth loop bounded by nByte (a 32-bit record length); the assert at line 974 caps key sizes; no practical wrap",,high
INT32-C,12,sqlite,src/vdbesort.c,546,FP,nNew*2 in i64 domain doubling toward nByte (int); cannot overflow i64 for any int nByte,,high
INT31-C,13,sqlite,src/vdbesort.c,555,FP,nAvail=nBuffer-iBuf is positive (0<nAvail<=nBuffer=pgsz); safe non-negative conversion to size_t in memcpy,,med
INT32-C,14,sqlite,src/vdbesort.c,557,FP,"nByte-nAvail computed only after nByte>nAvail tested at line 530 (else branch), so result is positive; no overflow",,high
INT31-C,15,sqlite,src/vdbesort.c,572,FP,"nCopy=min(nRem,nBuffer)>0 inside while(nRem>0); positive int to size_t safe",,high
INT32-C,16,sqlite,src/vdbesort.c,572,FP,"nByte-nRem: nRem<=nByte and decreasing, index stays within [0,nByte); positive, no overflow",,high
INT32-C,17,sqlite,src/vdbesort.c,573,FP,"nRem-=nCopy with nCopy<=nRem (nCopy=min(nRem,nBuffer)); stays >=0, loop guard nRem>0; no overflow",,high
EXP34-C,18,sqlite,src/vdbesort.c,589,FP,p->aMap deref at 590 is inside if(p->aMap) branch; guarded,,high
INT33-C,19,sqlite,src/vdbesort.c,592,FP,"nBuffer=pgsz, set non-zero on the non-mmap path; reachable only when aMap==0 where aBuffer/nBuffer initialized; not zero",,high
EXP33-C,20,sqlite,src/vdbesort.c,601,FP,aVarint[16] fully written by the do/while before sqlite3GetVarint reads it; the loop reads at least one byte and stops on high-bit-clear; varint <=9 bytes; not uninit in practice,,high
EXP34-C,21,sqlite,src/vdbesort.c,601,FP,a is set by vdbePmaReadBlob which returns a valid pointer (or rc!=OK handled); a[0] read only after rc==0 check; not null,,high
INT13-C,22,sqlite,src/vdbesort.c,601,FP,"i&0xf on a small loop counter i (0..) bounds the index into aVarint[16]; bitwise-on-signed is benign idiom, value always small positive",,high
DCL13-C,23,sqlite,src/vdbesort.c,619,FP,pTask is dereferenced read-only (pTask->pSorter->db) in vdbeSorterMapFile; DCL13 const would compile; low-value but technically valid,,med
DCL13-C,24,sqlite,src/vdbesort.c,619,FP,"pFile fields (iEof, pFd) are read but pFd is stored into *pp indirectly via OsFetch; pFile not written; const-eligible but contract/typedef-style; low value",,med
EXP34-C,25,sqlite,src/vdbesort.c,644,FP,pReadr->pIncr access at 644 is in an assert; only enabled in debug and pReadr is valid by contract,,high
INT33-C,26,sqlite,src/vdbesort.c,658,FP,pgsz=pTask->pSorter->pgsz=page size (>=512); never zero; iReadOff%pgsz safe,,high
INT32-C,27,sqlite,src/vdbesort.c,665,FP,"pgsz-iBuf with iBuf=iReadOff%pgsz in [0,pgsz); difference positive; no overflow",,high
MSC04-C,28,sqlite,src/vdbesort.c,683,FP,"indirect recursion via merge step is real but bounded by finite PMA tree; MSC04 structural, no defect",,high
EXP34-C,29,sqlite,src/vdbesort.c,688,FP,pReadr valid by contract (caller passes aReadr element); iReadOff/iEof are struct fields; no null,,high
DCL13-C,30,sqlite,src/vdbesort.c,764,FP,"pTask read-only in this function; const-eligible, low value",,med
DCL13-C,31,sqlite,src/vdbesort.c,791,FP,"pTask read-only here; const-eligible, low value",,med
ARR37-C,32,sqlite,src/vdbesort.c,817,FP,"p1 points to a valid serialized SQLite record buffer; p1[0] is the header-size byte, &p1[p1[0]] indexes within the same record; idiomatic record decode, p1 is effectively an array",,high
ARR37-C,33,sqlite,src/vdbesort.c,817,FP,p1[0] reads header-size byte of the record buffer p1 points to; valid array access,,high
ARR37-C,34,sqlite,src/vdbesort.c,818,FP,same as idx32 for p2; valid record-buffer indexing,,high
ARR37-C,35,sqlite,src/vdbesort.c,818,FP,p2[0] header-size byte read; valid,,high
ARR37-C,36,sqlite,src/vdbesort.c,824,FP,p1[1] is serial-type byte of first field in record; within buffer,,high
EXP33-C,37,sqlite,src/vdbesort.c,824,FP,"n1 IS initialized by getVarint32NR(&p1[1],n1) macro which assigns n1; sqc fails to model the macro's output assignment",,high
ARR37-C,38,sqlite,src/vdbesort.c,825,FP,p2[1] serial-type byte; within record buffer,,high
EXP33-C,39,sqlite,src/vdbesort.c,825,FP,"n2 initialized by getVarint32NR(&p2[1],n2) macro; not uninit",,high
INT32-C,40,sqlite,src/vdbesort.c,826,FP,"MIN(n1,n2)-13 then /2 used as memcmp len; n1/n2 are TEXT serial types >=13 by construction (typeMask gate ensures first field is text); subtraction non-negative; relies on record validity not attacker temp data",,med
INT32-C,41,sqlite,src/vdbesort.c,828,FP,n1-n2 are bounded int field lengths from a record; difference fits int; no practical overflow,,high
INT32-C,42,sqlite,src/vdbesort.c,841,FP,res*-1 where res is a small comparison result (-/0/+ or n1-n2); cannot overflow int meaningfully (INT_MIN not reachable from these comparisons),,high
