rule,idx,project,file,line,verdict,reason,provenance,confidence
PRE00-C,0,sqlite,ext/fts5/fts5_expr.c,96,TP,Fts5NodeIsString(p) expands (p)->eType twice; genuine multi-eval function-like macro,,high
PRE12-C,1,sqlite,ext/fts5/fts5_expr.c,96,TP,parameter p evaluated twice in macro body,,high
PRE00-C,2,sqlite,ext/fts5/fts5_expr.c,102,TP,"fts5ExprNodeNext(a,b,c,d) expands (b) twice; genuine multi-eval macro",,high
PRE12-C,3,sqlite,ext/fts5/fts5_expr.c,102,TP,parameter b evaluated twice in macro body,,high
DCL13-C,4,sqlite,ext/fts5/fts5_expr.c,166,TP,p only read (eType/iHeight/nChild/apChild); recursion passes child pointer not p,,high
MEM05-C,5,sqlite,ext/fts5/fts5_expr.c,166,FP,assert_expr_depth_ok is NDEBUG-only and recurses over tree capped at SQLITE_FTS5_MAX_EXPR_DEPTH=256,,high
MSC04-C,6,sqlite,ext/fts5/fts5_expr.c,166,TP,assert_expr_depth_ok recurses on apChild at line 176,,high
ARR00-C,7,sqlite,ext/fts5/fts5_expr.c,173,FP,ii initialized in for-loop bounded by p->nChild; NDEBUG-only assert; false uninitialized claim,,high
API00-C,8,sqlite,ext/fts5/fts5_expr.c,186,FP,"internal; pParse is Fts5Parse* owned by parser, always valid; rc-state trusted",,high
STR34-C,9,sqlite,ext/fts5/fts5_expr.c,209,FP,"const char *z = *pz is a pointer (char*) assignment, not a char value widened",,high
CON43-C,10,sqlite,ext/fts5/fts5_expr.c,217,FP,switch(*z) single-threaded string parse; not a concurrent double-fetch,,high
ARR37-C,11,sqlite,ext/fts5/fts5_expr.c,234,FP,z2 walks nul-terminated query string with '\0' sentinel termination,,high
STR34-C,12,sqlite,ext/fts5/fts5_expr.c,234,FP,"z2[0]=='\' is char==ASCII compare; message about *z[1] misreads pointer arithmetic""",,high
STR34-C,13,sqlite,ext/fts5/fts5_expr.c,234,FP,"pointer-walk loop, no char widened into index/size",,high
ARR37-C,14,sqlite,ext/fts5/fts5_expr.c,235,FP,z2[0] read of nul-terminated string scan; sentinel-bounded,,high
EXP34-C,15,sqlite,ext/fts5/fts5_expr.c,235,FP,"z2 walks nul-terminated string from &z[1]; valid pointer, loop exits on \0",,high
ARR37-C,16,sqlite,ext/fts5/fts5_expr.c,236,FP,z2++ in quoted-string scan terminated by '\0' check,,high
ARR37-C,17,sqlite,ext/fts5/fts5_expr.c,237,FP,z2[0] read after ++ still before '\0' check; sentinel-bounded,,high
ARR37-C,18,sqlite,ext/fts5/fts5_expr.c,239,FP,z2[0]=='\0' is the terminating sentinel check itself,,high
ARR37-C,19,sqlite,ext/fts5/fts5_expr.c,255,FP,bareword scan z2++ bounded by IsBareword predicate over nul-terminated string,,high
STR34-C,20,sqlite,ext/fts5/fts5_expr.c,255,FP,*z2 passed to bareword classifier in loop cond; not widened into index/size,,high
STR34-C,21,sqlite,ext/fts5/fts5_expr.c,255,FP,"pointer increment loop, no sign-extension into larger type",,high
MEM33-C,22,sqlite,ext/fts5/fts5_expr.c,264,FP,"line is *pz=&pToken->p[pToken->n] pointer arithmetic into token buffer, no flexible-array struct assignment",,high
STR34-C,23,sqlite,ext/fts5/fts5_expr.c,264,FP,"*pz = &pToken->p[...] is a pointer assignment, not a char value",,high
API00-C,24,sqlite,ext/fts5/fts5_expr.c,271,FP,sqlite3Fts5ExprNew pConfig from internal caller (fts5_main); object always valid,,high
API00-C,25,sqlite,ext/fts5/fts5_expr.c,271,FP,"ppNew is OUT pointer, written *ppNew=0; internal caller passes &expr",,high
API00-C,26,sqlite,ext/fts5/fts5_expr.c,271,FP,"pzErr is OUT pointer, written *pzErr=0; internal caller passes valid addr",,high
DCL13-C,27,sqlite,ext/fts5/fts5_expr.c,272,FP,"pConfig stored into non-const fields (pNew->pConfig, sParse.pConfig); const would break",,med
STR34-C,28,sqlite,ext/fts5/fts5_expr.c,287,FP,*pzErr = 0 assigns NULL to a char*; pointer not char,,high
FIO34-C,29,sqlite,ext/fts5/fts5_expr.c,294,FP,"FTS5_EOF is a token constant (0) for string parse, not stdio EOF; no file I/O",,high
EXP34-C,30,sqlite,ext/fts5/fts5_expr.c,305,FP,pConfig is required non-null config param supplied by FTS5 core; invariant,,high
MEM30-C,31,sqlite,ext/fts5/fts5_expr.c,336,FP,sParse.zErr is a stack struct member never freed; transferred to *pzErr or freed once,,high
STR34-C,32,sqlite,ext/fts5/fts5_expr.c,336,FP,"*pzErr = sParse.zErr is a char* assignment, not a char widening",,high
MEM12-C,33,sqlite,ext/fts5/fts5_expr.c,340,FP,no leak: *ppNew is output ownership transfer; apPhrase/zErr/pExpr/pEngine all handled,,high
MEM30-C,34,sqlite,ext/fts5/fts5_expr.c,340,FP,sParse.rc is a stack int return value not a freed pointer,,high
