rule,project,file,line,verdict,reason,provenance,confidence
ARR00-C,hostap,wpa_supplicant/config.c,934,FP,"end[-1] is buf[99], the last byte of the 100-byte os_zalloc(100) buffer referenced via the end=buf+100 pointer; this is a valid in-bounds access, not a negative array subscript.",delta_arr00_02_task545,high
ARR02-C,hostap,src/utils/trace.h,53,FP,"`const char *buf[]` in `wpa_trace_calling_func(const char *buf[], size_t len)` is a function parameter (adjusted to pointer type in C), not an array object definition with unspecified bounds.",delta_arr00_02_task545,high
INT30-C,hostap,hostapd/hlr_auc_gw.c,501,FP,"'end = buf + sizeof(buf)' where buf is a local char[500] stack array so sizeof(buf) is a fixed small constant, far below wraparound range.",delta_int30_task545,high
INT30-C,hostap,src/ap/mbo_ap.c,64,FP,'end = pos + sizeof(channels)' where channels is a local char[200] stack array; the addend is a fixed small constant.,delta_int30_task545,high
INT30-C,hostap,src/common/dpp.c,679,FP,'end = pos + sizeof(freqs)' where freqs is a local char[DPP_BOOTSTRAP_MAX_FREQ*6+10] stack array; the addend is a compile-time-bounded small constant.,delta_int30_task545,high
INT30-C,hostap,src/common/sae_pk.c,177,FP,"pw_len is checked (`pw_len < 14`) to return false earlier at line 155, so pw_len-1 in the checksum-char comparison cannot underflow.",delta_int30_task545,high
INT30-C,hostap,src/crypto/crypto_libtomcrypt.c,661,FP,"Prior checks (pos-plain-2<8 return -1, and pos+16>=plain+len return -1) guarantee pos-plain < len before 'len -= pos - plain' executes, preventing underflow.",delta_int30_task545,high
INT30-C,hostap,src/crypto/tls_openssl.c,5092,FP,'end = pos + sizeof(buf)' where buf is a local char[500] stack array; fixed small constant addend.,delta_int30_task545,high
INT30-C,hostap,src/crypto/tls_wolfssl.c,2295,FP,'end = pos + sizeof(buf)' where buf is a local char[128] stack array; fixed small constant addend.,delta_int30_task545,high
INT30-C,hostap,src/drivers/driver_nl80211.c,1472,FP,'end = pos + sizeof(extra)' where extra is a local char[100] stack array; fixed small constant addend.,delta_int30_task545,high
INT30-C,hostap,src/drivers/driver_nl80211.c,1639,FP,'end = pos + sizeof(extra)' where extra is a local char[100] stack array; fixed small constant addend.,delta_int30_task545,high
INT30-C,hostap,src/drivers/driver_nl80211.c,8884,FP,'end = pos + sizeof(buf)' where buf is a local char[200] stack array; fixed small constant addend.,delta_int30_task545,high
INT30-C,hostap,src/drivers/driver_nl80211_event.c,2154,FP,'end = pos + sizeof(msg)' where msg is a local char[MAX_REPORT_FREQS*5+1] stack array; fixed small constant addend.,delta_int30_task545,high
INT30-C,hostap,src/drivers/driver_nl80211_event.c,3245,FP,'end = pos + sizeof(msg)' where msg is a local char[500] stack array; fixed small constant addend.,delta_int30_task545,high
INT30-C,hostap,src/eap_common/eap_eke_common.c,627,FP,"data_len is bounded by real EAP-EKE protocol message sizes (network MTU order) and pad is at most block_size (<=16), so 'data_len + pad' cannot realistically approach SIZE_MAX/wrap.",delta_int30_task545,high
INT30-C,hostap,src/eap_common/eap_eke_common.c,628,FP,Same bounded data_len (protocol-sized EAP-EKE payload) plus pad<=block_size on the following mac call; not a realistic wrap.,delta_int30_task545,high
INT30-C,hostap,src/eap_peer/eap_aka.c,205,FP,'end = pos + sizeof(req)' where req is a local char[200] stack array; fixed small constant addend.,delta_int30_task545,high
INT30-C,hostap,src/eap_peer/eap_pax.c,417,FP,len comes from eap_hdr_validate() bounded by the received EAP packet size (checked >= sizeof(*req)+ICV_LEN at line 345); pointer+len cannot realistically wrap given protocol-sized EAP frames.,delta_int30_task545,high
INT30-C,hostap,src/eap_peer/eap_sim.c,212,FP,'end = pos + sizeof(req)' where req is a local char[200] stack array; fixed small constant addend.,delta_int30_task545,high
INT30-C,hostap,src/eap_server/eap_server_psk.c,303,FP,"buf is os_malloc'd with buflen = id_p_len + server_id_len + 2*RAND_LEN, so 'buf + data->id_p_len' stays within the allocated block; id_p_len is a protocol identity-field length, structurally far below wraparound range.",delta_int30_task545,high
INT30-C,hostap,src/p2p/p2p_go_neg.c,782,FP,'end = pos + sizeof(txt)' where txt is a local char[100] stack array; fixed small constant addend.,delta_int30_task545,high
INT30-C,hostap,src/pae/ieee802_1x_kay.c,1088,FP,"pos points within an MKA packet whose left_len is validated against MKA_HDR_LEN+body_len+ICV at line 1060; i is bounded by body_len (protocol/MTU-sized), so 'pos + MKA_HDR_LEN + i' is far below wraparound range.",delta_int30_task545,high
INT30-C,hostap,src/radius/radius.c,1157,FP,"pos points within a RADIUS attribute buffer and sizeof(*vhdr) is a small fixed constant; vendor_length is validated against left/sizeof(*vhdr) just above, so this pointer+constant cannot wrap.",delta_int30_task545,high
INT30-C,hostap,src/rsn_supp/wpa.c,3285,FP,"'maxkeylen -= 8' is guarded by an explicit `if (maxkeylen < 8) goto failed;` check immediately above (line 3279), preventing underflow.",delta_int30_task545,high
INT30-C,hostap,src/utils/config.c,21,FP,"len = os_strlen(buf) and the function returns early at line 18-19 if len == 0, so len is guaranteed >= 1 when 'buf[len - 1]' executes.",delta_int30_task545,high
INT30-C,hostap,src/utils/edit.c,943,FP,"len = os_strlen(search_buf) and the function returns at line 941-942 if len == 0, so 'search_buf[len - 1]' cannot underflow.",delta_int30_task545,high
INT30-C,hostap,wpa_supplicant/bss.c,1460,FP,"bss->ie_len is the size of a locally-owned scan-result IE buffer bounded by real 802.11 frame sizes (<= a few KB), far below wraparound range for pointer+size arithmetic.",delta_int30_task545,high
