rule,idx,project,file,line,verdict,reason,provenance,confidence
MEM31-C,1,mosquitto,lib/handle_auth.c,63,FN,"auth_method allocated by mosquitto_property_read_string (caller must free()'d per libcommon_properties.h doc) is never freed before handle__auth returns - memory leak on every MQTT5 AUTH packet; confirmed still present in mosquitto-main HEAD",claude-audit,high
MEM31-C,2,mosquitto,lib/handle_auth.c,64,FN,"auth_data allocated by mosquitto_property_read_binary (caller must free()'d) is never freed before handle__auth returns - same leak pattern as auth_method on line 63; confirmed still present in mosquitto-main HEAD",claude-audit,high
API02-C,3,mosquitto,lib/alias_mosq.h,25,FP,"alias__add_l2r: topic is NUL-terminated C string (self-describing length); alias is out-param to single uint16_t, not an array needing a size arg",claude-audit,high
API02-C,4,mosquitto,lib/alias_mosq.h,26,FP,"alias__find_by_alias: char **topic is an out-param for a single string pointer (ownership/alias), not an array requiring a size arg",claude-audit,high
API02-C,5,mosquitto,lib/alias_mosq.h,27,FP,"alias__find_by_topic: topic is NUL-terminated C string; alias is out-param to single uint16_t, not an array needing a size arg",claude-audit,high
API02-C,6,mosquitto,lib/callbacks.h,27,FP,"callback__on_subscribe: granted_qos array size IS given by the preceding qos_count parameter; API02 misfire not recognizing the adjacent count param",claude-audit,high
API02-C,7,mosquitto,lib/callbacks.h,28,FP,"callback__on_unsubscribe: reason_codes array size IS given by the preceding reason_code_count parameter; same misfire as on_subscribe",claude-audit,high
EXP34-C,8,mosquitto,lib/extended_auth.c,57,FP,"properties cannot be NULL at mosquitto_property_get_remaining_length: mosquitto_property_add_string succeeded just above (else goto error), which appends to and returns a non-NULL list",claude-audit,high
MEM31-C,9,mosquitto,lib/extended_auth.c,66,FP,"Misattributed: 'rc' is an int (return code of packet__alloc), not an allocated object; the actual allocation 'packet' is queued via packet__queue on success or NULL on failure - no leak",claude-audit,high
MEM31-C,10,mosquitto,lib/extended_auth.c,73,FP,"Same misattribution as line 66: 'rc' is an int, not allocated by packet__alloc; packet__queue(context,packet) takes ownership of packet",claude-audit,high
MSC07-C,11,mosquitto,lib/extended_auth.c,74,FP,"'error:' label is a valid jump target reached via 4 prior 'goto error' statements (lines 47/53/61/66); code following it is reachable, not dead",claude-audit,high
