rule,idx,project,file,line,verdict,reason
API00-C,0,libcrc,examples/tstcrc.c,56,FP,input_str validated indirectly: 'ptr = input_str; if (ptr != NULL)' guards every deref (argv guarded by the argc check); sqc misses the alias
API00-C,1,libcrc,precalc/precalc.c,69,FP,input_str validated indirectly: 'ptr = input_str; if (ptr != NULL)' guards every deref (argv guarded by the argc check); sqc misses the alias
API00-C,2,libcrc,src/crc16.c,52,FP,input_str validated indirectly: 'ptr = input_str; if (ptr != NULL)' guards every deref (argv guarded by the argc check); sqc misses the alias
API00-C,3,libcrc,src/crc16.c,80,FP,input_str validated indirectly: 'ptr = input_str; if (ptr != NULL)' guards every deref (argv guarded by the argc check); sqc misses the alias
API00-C,4,libcrc,src/crc32.c,52,FP,input_str validated indirectly: 'ptr = input_str; if (ptr != NULL)' guards every deref (argv guarded by the argc check); sqc misses the alias
API00-C,5,libcrc,src/crc64.c,52,FP,input_str validated indirectly: 'ptr = input_str; if (ptr != NULL)' guards every deref (argv guarded by the argc check); sqc misses the alias
API00-C,6,libcrc,src/crc64.c,78,FP,input_str validated indirectly: 'ptr = input_str; if (ptr != NULL)' guards every deref (argv guarded by the argc check); sqc misses the alias
API00-C,7,libcrc,src/crc64.c,103,FP,input_str validated indirectly: 'ptr = input_str; if (ptr != NULL)' guards every deref (argv guarded by the argc check); sqc misses the alias
API00-C,8,libcrc,src/crc8.c,73,FP,input_str validated indirectly: 'ptr = input_str; if (ptr != NULL)' guards every deref (argv guarded by the argc check); sqc misses the alias
API00-C,9,libcrc,src/crcccitt.c,120,FP,input_str validated indirectly: 'ptr = input_str; if (ptr != NULL)' guards every deref (argv guarded by the argc check); sqc misses the alias
API00-C,10,libcrc,src/crcdnp.c,52,FP,input_str validated indirectly: 'ptr = input_str; if (ptr != NULL)' guards every deref (argv guarded by the argc check); sqc misses the alias
API00-C,11,libcrc,src/crckrmit.c,51,FP,input_str validated indirectly: 'ptr = input_str; if (ptr != NULL)' guards every deref (argv guarded by the argc check); sqc misses the alias
API00-C,12,libcrc,src/crcsick.c,45,FP,input_str validated indirectly: 'ptr = input_str; if (ptr != NULL)' guards every deref (argv guarded by the argc check); sqc misses the alias
API00-C,13,libcrc,src/crcsick.c,87,FP,input_str validated indirectly: 'ptr = input_str; if (ptr != NULL)' guards every deref (argv guarded by the argc check); sqc misses the alias
API02-C,14,libcrc,precalc/precalc.h,44,FP,"main(int, char*[]) is the standard entry-point signature; a size parameter is inapplicable"
ARR00-C,15,libcrc,precalc/precalc.c,152,FP,loop variable 'a' is initialized in the for-init (a=0); not uninitialized
ARR02-C,16,libcrc,precalc/precalc.h,44,FP,standard C idiom ('char *argv[]' / 'extern T x[]'); the array size is defined elsewhere
ARR02-C,17,libcrc,src/crc8.c,46,FP,standard C idiom ('char *argv[]' / 'extern T x[]'); the array size is defined elsewhere
ARR02-C,18,libcrc,test/testcrc.c,62,FP,standard C idiom ('char *argv[]' / 'extern T x[]'); the array size is defined elsewhere
ARR02-C,19,libcrc,test/testnmea.c,49,FP,standard C idiom ('char *argv[]' / 'extern T x[]'); the array size is defined elsewhere
ARR30-C,20,libcrc,examples/tstcrc.c,120,FP,"NUL/sentinel-terminated string scan; the loop terminates, no buffer overflow"
ARR30-C,21,libcrc,examples/tstcrc.c,154,FP,"NUL/sentinel-terminated string scan; the loop terminates, no buffer overflow"
ARR30-C,22,libcrc,src/crc16.c,111,FP,table index is masked '& 0x00FF' to 0-255 against a 256-entry table; provably in-bounds
ARR30-C,23,libcrc,src/crcccitt.c,124,FP,table index is masked '& 0x00FF' to 0-255 against a 256-entry table; provably in-bounds
ARR30-C,24,libcrc,src/crcdnp.c,90,FP,table index is masked '& 0x00FF' to 0-255 against a 256-entry table; provably in-bounds
ARR30-C,25,libcrc,src/crckrmit.c,88,FP,table index is masked '& 0x00FF' to 0-255 against a 256-entry table; provably in-bounds
ARR30-C,26,libcrc,src/nmea-chk.c,70,FP,"NUL/sentinel-terminated string scan; the loop terminates, no buffer overflow"
CON03-C,27,libcrc,src/crc16.c,40,TP,lazy table init (init flag + table write) is an unsynchronized data race if crc_* is called from multiple threads (known libcrc thread-safety issue)
CON03-C,28,libcrc,src/crc8.c,46,FP,single-threaded test counter / read-only const table; no concurrent access
CON03-C,29,libcrc,src/crcccitt.c,41,TP,lazy table init (init flag + table write) is an unsynchronized data race if crc_* is called from multiple threads (known libcrc thread-safety issue)
CON03-C,30,libcrc,src/crcdnp.c,42,TP,lazy table init (init flag + table write) is an unsynchronized data race if crc_* is called from multiple threads (known libcrc thread-safety issue)
CON03-C,31,libcrc,src/crckrmit.c,40,TP,lazy table init (init flag + table write) is an unsynchronized data race if crc_* is called from multiple threads (known libcrc thread-safety issue)
CON03-C,32,libcrc,test/testcrc.c,62,FP,single-threaded test counter / read-only const table; no concurrent access
CON03-C,33,libcrc,test/testnmea.c,49,FP,single-threaded test counter / read-only const table; no concurrent access
DCL00-C,34,libcrc,src/crc8.c,46,TP,sht75_crc_table is initialized once and never modified; const-qualifying it is correct and implementable
DCL04-C,35,libcrc,test/testnmea.c,209,FP,two related ints in one declaration; cosmetic
DCL06-C,36,libcrc,examples/tstcrc.c,234,FP,256/0xFF/0x0001 are intrinsic CRC constants; a symbolic name adds no safety
DCL06-C,37,libcrc,examples/tstcrc.c,235,FP,256/0xFF/0x0001 are intrinsic CRC constants; a symbolic name adds no safety
DCL06-C,38,libcrc,precalc/crc32_table.c,52,FP,256/0xFF/0x0001 are intrinsic CRC constants; a symbolic name adds no safety
DCL06-C,39,libcrc,precalc/crc32_table.c,58,FP,256/0xFF/0x0001 are intrinsic CRC constants; a symbolic name adds no safety
DCL06-C,40,libcrc,precalc/crc64_table.c,55,FP,256/0xFF/0x0001 are intrinsic CRC constants; a symbolic name adds no safety
DCL06-C,41,libcrc,precalc/crc64_table.c,58,FP,256/0xFF/0x0001 are intrinsic CRC constants; a symbolic name adds no safety
DCL06-C,42,libcrc,precalc/crc64_table.c,62,FP,256/0xFF/0x0001 are intrinsic CRC constants; a symbolic name adds no safety
DCL06-C,43,libcrc,precalc/precalc.c,56,FP,256/0xFF/0x0001 are intrinsic CRC constants; a symbolic name adds no safety
DCL06-C,44,libcrc,precalc/precalc.c,152,FP,256/0xFF/0x0001 are intrinsic CRC constants; a symbolic name adds no safety
DCL06-C,45,libcrc,precalc/precalc.c,156,FP,256/0xFF/0x0001 are intrinsic CRC constants; a symbolic name adds no safety
DCL06-C,46,libcrc,precalc/precalc.c,157,FP,256/0xFF/0x0001 are intrinsic CRC constants; a symbolic name adds no safety
DCL06-C,47,libcrc,precalc/precalc.c,158,FP,256/0xFF/0x0001 are intrinsic CRC constants; a symbolic name adds no safety
DCL06-C,48,libcrc,precalc/precalc.c,161,FP,256/0xFF/0x0001 are intrinsic CRC constants; a symbolic name adds no safety
DCL06-C,49,libcrc,precalc/precalc.h,50,FP,256/0xFF/0x0001 are intrinsic CRC constants; a symbolic name adds no safety
DCL06-C,50,libcrc,src/crc16.c,41,FP,256/0xFF/0x0001 are intrinsic CRC constants; a symbolic name adds no safety
