rule,idx,project,file,line,verdict,reason,provenance,confidence
MEM30-C,1,sqlite,ext/misc/scrub.c,88,FP,p->rcErr is an int field of ScrubState not a freed pointer; scrubBackupErr frees p->zErr not rcErr,b15-adjudicator,high
DCL30-C,2,sqlite,ext/misc/scrub.c,97,FP,returns pPage which is heap from sqlite3_malloc not a local automatic object,b15-adjudicator,high
INT32-C,3,sqlite,ext/misc/scrub.c,112,FP,cast to sqlite3_int64 makes the multiply 64-bit; pgno bounded by page_count and szPage<=65536 cannot overflow int64,b15-adjudicator,high
INT32-C,4,sqlite,ext/misc/scrub.c,112,FP,pgno is page number from validated PRAGMA/sqlite_schema; pgno-1 cannot overflow int,b15-adjudicator,high
DCL30-C,5,sqlite,ext/misc/scrub.c,120,FP,returns pOut which points to heap (pBuf or allocated page) not a local,b15-adjudicator,high
INT32-C,6,sqlite,ext/misc/scrub.c,128,FP,same as idx3 the multiply is promoted to sqlite3_int64 and cannot overflow,b15-adjudicator,high
INT32-C,7,sqlite,ext/misc/scrub.c,128,FP,pgno-1 on a valid page number cannot overflow int,b15-adjudicator,high
DCL30-C,8,sqlite,ext/misc/scrub.c,152,FP,returns pStmt which is a heap stmt handle from sqlite3_prepare not a local object,b15-adjudicator,high
INT14-C,9,sqlite,ext/misc/scrub.c,272,FP,INT14 readability only; a[] bytes combined via shifts to build big-endian u32 is idiomatic and safe,b15-adjudicator,high
INT14-C,10,sqlite,ext/misc/scrub.c,282,FP,readability heuristic only; varint accumulation v<<7 is intended bitwise+arith,b15-adjudicator,high
INT14-C,11,sqlite,ext/misc/scrub.c,282,FP,z is a byte pointer indexed by i; readability heuristic not a defect,b15-adjudicator,high
INT14-C,12,sqlite,ext/misc/scrub.c,282,FP,i is a loop counter used to index z and returned; not a defect,b15-adjudicator,high
INT32-C,13,sqlite,ext/misc/scrub.c,282,FP,v is sqlite3_int64 (64-bit); v<<7 over 8 iterations of 7 bits max stays within 56 bits no overflow,b15-adjudicator,high
INT32-C,14,sqlite,ext/misc/scrub.c,285,FP,v<<8 final varint step on 64-bit v; total 64 bits well defined,b15-adjudicator,high
INT14-C,15,sqlite,ext/misc/scrub.c,296,FP,readability heuristic only; loop index over varint bytes,b15-adjudicator,high
INT32-C,16,sqlite,ext/misc/scrub.c,319,FP,memset size 4*(mx-n) bounded: n<mx guard ensures positive and n*4+8+4*(mx-n)=mx*4+8=szUsable within szPage buffer,b15-adjudicator,high
INT32-C,17,sqlite,ext/misc/scrub.c,319,FP,mx=szUsable/4-2 and n<mx so 4*(mx-n) is small and within u32; no overflow,b15-adjudicator,high
INT32-C,18,sqlite,ext/misc/scrub.c,329,FP,dead code under #if 0; never compiled,b15-adjudicator,high
INT32-C,19,sqlite,ext/misc/scrub.c,329,FP,dead code under #if 0; never compiled,b15-adjudicator,high
INT32-C,20,sqlite,ext/misc/scrub.c,356,FP,szUsable=szPage-page1[20]>=512-255=257 so szUsable-4 positive no underflow,b15-adjudicator,high
MEM05-C,21,sqlite,ext/misc/scrub.c,374,FP,MEM05 recursion is real in scrubBackupBtree but depth is bounded by iDepth>50 guard at line 388 so not excessive,b15-adjudicator,med
ARR37-C,22,sqlite,ext/misc/scrub.c,400,FP,aTop=&a[nPrefix] points into szPage page buffer; aTop[0] is a valid in-buffer byte read,b15-adjudicator,high
ARR37-C,23,sqlite,ext/misc/scrub.c,400,FP,duplicate of idx22; aTop[0] read is in-bounds of the page buffer,b15-adjudicator,high
INT32-C,24,sqlite,ext/misc/scrub.c,400,FP,szHdr=8+4*(bool) is at most 12; constant arithmetic cannot overflow int,b15-adjudicator,high
INT32-C,25,sqlite,ext/misc/scrub.c,400,FP,4*(bool) is 0 or 4; no overflow,b15-adjudicator,high
