rule,idx,project,file,line,verdict,reason,provenance,confidence
EXP34-C,1,sqlite,ext/intck/sqlite3intck.c,63,FP,p is the internal intck handle allocated in _open and passed by callers always non-null contract,b14-adjudicator,high
MEM30-C,2,sqlite,ext/intck/sqlite3intck.c,65,FP,misread sqlite3_free(p->zErr) frees zErr not p->db the handle p->db is read live not freed,b14-adjudicator,high
EXP34-C,3,sqlite,ext/intck/sqlite3intck.c,78,FP,p is the live intck handle never null in this static helper,b14-adjudicator,high
DCL30-C,4,sqlite,ext/intck/sqlite3intck.c,85,FP,pRet is a sqlite3_stmt* pointer value returned not the address of a local object,b14-adjudicator,high
EXP34-C,5,sqlite,ext/intck/sqlite3intck.c,104,FP,p is the live intck handle never null,b14-adjudicator,high
EXP34-C,6,sqlite,ext/intck/sqlite3intck.c,120,FP,p is the live intck handle never null,b14-adjudicator,high
DCL13-C,7,sqlite,ext/intck/sqlite3intck.c,129,TP,static intckStep only reads p->rc and never writes through p so const sqlite3_intck* compiles,b14-adjudicator,med
EXP34-C,8,sqlite,ext/intck/sqlite3intck.c,130,FP,p is the live intck handle never null,b14-adjudicator,high
EXP34-C,9,sqlite,ext/intck/sqlite3intck.c,155,FP,p is the live intck handle never null,b14-adjudicator,high
STR34-C,10,sqlite,ext/intck/sqlite3intck.c,206,FP,zDir bytes feed an equality compare zDir[ii-1]=='1' not arithmetic sign-extension is benign,b14-adjudicator,med
INT32-C,11,sqlite,ext/intck/sqlite3intck.c,255,FP,ii bounded by p->nKeyVal (small column count) ii+1 cannot approach INT_MAX,b14-adjudicator,high
INT32-C,12,sqlite,ext/intck/sqlite3intck.c,255,FP,same bind loop ii bounded by nKeyVal no realistic overflow,b14-adjudicator,high
EXP34-C,13,sqlite,ext/intck/sqlite3intck.c,274,FP,p is the live intck handle never null,b14-adjudicator,high
DCL00-C,14,sqlite,ext/intck/sqlite3intck.c,319,FP,c is reassigned conceptually as a token byte DCL00 const advisory low-value not a defect,b14-adjudicator,high
INT32-C,15,sqlite,ext/intck/sqlite3intck.c,324,FP,iRet counts bytes within a NUL-terminated schema string bounded well below INT_MAX,b14-adjudicator,med
INT32-C,16,sqlite,ext/intck/sqlite3intck.c,327,FP,iRet bounded by token length within bounded schema string,b14-adjudicator,med
EXP30-C,17,sqlite,ext/intck/sqlite3intck.c,331,FP,iRet++ then read are separate full expressions sequence points exist no UB,b14-adjudicator,high
STR09-C,18,sqlite,ext/intck/sqlite3intck.c,333,FP,STR09 ordering on A-Z is the standard SQLite ASCII identifier test portable on all targets sqlite supports,b14-adjudicator,high
STR09-C,19,sqlite,ext/intck/sqlite3intck.c,333,FP,same A-Z range test contract-safe ASCII assumption,b14-adjudicator,high
STR09-C,20,sqlite,ext/intck/sqlite3intck.c,333,FP,same a-z range test,b14-adjudicator,high
STR09-C,21,sqlite,ext/intck/sqlite3intck.c,333,FP,same a-z range test,b14-adjudicator,high
INT32-C,22,sqlite,ext/intck/sqlite3intck.c,335,FP,iRet bounded by identifier length in schema string,b14-adjudicator,med
INT32-C,23,sqlite,ext/intck/sqlite3intck.c,377,FP,iOff accumulates bytes within bounded schema sql cannot overflow int,b14-adjudicator,med
STR34-C,24,sqlite,ext/intck/sqlite3intck.c,386,FP,z[iOff] compared to char constants no sign-extension hazard,b14-adjudicator,med
INT32-C,25,sqlite,ext/intck/sqlite3intck.c,395,FP,iEnd and iStart are byte offsets within one bounded buffer difference is small positive,b14-adjudicator,high
STR34-C,26,sqlite,ext/intck/sqlite3intck.c,396,FP,*z used in char comparisons no harmful sign extension,b14-adjudicator,med
STR34-C,27,sqlite,ext/intck/sqlite3intck.c,396,FP,z[iStart] char compare no harmful sign extension,b14-adjudicator,med
INT32-C,28,sqlite,ext/intck/sqlite3intck.c,400,FP,iStart offset within bounded schema string no overflow,b14-adjudicator,med
INT32-C,29,sqlite,ext/intck/sqlite3intck.c,401,FP,iThisCol counts index columns tiny bound,b14-adjudicator,high
INT32-C,30,sqlite,ext/intck/sqlite3intck.c,405,FP,nOpen tracks paren nesting in bounded sql cannot reach INT_MAX,b14-adjudicator,high
INT32-C,31,sqlite,ext/intck/sqlite3intck.c,406,FP,nOpen decrement balanced by increments stays small,b14-adjudicator,high
ARR37-C,32,sqlite,ext/intck/sqlite3intck.c,413,FP,zToken[0] is a normal pointer dereference ARR37 subscript advisory not a defect,b14-adjudicator,high
INT32-C,33,sqlite,ext/intck/sqlite3intck.c,417,FP,iOff accumulates token bytes within bounded sql no int overflow,b14-adjudicator,med
STR34-C,34,sqlite,ext/intck/sqlite3intck.c,423,FP,*z char compare to constants no harmful sign extension,b14-adjudicator,med
STR34-C,35,sqlite,ext/intck/sqlite3intck.c,423,FP,z byte compared not sign-extended into arithmetic,b14-adjudicator,med
STR34-C,36,sqlite,ext/intck/sqlite3intck.c,425,FP,*z char compare no harmful sign extension,b14-adjudicator,med
STR34-C,37,sqlite,ext/intck/sqlite3intck.c,425,FP,z[iOff+5] char compare no harmful sign extension,b14-adjudicator,med
INT32-C,38,sqlite,ext/intck/sqlite3intck.c,428,FP,iOff += n within bounded sql no overflow,b14-adjudicator,med
INT32-C,39,sqlite,ext/intck/sqlite3intck.c,434,FP,nRet decremented only while trimming leading space bounded by string length positive,b14-adjudicator,med
INT32-C,40,sqlite,ext/intck/sqlite3intck.c,437,FP,nRet>0 guard precedes nRet-1 so no underflow,b14-adjudicator,high
ARR00-C,41,sqlite,ext/intck/sqlite3intck.c,441,FP,zRet is const char* into caller buffer z not a local array misread,b14-adjudicator,high
DCL30-C,42,sqlite,ext/intck/sqlite3intck.c,441,FP,zRet is a pointer into the input string returned by value not an automatic-storage object address,b14-adjudicator,high
DCL13-C,43,sqlite,ext/intck/sqlite3intck.c,452,FP,apVal signature is fixed by sqlite3 scalar-function callback typedef cannot be const-qualified,b14-adjudicator,high
EXP34-C,44,sqlite,ext/intck/sqlite3intck.c,489,FP,p is the live intck handle never null,b14-adjudicator,high
