rule,project,file,line,verdict,reason,provenance,confidence
EXP34-C,mosquitto,lib/alias_mosq.c,137,FP,topic reaches alias__find_by_topic from send__real_publish's stored-message topic string which is always populated for a valid outgoing PUBLISH; no path constructs a NULL topic before this call,delta_exp34_task539,medium
EXP34-C,mosquitto,lib/messages_mosq.c,43,FP,"msg = *message is only reached after the explicit `if(!message || !*message) return;` guard at line 37, so msg is guaranteed non-NULL",delta_exp34_task539,high
EXP34-C,mosquitto,lib/net_mosq.c,204,FP,"mosq is a required non-NULL struct mosquitto* parameter dereferenced immediately, matching the codebase's session-object invariant, not a real path with NULL",delta_exp34_task539,high
EXP34-C,mosquitto,lib/net_ws.c,49,FP,packet is only reached via packet__queue() which has assert(packet) as a documented precondition before calling ws__prepare_packet,delta_exp34_task539,high
EXP34-C,mosquitto,lib/packet_mosq.c,170,FP,"packet__queue_append's packet param is only called from packet__queue after assert(packet), a documented non-NULL precondition",delta_exp34_task539,high
EXP34-C,mosquitto,lib/packet_mosq.c,253,FP,"mosq is a required non-NULL struct mosquitto* parameter for packet__get_next_out, standard session-object invariant",delta_exp34_task539,high
EXP34-C,mosquitto,lib/send_publish.c,309,FP,"packet is allocated via packet__alloc(&packet,...) at line 302 with rc checked and an early return on failure, so packet is non-NULL by line 309",delta_exp34_task539,high
EXP34-C,mosquitto,lib/util_mosq.c,242,FP,"mosq is a required non-NULL struct mosquitto* parameter to mosquitto__set_state, standard session-object invariant",delta_exp34_task539,high
EXP34-C,mosquitto,src/bridge.c,1009,FP,"context is a required non-NULL struct mosquitto* parameter to reload_if_needed, standard session-object invariant",delta_exp34_task539,high
EXP34-C,mosquitto,src/bridge.c,982,FP,"context is a required non-NULL struct mosquitto* parameter to bridge_check_pending, only ever called with a valid bridge context",delta_exp34_task539,high
EXP34-C,mosquitto,src/context.c,218,FP,"ctxt is a required non-NULL struct mosquitto* parameter to context__send_will, standard session-object invariant",delta_exp34_task539,high
EXP34-C,mosquitto,src/context.c,255,FP,"context is a required non-NULL struct mosquitto* parameter to context__disconnect, standard session-object invariant",delta_exp34_task539,high
EXP34-C,mosquitto,src/context.c,306,FP,"context is a required non-NULL struct mosquitto* parameter to context__add_to_disused, standard session-object invariant",delta_exp34_task539,high
EXP34-C,mosquitto,src/context.c,354,FP,"context is a required non-NULL struct mosquitto* parameter to context__add_to_by_id, standard session-object invariant",delta_exp34_task539,high
EXP34-C,mosquitto,src/database.c,1380,FP,"context is a required non-NULL struct mosquitto* parameter to db__message_write_inflight_out_single, standard session-object invariant",delta_exp34_task539,high
EXP34-C,mosquitto,src/database.c,1481,FP,"context is a required non-NULL struct mosquitto* parameter to db__message_write_inflight_out_latest, standard session-object invariant",delta_exp34_task539,high
EXP34-C,mosquitto,src/database.c,1556,FP,"context is a required non-NULL struct mosquitto* parameter to db__message_write_queued_out, standard session-object invariant",delta_exp34_task539,high
EXP34-C,mosquitto,src/database.c,255,FP,"base_msg is a required non-NULL struct mosquitto__base_msg* parameter to db__msg_store_add, dereferenced immediately by design",delta_exp34_task539,high
EXP34-C,mosquitto,src/database.c,268,FP,"base_msg is a required non-NULL struct mosquitto__base_msg* parameter to db__msg_store_free, dereferenced immediately by design",delta_exp34_task539,high
EXP34-C,mosquitto,src/handle_auth.c,131,FP,"auth_data_out is optional/nullable by design and connect__on_authorised guards its only use with `if(auth_data_out && auth_data_out_len > 0)` before dereferencing (handle_connect.c:294), and SAFE_FREE(NULL) is safe",delta_exp34_task539,high
EXP34-C,mosquitto,src/handle_connect.c,1156,FP,"clientid is only reached after read_and_verify_clientid_from_packet succeeds, and its zero-length path (handle_zero_length_clientid) returns MOSQ_ERR_NOMEM rather than success if clientid_gen() yields NULL, so success implies non-NULL",delta_exp34_task539,high
EXP34-C,mosquitto,src/handle_connect.c,1181,FP,clientid is guaranteed non-NULL at this point for the same reason as the will__read call a few lines earlier - read_and_verify_clientid_from_packet only returns success with a non-NULL clientid,delta_exp34_task539,high
EXP34-C,mosquitto,src/handle_connect.c,1223,FP,"auth_data is deliberately nullable (init NULL at declaration, only set if the AUTHENTICATION_DATA property was present) and mosquitto_security_auth_start is designed to accept NULL data with auth_data_len 0, not a bug",delta_exp34_task539,high
EXP34-C,mosquitto,src/handle_connect.c,1226,FP,same as handle_auth.c:131 - connect__on_authorised guards its use of auth_data_out with an explicit NULL/length check before dereferencing it,delta_exp34_task539,high
EXP34-C,mosquitto,src/handle_connect.c,305,FP,"connack_props is legitimately NULL when no CONNACK properties were added (e.g. non-MQTT5), and send__connack/mosquitto_property_free_all treat a NULL property list as an empty list per the codebase's mosquitto_property idiom",delta_exp34_task539,high
EXP34-C,mosquitto,src/loop.c,278,FP,"context is a required non-NULL struct mosquitto* parameter to do_disconnect, standard session-object invariant",delta_exp34_task539,high
EXP34-C,mosquitto,src/mosquitto.c,578,FP,"g_listensock is a global array populated by the preceding listeners__start() call, which returns early with an error before this line if listener setup failed",delta_exp34_task539,high
EXP34-C,mosquitto,src/mosquitto.c,85,FP,"endptr is passed to strtol() which the C standard guarantees always sets *endptr on return (even on a parse failure) as long as endptr itself is non-NULL, so dereferencing endptr afterward is safe",delta_exp34_task539,high
EXP34-C,mosquitto,src/mux_epoll.c,135,FP,"context is a required non-NULL struct mosquitto* parameter to mux_epoll__new, standard session-object invariant",delta_exp34_task539,high
EXP34-C,mosquitto,src/mux_epoll.c,147,FP,"context is a required non-NULL struct mosquitto* parameter to mux_epoll__delete, standard session-object invariant",delta_exp34_task539,high
EXP34-C,mosquitto,src/mux_epoll.c,92,FP,"context is a required non-NULL struct mosquitto* parameter to mux_epoll__add_out, standard session-object invariant",delta_exp34_task539,high
EXP34-C,mosquitto,src/mux_kqueue.c,128,FP,"context is a required non-NULL struct mosquitto* parameter, same event-loop context-object pattern as mux_epoll.c/mux_poll.c",delta_exp34_task539,high
EXP34-C,mosquitto,src/mux_kqueue.c,142,FP,"context is a required non-NULL struct mosquitto* parameter, same event-loop context-object pattern as mux_epoll.c/mux_poll.c",delta_exp34_task539,high
EXP34-C,mosquitto,src/mux_kqueue.c,96,FP,"context is a required non-NULL struct mosquitto* parameter, same event-loop context-object pattern as mux_epoll.c/mux_poll.c",delta_exp34_task539,high
EXP34-C,mosquitto,src/mux_poll.c,176,FP,"context is a required non-NULL struct mosquitto* parameter to mux_poll__delete, standard session-object invariant",delta_exp34_task539,high
EXP34-C,mosquitto,src/plugin_client_offline.c,31,FP,"context is a required non-NULL struct mosquitto* parameter to plugin__handle_client_offline_single, standard session-object invariant",delta_exp34_task539,high
EXP34-C,mosquitto,src/plugin_client_offline.c,50,FP,"context is a required non-NULL struct mosquitto* parameter to plugin__handle_client_offline, standard session-object invariant",delta_exp34_task539,high
EXP34-C,mosquitto,src/plugin_disconnect.c,30,FP,"context is a required non-NULL struct mosquitto* parameter, same plugin-event-dispatch pattern as plugin_client_offline.c",delta_exp34_task539,high
EXP34-C,mosquitto,src/plugin_disconnect.c,49,FP,"context is a required non-NULL struct mosquitto* parameter, same plugin-event-dispatch pattern as plugin_client_offline.c",delta_exp34_task539,high
EXP34-C,mosquitto,src/plugin_persist.c,137,FP,"context is a required non-NULL struct mosquitto* parameter to plugin_persist__handle_client_delete, standard session-object invariant",delta_exp34_task539,high
EXP34-C,mosquitto,src/plugin_persist.c,54,FP,"context is a required non-NULL struct mosquitto* parameter to plugin_persist__handle_client_add, standard session-object invariant",delta_exp34_task539,high
EXP34-C,mosquitto,src/security_default.c,261,FP,"data_start is set by BIO_get_mem_data(subject_bio, &data_start) just before the memcpy, and BIO_get_mem_data always returns a valid pointer to the memory BIO's buffer (even for a zero-length buffer) in normal OpenSSL usage",delta_exp34_task539,medium
EXP34-C,mosquitto,src/service.c,161,FP,"name is set via fix_name(name) which only trims/derefs the caller-supplied argv[0]-derived string and never returns NULL; Windows-only service-install code path, not attacker-reachable",delta_exp34_task539,medium
EXP34-C,mosquitto,src/session_expiry.c,139,FP,"context is a required non-NULL struct mosquitto* parameter to session_expiry__remove, standard session-object invariant",delta_exp34_task539,high
