rule,project,file,line,verdict,reason,provenance,confidence
MSC01-C,curl,lib/altsvc.c,558,FP,"Chain parses known altsvc 'ma'/'persist' flags; the code comment explicitly says 'Unknown flags are skipped', so the missing case is intentional",delta_msc01_task535,high
MSC01-C,curl,lib/altsvc.c,80,FP,"Chain strips IPv6 brackets or a trailing dot from srchost; when neither applies (no brackets, no trailing dot) nothing needs stripping, a correct no-op",delta_msc01_task535,high
MSC01-C,curl,lib/asyn-ares.c,514,FP,"Comment states 'one success overrules any error'; the missing else is exactly the case where a prior success already occurred, correctly requiring no update",delta_msc01_task535,high
MSC01-C,curl,lib/asyn-thrdd.c,651,FP,Chain sets initial poll interval or backs off exponentially when expired; the missing else (interval not yet expired) correctly leaves poll_interval unchanged,delta_msc01_task535,high
MSC01-C,curl,lib/bufq.c,539,FP,"if(result)/else if(n==0 eof-break); missing else (result==0 && n>0) falls through to the code that tracks bytes written, which is correct",delta_msc01_task535,high
MSC01-C,curl,lib/bufq.c,597,FP,"if(result)/else if(n==0 eof-break); missing else (result==0 && n>0) falls through to the code that accumulates pnread, which is correct",delta_msc01_task535,high
MSC01-C,curl,lib/cf-h1-proxy.c,134,FP,"switch(new_state) covers every value of the h1_tunnel_state enum (INIT/CONNECT/RECEIVE/RESPONSE/ESTABLISHED-falls into FAILED/FAILED), exhaustive by construction",delta_msc01_task535,high
MSC01-C,curl,lib/cf-h1-proxy.c,324,FP,"Nested Transfer-Encoding value check; a non-2xx, non-chunked Transfer-Encoding value is an edge case curl's tunnel handshake does not need to act on beyond leaving chunked_encoding unset",delta_msc01_task535,medium
MSC01-C,curl,lib/cf-h1-proxy.c,337,FP,"Final branch of the recognized-header dispatch in on_resp_header; an unrecognized header simply falls through and is ignored, the standard permissive header-parsing idiom",delta_msc01_task535,high
MSC01-C,curl,lib/cf-h1-proxy.c,479,FP,"Missing else (no Content-Length, not chunked) falls to 'continue', which correctly implements the standard HTTP semantic of a body terminated by connection close",delta_msc01_task535,high
MSC01-C,curl,lib/cf-h2-proxy.c,1138,FP,if(want send/recv)/else if(sent_goaway && !shutdown); missing else (fully idle/nothing pending) correctly leaves the pollset untouched with result CURLE_OK,delta_msc01_task535,high
MSC01-C,curl,lib/cf-h2-proxy.c,131,FP,"switch(new_state) mirrors the h1 tunnel state machine and covers every h2_tunnel_state enum value, exhaustive by construction",delta_msc01_task535,high
MSC01-C,curl,lib/cf-h2-proxy.c,1379,FP,if(!result)/else if(result!=CURLE_AGAIN) alive=FALSE; missing else (CURLE_AGAIN) correctly leaves alive at its initialized TRUE value (would-block treated as still alive),delta_msc01_task535,high
MSC01-C,curl,lib/cf-h2-proxy.c,314,FP,"if(!curlx_sztouz(rv,&nread)) error / else if(!nread) break; missing else (nread>0) falls through to skip the consumed bytes, which is correct",delta_msc01_task535,high
MSC01-C,curl,lib/cf-h2-proxy.c,365,FP,"if(result)/else if(nread==0 conn_closed+break); missing else (result==0 && nread>0) falls through to process pending input, which is correct",delta_msc01_task535,high
