rule,idx,project,file,line,verdict,reason,provenance,confidence
ARR00-C,0,sqlite,ext/fts3/fts3.c,338,FP,do-while always writes >=1 byte so q[-1] is within buffer; assert confirms <=FTS3_VARINT_MAX,,high
PRE00-C,1,sqlite,ext/fts3/fts3.c,343,TP,GETVARINT_STEP is a function-like macro that evaluates param v multiple times,,high
PRE01-C,2,sqlite,ext/fts3/fts3.c,343,TP,param v used unparenthesized in (v & mask1)/(v & mask2); precedence hazard for expression args,,high
PRE01-C,3,sqlite,ext/fts3/fts3.c,343,TP,"ptr appears as (*..(ptr++)); param itself not wrapped, *q-style arg would misbehave",,med
PRE01-C,4,sqlite,ext/fts3/fts3.c,343,FP,var used only as lvalue assignment target 'var = v'; no precedence hazard,,high
PRE01-C,5,sqlite,ext/fts3/fts3.c,343,FP,ret used only in 'return ret;' statement context; parens pointless,,high
PRE02-C,6,sqlite,ext/fts3/fts3.c,343,FP,"replacement is a statement list (assign + if), cannot be parenthesized as an expression",,high
PRE10-C,7,sqlite,ext/fts3/fts3.c,343,TP,two statements not wrapped in do-while; breaks in unbraced if,,high
PRE12-C,8,sqlite,ext/fts3/fts3.c,343,TP,v evaluated multiple times in the macro body,,high
PRE00-C,9,sqlite,ext/fts3/fts3.c,346,TP,GETVARINT_INIT function-like macro evaluates v multiple times,,high
PRE01-C,10,sqlite,ext/fts3/fts3.c,346,TP,v unparenthesized in (v & mask2); precedence hazard for expression args,,high
PRE01-C,11,sqlite,ext/fts3/fts3.c,346,TP,"ptr used as (*ptr++); param not wrapped in own parens, *q-style arg misbehaves",,med
PRE01-C,12,sqlite,ext/fts3/fts3.c,346,FP,var used only as lvalue target 'var = v'; no hazard,,high
PRE01-C,13,sqlite,ext/fts3/fts3.c,346,FP,ret used only in 'return ret;'; no hazard,,high
PRE02-C,14,sqlite,ext/fts3/fts3.c,346,FP,replacement is a statement list; cannot parenthesize,,high
PRE10-C,15,sqlite,ext/fts3/fts3.c,346,TP,two statements not wrapped in do-while,,high
PRE12-C,16,sqlite,ext/fts3/fts3.c,346,TP,v evaluated multiple times,,high
API00-C,17,sqlite,ext/fts3/fts3.c,350,FP,sqlite3Fts3GetVarintU is internal FTS3 amalgamation helper; callers pass valid buffer; non-API boundary,,high
API00-C,18,sqlite,ext/fts3/fts3.c,350,FP,param v is out-pointer written by caller-controlled internal callers; not untrusted API boundary,,high
EXP33-C,19,sqlite,ext/fts3/fts3.c,357,FP,GETVARINT_INIT macro assigns a = (*ptr++) before any use,,high
INT14-C,20,sqlite,ext/fts3/fts3.c,363,TP,shift (int) used in arithmetic (shift+=7) and as bitwise shift count at 365,,high
DCL00-C,21,sqlite,ext/fts3/fts3.c,364,TP,"u64 c = *p++ then only read in (c&0x7F); never reassigned, fresh per iteration",,high
INT13-C,22,sqlite,ext/fts3/fts3.c,365,TP,<< with signed int 'shift' as shift count; (c&0x7F)<<shift,,high
INT34-C,23,sqlite,ext/fts3/fts3.c,365,FP,shift bounded by loop counter (28..63 step 7); shifted value masked c&0x7F in u64; standard varint decode,,high
STR00-C,24,sqlite,ext/fts3/fts3.c,365,FP,"'c' is u64 (widened from unsigned char *p), not plain char; mask+nonzero test",,high
STR00-C,25,sqlite,ext/fts3/fts3.c,366,FP,"'c' is u64; (c&0x80)==0 is mask + equality, sign-extension irrelevant",,high
API00-C,26,sqlite,ext/fts3/fts3.c,377,FP,sqlite3Fts3GetVarint is thin wrapper over GetVarintU; internal helper not public API,,high
API00-C,27,sqlite,ext/fts3/fts3.c,377,FP,v out-pointer; internal caller-guaranteed,,high
API00-C,28,sqlite,ext/fts3/fts3.c,387,FP,sqlite3Fts3GetVarintBounded internal varint reader; pEnd bound supplied by trusted callers,,high
API00-C,29,sqlite,ext/fts3/fts3.c,387,FP,v out-pointer; internal helper,,high
INT14-C,30,sqlite,ext/fts3/fts3.c,397,TP,shift (int) used arithmetically (shift+=7) and as shift count at 400,,high
ARR36-C,31,sqlite,ext/fts3/fts3.c,398,FP,p<pX IS the bound check in GetVarintBounded; legitimate comparison of buf vs end,,high
DCL00-C,32,sqlite,ext/fts3/fts3.c,398,TP,u64 c = p<pX?*p:0 then only read; never reassigned,,high
INT13-C,33,sqlite,ext/fts3/fts3.c,400,TP,<< with signed int 'shift' as shift count; (c&0x7F)<<shift,,high
INT34-C,34,sqlite,ext/fts3/fts3.c,400,FP,shift bounded by loop counter (0..63 step 7); masked c&0x7F in u64; bounded varint decode,,high
STR00-C,35,sqlite,ext/fts3/fts3.c,400,FP,'c' is u64 from unsigned char *p; bit op on already-unsigned value,,high
STR00-C,36,sqlite,ext/fts3/fts3.c,401,FP,"'c' is u64; (c&0x80)==0 mask + equality, no sign issue",,high
API00-C,37,sqlite,ext/fts3/fts3.c,411,FP,sqlite3Fts3GetVarint32 internal varint helper; p from trusted FTS3 buffers,,high
API00-C,38,sqlite,ext/fts3/fts3.c,411,FP,pi out-pointer; internal helper,,high
EXP33-C,39,sqlite,ext/fts3/fts3.c,416,FP,GETVARINT_INIT macro assigns a before use (or assert path sets a),,high
EXP07-C,40,sqlite,ext/fts3/fts3.c,426,FP,"intentional varint bit-assembly (*ptr & 0x07)<<28; correctly cast, no defect",,high
INT36-C,41,sqlite,ext/fts3/fts3.c,426,FP,"not a pointer-to-int conversion; (u32)(*ptr&0x07)<<28 is byte arithmetic, misclassified",,high
INT32-C,42,sqlite,ext/fts3/fts3.c,438,FP,i counts varint bytes (max ~10); loop terminates when v>>=7 reaches 0; cannot reach INT_MAX,,high
INT14-C,43,sqlite,ext/fts3/fts3.c,439,FP,v is sqlite3_uint64 (unsigned); 'v>>=7' not a signed operand,,high
API00-C,44,sqlite,ext/fts3/fts3.c,458,FP,sqlite3Fts3Dequote internal in-place dequote; z always valid string from FTS3 parser,,high
INT32-C,45,sqlite,ext/fts3/fts3.c,473,FP,iIn indexes a NUL-terminated dequote string; bounded by string length,,high
INT32-C,46,sqlite,ext/fts3/fts3.c,475,FP,iIn indexes NUL-terminated string; bounded by string length,,high
STR34-C,47,sqlite,ext/fts3/fts3.c,489,FP,*pp passed to varint reader which casts to unsigned char internally; no widening here,,high
EXP33-C,48,sqlite,ext/fts3/fts3.c,490,FP,iVal written by callee sqlite3Fts3GetVarint via &iVal output param before *pVal += iVal,,high
DCL13-C,49,sqlite,ext/fts3/fts3.c,504,TP,pStart only used in comparison p>=pStart; pointed data never modified,,high
INT32-C,50,sqlite,ext/fts3/fts3.c,513,FP,(*pp)-2 is pointer-bounded reverse scan guarded by p>=pStart; not integer overflow,,high
DCL30-C,51,sqlite,ext/fts3/fts3.c,515,FP,*pp=p where p derived from (*pp)-2 walked over caller buffer; writes pointer-into-buffer not addr of local,,high
STR34-C,52,sqlite,ext/fts3/fts3.c,515,FP,"*pp = p is pointer assignment, no char-value widening",,high
EXP33-C,53,sqlite,ext/fts3/fts3.c,518,FP,iVal written by callee sqlite3Fts3GetVarint before *pVal = iVal,,high
MEM30-C,54,sqlite,ext/fts3/fts3.c,543,FP,"tokenizer xDestroy(pTokenizer) is a destructor call, not use-after-free; pTokenizer not freed before this",,high
MEM30-C,55,sqlite,ext/fts3/fts3.c,543,FP,"same call; path-insensitive misfire, no prior free of pTokenizer/pModule",,high
MEM30-C,56,sqlite,ext/fts3/fts3.c,543,FP,same call line; no free of p->pTokenizer reachable before 543,,high
MEM30-C,57,sqlite,ext/fts3/fts3.c,543,FP,duplicate of pTokenizer finding on same destructor call,,high
API00-C,58,sqlite,ext/fts3/fts3.c,552,FP,sqlite3Fts3ErrMsg internal printf-style error setter; pzErr is FTS3-owned out param,,high
STR34-C,59,sqlite,ext/fts3/fts3.c,556,FP,"*pzErr = sqlite3_vmprintf() is char* pointer assignment, not char widening",,high
