rule,idx,project,file,line,verdict,reason,provenance,confidence
ARR02-C,0,sqlite,src/analyze.c,176,FP,aTable[] is a static const sized initializer with ArraySize() used everywhere; explicit bound unneeded and idiom is safe,,high
MEM05-C,1,sqlite,src/analyze.c,189,FP,"aRoot[ArraySize(aTable)] is a fixed compile-time-sized array (ArraySize macro), not a runtime VLA",,high
MEM05-C,2,sqlite,src/analyze.c,190,FP,"aCreateTbl[ArraySize(aTable)] is fixed compile-time-sized array, not a runtime VLA",,high
ARR00-C,3,sqlite,src/analyze.c,200,FP,iDb is a schema index produced internally by SQLite (sqlite3SchemaToIndex/PRAGMA path) and asserted valid; db->aDb[iDb] is an internal invariant not a trust boundary,,high
ARR30-C,4,sqlite,src/analyze.c,200,FP,"same as idx3: iDb bounded by internal schema-index contract, db->aDb[] indexing is safe by invariant",,high
EXP34-C,5,sqlite,src/analyze.c,226,FP,pStat is the result of an assignment-in-condition where the else branch is only entered when pStat!=0; no null deref,,high
INT32-C,6,sqlite,src/analyze.c,247,FP,iStatCur+i with i<nToOpen<=2 are small bounded VDBE cursor numbers; no realistic overflow,,high
MEM30-C,7,sqlite,src/analyze.c,310,FP,"sqlite3DbFree(db,p->u.aRowid) frees aRowid; sqc misreads p->u as the freed object — the live struct field, not a freed pointer, is dereferenced",,high
MEM30-C,8,sqlite,src/analyze.c,321,FP,line321 frees p->u.aRowid only if p->nRowid; sqc reads p->u context member as UAF but it is the arg being read before free,,high
MEM30-C,9,sqlite,src/analyze.c,322,FP,line322 reassigns p->u.aRowid with fresh malloc after the free at 321; not a use-after-free,,high
MEM30-C,10,sqlite,src/analyze.c,322,FP,"db passed to sqlite3DbMallocRawNN is the live connection handle, never freed; sqc misreads free context arg",,high
MEM30-C,11,sqlite,src/analyze.c,323,FP,"p->u.aRowid at 323 is the just-allocated buffer (sqlite3DbMallocRawNN), not freed memory",,high
MEM30-C,12,sqlite,src/analyze.c,323,FP,p->u at 323 is the freshly allocated union member; no UAF,,high
EXP05-C,13,sqlite,src/analyze.c,325,FP,"memcpy dest is non-const u8*; n is int copy size, no const qualifier is being cast away — sqc misfire on size arg",,high
INT31-C,14,sqlite,src/analyze.c,325,FP,"n passed to memcpy comes from sampleSetRowid n arg derived from sqlite3_value_bytes (>=0); value fits size_t, bounded copy",,high
MEM30-C,15,sqlite,src/analyze.c,325,FP,p->u.aRowid at 325 is the just-malloc'd buffer guarded by if(p->u.aRowid); not freed,,high
MEM30-C,16,sqlite,src/analyze.c,325,FP,"same: p->u member at 325 is freshly allocated, not a freed pointer",,high
MEM30-C,17,sqlite,src/analyze.c,337,FP,sampleSetRowidInt64 frees p->u.aRowid (the arg read before free); sqc misreads p->u context as freed object,,high
MEM30-C,18,sqlite,src/analyze.c,339,FP,p->u.iRowid write at 339 is to the union after free; legitimate reinitialization not a UAF,,high
