rule,project,file,line,verdict,reason,provenance,confidence
MSC17-C,mosquitto,lib/handle_publish.c,45,FP,"Grouped case labels (lines 42-47) share one empty body ending in ""break;"" at line 49, so MQTT_PROP_RESPONSE_TOPIC executes nothing before falling into the next label, a standard stacked-case idiom rather than a bug",delta_msc17_task534,high
MSC17-C,mosquitto,lib/loop.c,385,FP,"case mosq_t_ws body (rc = packet__read(mosq); break;) ends with an explicit break at line 387, immediately followed by the #if defined(WITH_WEBSOCKETS)-guarded case mosq_t_http, which the checker appears to misread as a fallthrough",delta_msc17_task534,high
MSC17-C,mosquitto,lib/options.c,389,FP,"MOSQ_OPT_BIND_ADDRESS's body ends in an if/else (lines 391-400) where every branch returns (MOSQ_ERR_SUCCESS or MOSQ_ERR_NOMEM), so control never reaches MOSQ_OPT_HTTP_PATH even though the outer node is an if-statement rather than a literal return",delta_msc17_task534,high
MSC17-C,mosquitto,lib/options.c,402,FP,"MOSQ_OPT_HTTP_PATH's body is a #if/#else block whose #if branch's if/else both return (lines 407-411) and whose #else branch returns MOSQ_ERR_NOT_SUPPORTED (line 416), so both compiled variants terminate before default",delta_msc17_task534,high
MSC17-C,mosquitto,lib/options.c,536,FP,"MOSQ_OPT_SSL_CTX_WITH_DEFAULTS's body is a #if/#else block whose #if branch ends in break (line 543) and whose #else branch returns MOSQ_ERR_NOT_SUPPORTED (line 545); every compiled path terminates the case",delta_msc17_task534,high
MSC17-C,mosquitto,lib/options.c,548,FP,"MOSQ_OPT_TLS_USE_OS_CERTS's body is a #if/#else block ending in break (line 555) or return MOSQ_ERR_NOT_SUPPORTED (line 557); every compiled path terminates the case",delta_msc17_task534,high
MSC17-C,mosquitto,lib/options.c,612,FP,"MOSQ_OPT_SSL_CTX's body in mosquitto_void_option is a #ifdef/#else block ending in break (line 618) or return MOSQ_ERR_NOT_SUPPORTED (line 621); every compiled path terminates the case",delta_msc17_task534,high
MSC17-C,mosquitto,src/logging.c,303,FP,"MOSQ_LOG_INFO's body ends in an explicit break at line 310, immediately followed by the #if defined(WITH_WEBSOCKETS)-guarded case MOSQ_LOG_WEBSOCKETS at line 312; identical unflagged cases above it (lines 255-302) confirm the break is what actually terminates it",delta_msc17_task534,high
MSC17-C,mosquitto,src/mux_epoll.c,273,FP,"case mosq_t_ws's body ends in break at line 275, immediately followed by the #if defined(WITH_WEBSOCKETS)-guarded case mosq_t_http at line 277",delta_msc17_task534,high
MSC17-C,mosquitto,src/mux_kqueue.c,291,FP,"case mosq_t_ws's body ends in break at line 293, immediately followed by the #if defined(WITH_WEBSOCKETS)-guarded case mosq_t_http at line 295",delta_msc17_task534,high
MSC17-C,mosquitto,src/net.c,222,FP,"case mp_mqtt's body ends in break at line 224, immediately followed by the #if defined(WITH_WEBSOCKETS)-guarded case mp_websockets at line 226",delta_msc17_task534,high
MSC17-C,mosquitto,src/read_handle.c,81,FP,"case CMD_UNSUBSCRIBE's body ends in break at line 84, immediately followed by the #ifdef WITH_BRIDGE-guarded case CMD_CONNACK at line 86",delta_msc17_task534,high
MSC17-C,mosquitto,src/service.c,70,FP,"SERVICE_CONTROL_SHUTDOWN has only a comment (""System is shutting down."") and no statements before falling into SERVICE_CONTROL_STOP, which holds the real body and a shared break at line 77 - a standard empty-label grouping",delta_msc17_task534,high
MSC17-C,mosquitto,src/websockets.c,540,FP,"LWS_CALLBACK_FILTER_HTTP_CONNECTION's body ends in return 0 at line 542, immediately followed by the #if LWS_LIBRARY_VERSION_NUMBER>=3001000-guarded case LWS_CALLBACK_HTTP_CONFIRM_UPGRADE at line 545",delta_msc17_task534,high
MSC17-C,mosquitto,src/websockets.c,634,FP,"LWS_CALLBACK_CHANGE_MODE_POLL_FD's body ends in break at line 645, immediately followed by the #ifdef WITH_TLS-guarded case LWS_CALLBACK_OPENSSL_PERFORM_CLIENT_CERT_VERIFICATION at line 648",delta_msc17_task534,high
