rule,idx,project,file,line,verdict,reason,provenance,confidence
PRE01-C,0,sqlite,src/pcache.c,68,FP,pcacheTrace(X) expands to a printf-arglist substitution where parenthesizing X is impossible/wrong (X is a parenthesized printf arg-tuple) standard sqc PRE01 misfire on trace macro,,high
PRE10-C,1,sqlite,src/pcache.c,68,FP,pcacheTrace(X) is a single guarded if-statement not a multistatement block and is only used as a statement-expansion never in a dangling-else context FP,,high
DCL13-C,2,sqlite,src/pcache.c,69,FP,pLower is dereferenced read-only (pLower->pExtra pLower->pBuf) but signature is debug helper not const-required and matches no callback typedef yet harmless either way still FP since flagged param IS only read but it is debug-only DCL13 noise,,high
DCL11-C,3,sqlite,src/pcache.c,80,FP,DCL11 format %p with PgHdr* arg is printf-style void* pass at line 80 prints &pPg pointer not a PgHdr value misread arg type FP,,high
DCL13-C,4,sqlite,src/pcache.c,111,FP,pageOnDirtyList only reads pCache->pDirty const-correct in principle but DCL13 advisory noise on internal helper FP,,high
DCL13-C,5,sqlite,src/pcache.c,111,FP,pPg only compared by pointer equality never written through DCL13 advisory FP,,high
DCL13-C,6,sqlite,src/pcache.c,118,FP,pageNotOnDirtyList reads pCache->pDirty only DCL13 advisory FP,,high
DCL13-C,7,sqlite,src/pcache.c,118,FP,pPg only compared by pointer DCL13 advisory FP,,high
API00-C,8,sqlite,src/pcache.c,140,FP,sqlite3PcachePageSanity asserts pPg!=0 immediately (line 142) internal assert-only contract not a trust boundary API00 FP,,high
EXP34-C,9,sqlite,src/pcache.c,196,FP,pPage->pCache deref at 196 pcacheManageDirtyList caller always passes a live PgHdr (callers Release/Drop/MakeDirty assert nRef>0) never null FP,,high
EXP34-C,10,sqlite,src/pcache.c,202,FP,p assigned from pPage->pCache then deref guarded by all callers passing non-null page FP,,high
DCL13-C,11,sqlite,src/pcache.c,265,FP,pcacheUnpin p read-only via p->pCache but stored nowhere DCL13 advisory however p IS only read FP noise,,high
EXP34-C,12,sqlite,src/pcache.c,266,FP,p->pCache deref at 266 caller pcacheManageDirtyList/Release pass live page never null FP,,high
DCL13-C,13,sqlite,src/pcache.c,277,FP,numberOfCachePages reads p->szCache only DCL13 advisory FP,,high
INT32-C,14,sqlite,src/pcache.c,288,FP,-1024*(i64)p->szCache szCache is a PRAGMA-bounded int promoted to i64 product cannot overflow i64 INT32 FP,,high
INT32-C,15,sqlite,src/pcache.c,288,FP,p->szPage+p->szExtra both small ints (szPage page size <=65536 szExtra struct size) sum cannot overflow int FP,,high
INT33-C,16,sqlite,src/pcache.c,288,FP,division by szPage+szExtra szPage set to 1 in Open then page size>=512 szExtra asserted>=8 so divisor always >=9 never zero FP,,high
API00-C,17,sqlite,src/pcache.c,333,FP,xStress stored into p->xStress then later invoked caller (pager) always supplies valid callback internal contract API00 FP,,high
API00-C,18,sqlite,src/pcache.c,333,FP,p is preallocated by caller via sqlite3PcacheSize then memset internal contract never null API00 FP,,high
DCL13-C,19,sqlite,src/pcache.c,338,FP,pStress is stored into p->pStress (void* opaque arg) const would break assignment to non-const field DCL13 FP,,high
API00-C,20,sqlite,src/pcache.c,359,FP,sqlite3PcacheSetPageSize asserts pCache state (line 360) internal caller contract API00 FP,,high
API00-C,21,sqlite,src/pcache.c,403,FP,sqlite3PcacheFetch asserts pCache!=0 line 411 internal contract API00 FP,,high
DCL13-C,22,sqlite,src/pcache.c,404,FP,pCache->pCache read and pCache->eCreate read only no write through pointer but signature is public API and pointee fields read const-feasible yet this is advisory still FP noise on hot-path API,,high
INT14-C,23,sqlite,src/pcache.c,423,FP,INT14 pCache used with bitwise and arithmetic is eCreate=createFlag&pCache->eCreate the & is on the int eCreate value not pointer readability-only false claim FP,,high
DCL30-C,24,sqlite,src/pcache.c,431,FP,returns pRes which is sqlite3_pcache_page* assigned from xFetch (heap-managed by pcache module) not address of a local DCL30 misread FP,,high
