rule,idx,project,file,line,verdict,reason,provenance,confidence
ARR01-C,1,sqlite,ext/misc/dbdump.c,79,FP,sizeof(*p) in initText memset is sizeof(DText struct) not a decayed pointer; sqc misread the param as array,b14-adjudicator,high
STR34-C,2,sqlite,ext/misc/dbdump.c,97,FP,zAppend bytes are copied not used as integer index or arithmetic operand so sign extension is harmless here,b14-adjudicator,high
INT32-C,3,sqlite,ext/misc/dbdump.c,99,FP,len is int but addends are int64 (p->n) computed in 64-bit; values bounded by masked nAppend<=0x3fffffff and small p->n in practice,b14-adjudicator,med
INT32-C,4,sqlite,ext/misc/dbdump.c,99,FP,same int64 arithmetic into int len; not attacker-exploitable since strlen masked to 0x3fffffff and nAlloc growth reallocs before overflow matters,b14-adjudicator,med
INT32-C,5,sqlite,ext/misc/dbdump.c,101,FP,len+=2 plus per-quote ++len bounded by nAppend<=0x3fffffff; cannot overflow int,b14-adjudicator,high
INT32-C,6,sqlite,ext/misc/dbdump.c,109,FP,"nAlloc is sqlite3_int64 so nAlloc*2+len+20 is 64-bit arithmetic, no int overflow; realloc64 returns 0 on failure",b14-adjudicator,med
INT32-C,7,sqlite,ext/misc/dbdump.c,109,FP,"nAlloc int64 arithmetic; 64-bit, bounded growth, OOM handled by freeText",b14-adjudicator,med
INT32-C,8,sqlite,ext/misc/dbdump.c,109,FP,"nAlloc is sqlite3_int64; nAlloc*2 is 64-bit multiply, not signed-int overflow",b14-adjudicator,med
STR34-C,9,sqlite,ext/misc/dbdump.c,120,FP,*zCsr++ = quote writes a char value; no integer promotion/sign-extension semantic issue on store,b14-adjudicator,high
STR34-C,10,sqlite,ext/misc/dbdump.c,122,FP,*zCsr++ = zAppend[i] is byte copy char-to-char; sign extension irrelevant to copy,b14-adjudicator,high
STR34-C,11,sqlite,ext/misc/dbdump.c,123,FP,conditional quote-doubling store of char; no integer use of the value,b14-adjudicator,high
STR34-C,12,sqlite,ext/misc/dbdump.c,125,FP,*zCsr++ = quote char store; no sign-extension defect,b14-adjudicator,high
STR34-C,13,sqlite,ext/misc/dbdump.c,127,FP,"*zCsr terminator store; char assignment, no integer promotion bug",b14-adjudicator,high
INT32-C,14,sqlite,ext/misc/dbdump.c,130,FP,p->n is int64 and nAppend masked to <=0x3fffffff; 64-bit add cannot overflow int,b14-adjudicator,high
EXP34-C,15,sqlite,ext/misc/dbdump.c,158,FP,azCol is realloc'd before first index (nCol>=nAlloc-2 with nAlloc=0 forces realloc on entry); if realloc fails goto col_oom returns,b14-adjudicator,high
EXP34-C,16,sqlite,ext/misc/dbdump.c,194,FP,pStmt set by prepare_v2 and rc checked (if(rc) return 0) before sqlite3_step; non-null on success path,b14-adjudicator,high
INT32-C,17,sqlite,ext/misc/dbdump.c,197,FP,"nAlloc is sqlite3_int64; addition is 64-bit, bounded by column count, not int overflow",b14-adjudicator,med
INT32-C,18,sqlite,ext/misc/dbdump.c,197,FP,nAlloc int64 arithmetic; 64-bit,b14-adjudicator,med
INT32-C,19,sqlite,ext/misc/dbdump.c,197,FP,nAlloc*2 is int64 multiply not int; column counts tiny in practice,b14-adjudicator,med
EXP34-C,20,sqlite,ext/misc/dbdump.c,198,FP,"azCol index guarded: realloc-on-entry guarantees allocation, azNew==0 goes to col_oom before any index",b14-adjudicator,high
