rule,project,file,line,verdict,reason,provenance,confidence
MEM31-C,curl,lib/urlapi.c,590,FP,urldecode_host: 'result' is CURLcode (Curl_urldecode returns CURLcode); status-typed local misattributed as pointer alloc,delta_mem31_task420,high
MEM31-C,curl,lib/urlapi.c,601,FP,"urldecode_host line 601 return: same CURLcode 'result', not a pointer; decoded buf freed via curlx_free at line 596 before this return",delta_mem31_task420,high
MEM31-C,curl,lib/urlapi.c,1367,FP,urlget_format: 'part' (curlx_memdup0) is freed via curlx_free before every reassignment/error return and transferred to *partp on success (line 1421),delta_mem31_task420,high
MEM31-C,curl,lib/urlapi.c,1385,FP,"urlget_format: 'res' is CURLcode from Curl_urldecode; status-typed local, scoped to the urldecode if-block only",delta_mem31_task420,high
MEM31-C,curl,lib/urlapi.c,1422,FP,"line 1422 is the function's final 'return CURLUE_OK;', outside 'res' scope (declared/used only lines 1381-1390); real alloc 'decoded'/'part' already freed/transferred",delta_mem31_task420,high
MEM31-C,curl,lib/urlapi.c,1980,FP,'result' at line 1980 is CURLcode from Curl_urldecode inside an if/else-if block; status-typed local,delta_mem31_task420,high
MEM31-C,curl,lib/urlapi.c,1989,FP,line 1989 return CURLUE_BAD_HOSTNAME is inside the same status-typed-local block; 'decoded' is freed via curlx_free(decoded) at line 1983 right before this return,delta_mem31_task420,high
MEM31-C,curl,lib/urlapi.c,1997,FP,"line 1997 is the function's final return, 'result' is CURLcode out of scope; 'decoded' already freed at 1983 on that path or never allocated on others",delta_mem31_task420,high
MEM31-C,curl,lib/vauth/cram.c,59,FP,"Curl_HMAC_final(ctxt, digest) at cram.c:71 frees ctxt internally (hmac.c:121 curlx_free(ctxt)); free-pairing API, no leak",delta_mem31_task420,high
MEM31-C,curl,lib/vauth/digest.c,388,FP,"Curl_MD5_final(ctxt, digest) at digest.c:400 frees ctxt internally (md5.c:601-602); free-pairing API, no leak",delta_mem31_task420,high
MEM31-C,curl,lib/vauth/digest.c,402,FP,"Curl_MD5_final(ctxt, digest) at digest.c:413 frees ctxt internally (md5.c:601-602); free-pairing API, no leak",delta_mem31_task420,high
MEM31-C,curl,lib/vauth/digest.c,425,FP,"Curl_MD5_final(ctxt, digest) at digest.c:437 frees ctxt internally (md5.c:601-602); free-pairing API, no leak",delta_mem31_task420,high
MEM31-C,curl,lib/vauth/digest.c,443,FP,"Curl_MD5_final(ctxt, digest) at digest.c:467 frees ctxt internally (md5.c:601-602); free-pairing API, no leak",delta_mem31_task420,high
