rule,idx,project,file,line,verdict,reason,provenance,confidence
API02-C,0,sqlite,src/update.c,19,FP,updateVirtualTable is a fixed-signature internal codegen helper taking typed pointers not an array+size buffer; API02 size-param advice is inapplicable,,high
ARR00-C,1,sqlite,src/update.c,65,FP,line 65 pCol=&pTab->aCol[i] guarded by assert(pTab->nCol>i) at line 64; i is a validated column index,,high
EXP30-C,2,sqlite,src/update.c,72,FP,"sqlite3ValueFromExpr args (sqlite3VdbeDb(v), sqlite3ColumnExpr(...)) are independent calls with no shared mutable state crossing a sequence point",,high
DCL13-C,3,sqlite,src/update.c,98,TP,pIdx in indexColumnIsBeingUpdated is only read (aiColumn/aColExpr) and not passed to an Index*-taking callee so const would compile,,low
ARR00-C,4,sqlite,src/update.c,103,FP,pIdx->aiColumn[iCol] iCol is index-column ordinal bounded by caller loop i<pIdx->nKeyCol/nColumn plus assert invariants,,high
ARR30-C,5,sqlite,src/update.c,103,FP,same as idx4 iCol is a bounded index-column ordinal not attacker-controlled,,high
ARR00-C,6,sqlite,src/update.c,110,FP,line 110 aColExpr->a[iCol] bounded by index nColumn invariant guarded by assert(pIdx->aColExpr!=0),,high
ARR30-C,7,sqlite,src/update.c,110,FP,same bounded index-column ordinal as idx6,,high
ARR00-C,8,sqlite,src/update.c,111,FP,line 111 same aColExpr->a[iCol] read bounded by index column count,,high
ARR30-C,9,sqlite,src/update.c,111,FP,same bounded index-column ordinal,,high
DCL13-C,10,sqlite,src/update.c,128,TP,pIdx in indexWhereClauseMightChange only reads pPartIdxWhere and is not passed to an Index*-taking callee so const compiles,,low
INT32-C,11,sqlite,src/update.c,145,FP,iCol+1 stores into Expr.iColumn a column ordinal bounded by table column count far below INT_MAX,,high
DCL30-C,12,sqlite,src/update.c,146,FP,pRet is an Expr* returned by sqlite3PExpr (heap allocation) not the address of a local automatic object,,high
DCL13-C,13,sqlite,src/update.c,190,TP,pPk in updateFromSelect only read (nKeyCol/aiColumn) and not passed to an Index*-taking callee so const compiles,,low
DCL13-C,14,sqlite,src/update.c,191,FP,pChanges entries are read but the ExprList is iterated and dup'd by value; signature stylistically uniform with sqlite3Update API contract const adds little and pChanges semantics are owned/consumed elsewhere,,med
