rule,project,file,line,verdict,reason,provenance,confidence
ERR33-C,hostap,src/utils/eloop.c,189,TP,"signal(SIGSEGV, eloop_sigsegv_handler) is called with no check of its return value (SIG_ERR) anywhere in eloop_init, and the return is not provably safe since signal() can genuinely fail on some platforms.",delta_err33_task544,medium
MEM30-C,hostap,hostapd/main.c,920,FP,"bss_config is reassigned from tmp_bss (fresh os_realloc_array result) at line 925 before the next loop iteration reaches line 920 again, so it is never a stale/freed pointer at the point of use.",delta_mem30_task544,high
MEM30-C,hostap,src/ap/ieee802_11_eht.c,1644,FP,"The only ap_free_sta(lhapd, lsta) call in this function is on the distinct lsta variable inside the early-return !ok branch (goto exit); the flagged sta parameter is never freed and the code at line 1644 is on the mutually-exclusive ok-path.",delta_mem30_task544,high
MEM30-C,hostap,src/ap/wpa_auth_ft.c,2637,FP,"os_free(subelem) here is in the IGTK-subelement-realloc-failure branch which returns NULL immediately; it is one of several mutually-exclusive error-path frees of subelem, not a real double-free on any single path.",delta_mem30_task544,high
MEM30-C,hostap,src/ap/wpa_auth_ft.c,2660,FP,os_free(subelem) here is in the BIGTK-subelement-realloc-failure branch which returns NULL immediately; mutually exclusive with the other os_free(subelem) sites in this function.,delta_mem30_task544,high
MEM30-C,hostap,src/ap/wpa_auth_ft.c,2693,FP,os_free(subelem) here is in the OCV channel-info-failure branch which returns NULL immediately; mutually exclusive with the other os_free(subelem) sites in this function.,delta_mem30_task544,high
MEM30-C,hostap,src/common/wpa_common.c,3418,FP,"This os_free(buf) at the end of wpa_parse_cipher is only reached on the normal loop-exit path; the other os_free(buf) inside the loop (unrecognized cipher token) returns -1 immediately, so the two frees are on mutually exclusive paths.",delta_mem30_task544,high
MEM30-C,hostap,src/crypto/crypto_openssl.c,5063,FP,"hctx is freed and reassigned to a fresh EVP_MAC_CTX_new(hmac) each loop iteration (lines 5007-5011) before the loop body uses it again; the final EVP_MAC_CTX_free(hctx) at the fail: label operates on either the last freshly-allocated ctx or NULL, not a stale pointer.",delta_mem30_task544,high
MEM30-C,hostap,src/drivers/driver_ndis.c,802,FP,"Line 802 is the realloc-failure branch (nr == NULL); os_realloc does not free the original pointer on failure, so r is still valid and returning it is correct, not a use-after-free.",delta_mem30_task544,high
MEM30-C,hostap,src/drivers/driver_nl80211_capa.c,2320,FP,Only modes[m].channels/modes[m].rates (struct members of individual array elements) are freed earlier in the cleanup loop; the modes array pointer itself is never freed before being passed to os_realloc_array at line 2320.,delta_mem30_task544,high
MEM30-C,hostap,src/drivers/driver_wext.c,1086,FP,"The only earlier os_free(res_buf) in the loop (line 1069) is immediately followed by res_buf = NULL and a fresh os_malloc on the next iteration before the loop can break; by the time line 1086 executes, res_buf holds an unfreed, freshly allocated buffer.",delta_mem30_task544,high
MEM30-C,hostap,src/drivers/driver_wext.c,1091,FP,"Line 1091 is only reached when the length check at line 1085 is false, i.e. the os_free(res_buf) on line 1086 (which returns immediately) was not executed on this path, so res_buf is still valid.",delta_mem30_task544,high
MEM30-C,hostap,src/eap_peer/eap_sim.c,137,FP,"Each os_free(data) call in this function (including line 137) is in its own independent early-return error branch; none are reachable twice on the same execution path, so there is no real double-free/use-after-free.",delta_mem30_task544,high
MEM30-C,hostap,src/eap_peer/eap_tls_common.c,1139,FP,os_free(methods) at line 1134 is in the unsupported-method branch which returns -1 immediately; the realloc call at line 1139 is in the mutually-exclusive else branch and never executes after methods was freed.,delta_mem30_task544,high
MEM30-C,hostap,src/eap_server/eap_server_aka.c,465,FP,data->next_pseudonym and data->next_reauth_id are freed at lines 435/449 but every branch of the following if/else-if/else chains (438-462) unconditionally reassigns them (to NULL or a fresh string) before this check at line 465.,delta_mem30_task544,high
MEM30-C,hostap,src/eap_server/eap_server_aka.c,484,FP,data->next_pseudonym was freed at line 435 but reassigned in all three branches (438-447) before this read at line 484.,delta_mem30_task544,high
MEM30-C,hostap,src/eap_server/eap_server_aka.c,486,FP,Same as line 484: data->next_pseudonym is reassigned in all branches before this use.,delta_mem30_task544,high
MEM30-C,hostap,src/eap_server/eap_server_aka.c,488,FP,Same as line 484: data->next_pseudonym is reassigned in all branches before this use.,delta_mem30_task544,high
MEM30-C,hostap,src/eap_server/eap_server_aka.c,489,FP,Same as line 484: data->next_pseudonym is reassigned in all branches before this use.,delta_mem30_task544,high
MEM30-C,hostap,src/eap_server/eap_server_aka.c,490,FP,Same as line 484: data->next_pseudonym is reassigned in all branches before this use.,delta_mem30_task544,high
MEM30-C,hostap,src/eap_server/eap_server_aka.c,493,FP,data->next_reauth_id was freed at line 449 but reassigned in all three branches (452-462) before this read at line 493.,delta_mem30_task544,high
MEM30-C,hostap,src/eap_server/eap_server_aka.c,495,FP,Same as line 493: data->next_reauth_id is reassigned in all branches before this use.,delta_mem30_task544,high
MEM30-C,hostap,src/eap_server/eap_server_aka.c,497,FP,Same as line 493: data->next_reauth_id is reassigned in all branches before this use.,delta_mem30_task544,high
MEM30-C,hostap,src/eap_server/eap_server_aka.c,498,FP,Same as line 493: data->next_reauth_id is reassigned in all branches before this use.,delta_mem30_task544,high
MEM30-C,hostap,src/eap_server/eap_server_aka.c,499,FP,Same as line 493: data->next_reauth_id is reassigned in all branches before this use.,delta_mem30_task544,high
MEM30-C,hostap,src/eap_server/eap_server_sim.c,196,FP,data->next_pseudonym is freed at line 170 but unconditionally reassigned (NULL or fresh string) in all branches of the following if/else-if/else (173-180) before this check at line 196.,delta_mem30_task544,high
MEM30-C,hostap,src/eap_server/eap_server_sim.c,215,FP,data->next_pseudonym is reassigned in all branches (173-180) before this use.,delta_mem30_task544,high
MEM30-C,hostap,src/eap_server/eap_server_sim.c,217,FP,Same as line 215: data->next_pseudonym is reassigned before this use.,delta_mem30_task544,high
MEM30-C,hostap,src/eap_server/eap_server_sim.c,219,FP,Same as line 215: data->next_pseudonym is reassigned before this use.,delta_mem30_task544,high
MEM30-C,hostap,src/eap_server/eap_server_sim.c,220,FP,Same as line 215: data->next_pseudonym is reassigned before this use.,delta_mem30_task544,high
MEM30-C,hostap,src/eap_server/eap_server_sim.c,221,FP,Same as line 215: data->next_pseudonym is reassigned before this use.,delta_mem30_task544,high
MEM30-C,hostap,src/eap_server/eap_server_sim.c,224,FP,data->next_reauth_id is reassigned in all branches (185-193) before this use.,delta_mem30_task544,high
MEM30-C,hostap,src/eap_server/eap_server_sim.c,226,FP,Same as line 224: data->next_reauth_id is reassigned before this use.,delta_mem30_task544,high
MEM30-C,hostap,src/eap_server/eap_server_sim.c,228,FP,Same as line 224: data->next_reauth_id is reassigned before this use.,delta_mem30_task544,high
MEM30-C,hostap,src/eap_server/eap_server_sim.c,229,FP,Same as line 224: data->next_reauth_id is reassigned before this use.,delta_mem30_task544,high
MEM30-C,hostap,src/eap_server/eap_server_sim.c,230,FP,Same as line 224: data->next_reauth_id is reassigned before this use.,delta_mem30_task544,high
MEM30-C,hostap,src/rsn_supp/preauth.c,236,FP,"eapol_sm_init() only frees its own internally-allocated sm struct on failure, not the caller-owned ctx it was passed; the single os_free(ctx) at line 236 in the failure branch is the only free of ctx in this function, so there is no double-free.",delta_mem30_task544,high
MEM30-C,hostap,src/rsn_supp/tdls.c,2650,FP,"wpa_tdls_disable_peer_link (which frees peer via wpa_tdls_peer_free) is called exactly once on the error_no_msg path in this function; the earlier del_key/disable_peer_link calls in this function are on distinct, mutually exclusive early-return branches that already return before reaching this code.",delta_mem30_task544,medium
MEM30-C,hostap,src/rsn_supp/wpa_ft.c,335,FP,"os_free(buf) at line 335 (mdie_len<=0 branch) is one of several mutually-exclusive error-path frees of buf in this function, each followed by an immediate return NULL.",delta_mem30_task544,high
