rule,idx,project,file,line,verdict,reason,provenance,confidence
WIN04-C,0,sqlite,src/util.c,45,FP,xTestCallback is sqlite3GlobalConfig field; WIN04 EncodePointer is Windows-only mitigation not a CERT-C defect for a function pointer load,,high
DCL13-C,1,sqlite,src/util.c,104,FP,"pCol passed to strlen and field reads only but signature is fixed by callers using non-const Column; const not idiomatic here and pCol->zCnName etc not written, low value misfire",,med
DCL13-C,2,sqlite,src/util.c,104,TP,zDflt is only returned unchanged never written through; const char* would compile and is correct,,low
EXP34-C,3,sqlite,src/util.c,105,FP,pCol guaranteed non-null by all callers (build/select/pragma) reading a Column; internal contract not a trust boundary,,high
INT14-C,4,sqlite,src/util.c,105,FP,colFlags bitwise test and eCType-1 arithmetic on distinct members is normal field access not a real INT14 readability defect,,high
INT30-C,5,sqlite,src/util.c,109,FP,eCType branch entered only when eCType!=0 and asserted <=SQLITE_N_STDTYPE so eCType-1 is in-range index never wraps,,high
API00-C,6,sqlite,src/util.c,144,FP,db non-null guaranteed by assert(db!=0) at line 145 and internal callers,,high
ARR00-C,7,sqlite,src/util.c,162,FP,ii is the for-loop induction var initialized at line 162 for(ii=0;...); not uninitialized,,high
API00-C,8,sqlite,src/util.c,192,FP,db non-null guaranteed by assert(db!=0) line 193 and internal contract,,high
API00-C,9,sqlite,src/util.c,211,FP,p (Parse*) non-null by internal caller contract; p->db dereferenced under that invariant,,high
INT32-C,10,sqlite,src/util.c,214,FP,"p->nErr is a bounded parse error counter; aborts long before INT_MAX, intended counter",,high
INT32-C,11,sqlite,src/util.c,223,FP,"same nErr bounded parse error counter, no realistic overflow",,high
API00-C,12,sqlite,src/util.c,242,FP,pParse non-null by internal contract; asserted db!=0 follows,,high
MEM30-C,13,sqlite,src/util.c,255,FP,"MEM30 misfire: sqlite3DbFree(db,zMsg) frees zMsg not db; db is the live handle read first as context arg",,high
INT32-C,14,sqlite,src/util.c,256,FP,"pParse->nErr bounded parse error counter, no overflow",,high
MEM30-C,15,sqlite,src/util.c,256,FP,"MEM30 misfire: pParse not freed; sqlite3DbFree frees zErrMsg, pParse stays live",,high
INT32-C,16,sqlite,src/util.c,260,FP,pParse->nErr bounded counter,,high
DCL13-C,17,sqlite,src/util.c,273,FP,"db is read (db->pParse) only not written; but DCL13 const on sqlite3* internal handle is non-idiomatic, still pointee not mutated here so technically const-able",,med
INT32-C,18,sqlite,src/util.c,277,FP,pParse->nErr bounded counter,,high
ARR37-C,19,sqlite,src/util.c,302,FP,"ARR37 misfire: z is char* string buffer, z[0] is normal indexed string access guarded by z==0 check line 301",,high
ARR37-C,20,sqlite,src/util.c,306,FP,z[i] normal string traversal with assert(z[i]) loop invariant,,high
ARR37-C,21,sqlite,src/util.c,307,FP,"z[i] same dequote string scan, in-bounds by zero-terminator invariant",,high
ARR37-C,22,sqlite,src/util.c,308,FP,z[i+1] read only after z[i]==quote so i+1 is within the terminated string,,high
ARR37-C,23,sqlite,src/util.c,309,FP,"z[j++] write index j<=i always (compaction in place), bounded",,high
ARR37-C,24,sqlite,src/util.c,315,FP,"z[j++] in-place compaction, j never exceeds i",,high
ARR37-C,25,sqlite,src/util.c,315,FP,"z[i] string read, bounded by terminator",,high
ARR37-C,26,sqlite,src/util.c,318,FP,"z[j]=0 final terminator write, j<=i in-bounds",,high
API00-C,27,sqlite,src/util.c,320,FP,p (Expr*) non-null by asserts at 321-322 and caller contract,,high
API00-C,28,sqlite,src/util.c,332,FP,pParse used only via sqlite3ErrorMsg under malloc-fail assert; non-null by contract,,high
API00-C,29,sqlite,src/util.c,332,FP,p may be null but guarded: assert at 333 and if(p) at 334 gate all p uses,,med
STR34-C,30,sqlite,src/util.c,337,FP,STR34 misfire: pIn[0]/pIn[1] compared to ASCII literals 'x'/'X'/'0'; equality compare no sign-extension hazard,,high
STR34-C,31,sqlite,src/util.c,337,FP,"same char literal equality compare, no integer promotion bug",,high
STR34-C,32,sqlite,src/util.c,337,FP,"same, comparing against '0'/'x' literals safely",,high
MEM33-C,33,sqlite,src/util.c,343,FP,MEM33 misfire: *pOut++ = *pIn is single-char copy not a flexible-array struct assignment,,high
STR34-C,34,sqlite,src/util.c,343,FP,"*pOut++ = *pIn char copy into same buffer; value-preserving in-place dequote, no sign-extension defect",,high
STR34-C,35,sqlite,src/util.c,343,FP,"*pIn assigned to char *pOut, plain copy, no widening",,high
STR34-C,36,sqlite,src/util.c,343,FP,"same char-to-char copy, no sign extension",,high
ARR00-C,37,sqlite,src/util.c,346,FP,pIn[-1] is valid: loop guarantees pIn has advanced past at least the first char (separator never first per number-token grammar),,high
ARR00-C,38,sqlite,src/util.c,347,FP,"pIn[-1]/pIn[1] reads bounded; quoted-number token grammar ensures separators are interior, prior digit exists",,high
API00-C,39,sqlite,src/util.c,390,FP,p (Token*) non-null by caller contract,,high
API00-C,40,sqlite,src/util.c,390,FP,z passed to sqlite3Strlen30 which itself null-checks; non-null by contract anyway,,high
API00-C,41,sqlite,src/util.c,408,FP,zRight handled: function explicitly checks zLeft==0 then calls StrICmp; zRight null handled in stricmp branch,,high
API00-C,42,sqlite,src/util.c,416,FP,"zLeft cast to unsigned char* and walked to NUL; callers pass valid C strings, internal contract",,high
API00-C,43,sqlite,src/util.c,416,FP,"zRight same, valid C string by contract",,high
CON07-C,44,sqlite,src/util.c,416,FP,"CON07 misfire: a,x are local autos in sqlite3StrICmp not shared statics; no concurrency issue",,high
EXP05-C,45,sqlite,src/util.c,419,FP,"EXP05: (unsigned char*)zLeft casts away const to read bytes only; never written, idiomatic signed/unsigned reinterpret",,high
EXP05-C,46,sqlite,src/util.c,420,FP,same const-cast for read-only byte access of zRight,,high
INT32-C,47,sqlite,src/util.c,427,FP,"UpperToLower[] entries are 0..255 u8; difference fits int easily, no overflow",,high
API00-C,48,sqlite,src/util.c,435,FP,zRight null handled by explicit zRight==0 branch line 439,,high
API00-C,49,sqlite,src/util.c,435,FP,"N is a length count; N-- guarded by N-->0 test, no overflow on int loop counter",,high
CON07-C,50,sqlite,src/util.c,435,FP,CON07 misfire: a is local register var not shared static,,high
EXP05-C,51,sqlite,src/util.c,442,FP,EXP05 const-cast read-only byte access zLeft,,high
EXP05-C,52,sqlite,src/util.c,443,FP,EXP05 const-cast read-only byte access zRight,,high
INT32-C,53,sqlite,src/util.c,444,FP,N-- in while(N-->0) decrements a small length count toward 0; INT_MIN underflow unreachable for valid lengths,,high
DCL00-C,54,sqlite,src/util.c,452,FP,"h is mutated: h += UpperToLower[...] in the loop at 455, so it is NOT init-and-never-modified; DCL00 misfire",,med
