rule,idx,project,file,line,verdict,reason,provenance,confidence
API00-C,1,sqlite,ext/fts3/tool/fts3view.c,33,FP,findOption is fed nExtra/azExtra derived from argv which is non-null by C runtime contract; no deref of an unvalidated arg,b14-adjudicator,high
DCL15-C,2,sqlite,ext/fts3/tool/fts3view.c,33,TP,findOption has external linkage but is only used in this file so it should be static,b14-adjudicator,med
INT32-C,3,sqlite,ext/fts3/tool/fts3view.c,42,FP,i and j are tiny loop indices bounded by nExtra (argc) so i+j cannot overflow int,b14-adjudicator,high
INT32-C,4,sqlite,ext/fts3/tool/fts3view.c,44,FP,i+j+1 bounded by argc-derived nExtra cannot overflow int,b14-adjudicator,high
INT32-C,5,sqlite,ext/fts3/tool/fts3view.c,44,FP,i+j bounded by argc-derived nExtra cannot overflow int,b14-adjudicator,high
DCL30-C,6,sqlite,ext/fts3/tool/fts3view.c,50,FP,zResult is assigned from azExtra/zDefault pointers not a local buffer so no dangling return,b14-adjudicator,high
FIO23-C,7,sqlite,ext/fts3/tool/fts3view.c,50,FP,this is line 50 of findOption not main and concerns no stdout flush,b14-adjudicator,high
ERR05-C,8,sqlite,ext/fts3/tool/fts3view.c,69,FP,prepare is an internal helper of a standalone debug tool where exit-on-error is the intended design,b14-adjudicator,high
DCL30-C,9,sqlite,ext/fts3/tool/fts3view.c,72,FP,pStmt is a sqlite3_stmt* returned by value (a heap handle) not the address of a local,b14-adjudicator,high
API00-C,10,sqlite,ext/fts3/tool/fts3view.c,137,FP,getVarint p comes from caller-owned blob pointers always non-null in practice,b14-adjudicator,high
DCL15-C,11,sqlite,ext/fts3/tool/fts3view.c,137,TP,getVarint has external linkage but is only used in this file so should be static,b14-adjudicator,med
DCL19-C,12,sqlite,ext/fts3/tool/fts3view.c,137,TP,getVarint is file-local only and should be declared static to minimize scope,b14-adjudicator,med
EXP05-C,13,sqlite,ext/fts3/tool/fts3view.c,140,FP,the (unsigned char*)p cast does not remove const q stays const unsigned char* this is a misread,b14-adjudicator,high
INT14-C,14,sqlite,ext/fts3/tool/fts3view.c,140,FP,q mixing bitwise and arithmetic is a readability nit not a defect,b14-adjudicator,low
INT14-C,15,sqlite,ext/fts3/tool/fts3view.c,141,FP,y mixing bitwise and arithmetic is a readability nit not a defect,b14-adjudicator,low
INT30-C,16,sqlite,ext/fts3/tool/fts3view.c,142,FP,y<<=7 is the standard varint accumulator bounded by the <9 byte loop so no meaningful overflow,b14-adjudicator,med
INT30-C,17,sqlite,ext/fts3/tool/fts3view.c,144,FP,y*(*q) is the standard 64-bit varint accumulation matching SQLite varint semantics not a wrap bug,b14-adjudicator,med
