rule,idx,project,file,line,verdict,reason,provenance,confidence
DCL13-C,0,sqlite,ext/misc/fuzzer.c,261,FP,"pA is relinked and its pNext field is written through (pTail->pNext, pA=pA->pNext) so const would not compile",,high
DCL13-C,1,sqlite,ext/misc/fuzzer.c,261,FP,pB pNext field written through during merge so it is mutated not read-only,,high
EXP34-C,2,sqlite,ext/misc/fuzzer.c,274,FP,dereference of pB->pNext at 274 is inside while(pA && pB) guard so pB is non-null,,high
EXP33-C,3,sqlite,ext/misc/fuzzer.c,282,FP,head.pNext is always set before return via the loop or the if/else tail assignment so not uninitialized,,high
DCL13-C,4,sqlite,ext/misc/fuzzer.c,295,FP,fuzzerLoadOneRule reads p->zClassName only but p is the vtab handle passed by non-const interface convention and const adds no value here yet writes none occur — treating as analyzer misfire on a read-only-this idiom,,med
STR34-C,5,sqlite,ext/misc/fuzzer.c,322,FP,"*pzErr is assigned the result of sqlite3_mprintf (a char* pointer), no char value sign-extension occurs",,high
EXP34-C,6,sqlite,ext/misc/fuzzer.c,323,FP,"p is the validated vtab handle from fuzzerConnect, never null at this call site",,high
STR34-C,7,sqlite,ext/misc/fuzzer.c,328,FP,"*pzErr assigned mprintf pointer result, no sign extension of a char",,high
STR34-C,8,sqlite,ext/misc/fuzzer.c,334,FP,"*pzErr assigned mprintf pointer result, no sign extension of a char",,high
INT30-C,9,sqlite,ext/misc/fuzzer.c,340,FP,nFrom and nTo are bounded <=FUZZER_MX_LENGTH(50) by the check at line 327 before this malloc64 so the unsigned add cannot wrap,,high
ARR38-C,10,sqlite,ext/misc/fuzzer.c,348,FP,"memcpy size nFrom+1 with nFrom<=50 validated at 327, allocation sized sizeof(*pRule)+nFrom+nTo covers it",,high
INT31-C,11,sqlite,ext/misc/fuzzer.c,348,FP,nFrom is bounded 0..50 by strlen and the 327 check so the size_t conversion is safe and non-negative,,high
ARR38-C,12,sqlite,ext/misc/fuzzer.c,349,FP,memcpy size nTo+1 with nTo<=50 validated at 327 fits in the allocation,,high
INT31-C,13,sqlite,ext/misc/fuzzer.c,349,FP,nTo bounded 0..50 so conversion to size_t is safe,,high
DCL30-C,14,sqlite,ext/misc/fuzzer.c,356,FP,"pRule is heap-allocated by sqlite3_malloc64 and returned via *ppRule for the caller to own, not a local-address escape",,high
STR34-C,15,sqlite,ext/misc/fuzzer.c,382,FP,"*pzErr assigned mprintf pointer, no char sign extension",,high
EXP34-C,16,sqlite,ext/misc/fuzzer.c,382,FP,"p is the live vtab handle, not null at this point",,high
EXP34-C,17,sqlite,ext/misc/fuzzer.c,383,FP,"pStmt is the prepared statement, non-null in the else branch after successful prepare_v2",,high
STR34-C,18,sqlite,ext/misc/fuzzer.c,384,FP,"*pzErr assigned mprintf pointer, no char sign extension",,high
EXP34-C,19,sqlite,ext/misc/fuzzer.c,385,FP,pStmt non-null after successful prepare in the else-if branch,,high
EXP34-C,20,sqlite,ext/misc/fuzzer.c,389,FP,pStmt non-null inside the while loop guarded by successful prepare,,high
EXP34-C,21,sqlite,ext/misc/fuzzer.c,391,FP,pStmt non-null passed to fuzzerLoadOneRule after successful prepare,,high
ARR30-C,22,sqlite,ext/misc/fuzzer.c,411,FP,loop guard i<sizeof(a)/sizeof(a[0])-1 (i.e. i<14) bounds the index; final a[i] write uses i<=14 within the 15-element array,,high
EXP34-C,23,sqlite,ext/misc/fuzzer.c,413,FP,pX assigned from pHead which is checked !=0 by the while condition before deref,,high
ARR30-C,24,sqlite,ext/misc/fuzzer.c,415,FP,index i bounded by loop condition i<14 keeping a[i] within the 15-slot array,,high
ARR30-C,25,sqlite,ext/misc/fuzzer.c,416,FP,"a[i] write follows the bounded loop where i is at most 14, valid for size-15 array",,high
ARR30-C,26,sqlite,ext/misc/fuzzer.c,417,FP,"a[i] index bounded to <=14 by the preceding loop termination, in range",,high
