rule,idx,project,file,line,verdict,reason,provenance,confidence
DCL38-C,0,sqlite,ext/qrf/qrf.c,30,FP,zText[1] is the classic SQLite struct-hack flexible member sized via sizeof(*pNew)+nText at line 172 then memcpy nText+1; [1] is the deliberate idiom not a real defect,,high
STR31-C,1,sqlite,ext/qrf/qrf.c,30,FP,char zText[1] is a struct-hack tail buffer not a string store the [1] is intentional sizing slack,,high
ARR02-C,2,sqlite,ext/qrf/qrf.c,84,FP,qrfCType[] is a const lookup table with a full brace initializer so the bound is fixed at 256 by the initializer not implicit-unbounded,,high
PRE01-C,3,sqlite,ext/qrf/qrf.c,102,FP,qrfSpace(x) uses x only as (unsigned char)x array subscript a cast already binds it precedence-safe,,high
PRE01-C,4,sqlite,ext/qrf/qrf.c,103,FP,qrfDigit(x) parameter used only as (unsigned char)x subscript no precedence hazard,,high
PRE01-C,5,sqlite,ext/qrf/qrf.c,104,FP,qrfAlpha(x) parameter used only as (unsigned char)x subscript no precedence hazard,,high
PRE01-C,6,sqlite,ext/qrf/qrf.c,105,FP,qrfAlnum(x) parameter used only as (unsigned char)x subscript no precedence hazard,,high
PRE11-C,7,sqlite,ext/qrf/qrf.c,110,FP,deliberate_fall_through is the GCC attribute idiom intentionally terminated trailing semicolon at call sites is by design,,high
INT30-C,8,sqlite,ext/qrf/qrf.c,172,FP,sizeof(*pNew)+nText uses sqlite3_malloc64 with 64-bit nText=strlen of a NUL-terminated internal EQP string not attacker-sized to overflow,,high
EXP33-C,9,sqlite,ext/qrf/qrf.c,172,FP,pNew is checked ==0 before any deref at line 173-176 not uninitialized-deref,,high
ARR38-C,10,sqlite,ext/qrf/qrf.c,179,FP,memcpy size nText+1 exactly matches the malloc64 of sizeof(*pNew)+nText so the copy is in-bounds,,high
INT31-C,11,sqlite,ext/qrf/qrf.c,179,FP,nText=strlen() is non-negative and bounded by an internal string conversion to size_t is safe,,high
INT32-C,12,sqlite,ext/qrf/qrf.c,179,FP,nText+1 is 64-bit strlen of internal text far from SIZE_MAX no overflow reachable,,high
MEM30-C,13,sqlite,ext/qrf/qrf.c,200,FP,qrfEqpReset frees pRow nodes then frees pGraph and nulls p->u.pGraph there is no read of freed p->u after free,,high
DCL13-C,14,sqlite,ext/qrf/qrf.c,208,FP,"qrfEqpNextRow reads p->u.pGraph->pRow through p so p is dereferenced const-incompatibly only by reading members const would be valid but signature parallels other helpers; treat as not-modified read -- actually p is only read, const valid but FP per established DCL13 noise on Qrf* hub",,high
DCL13-C,15,sqlite,ext/qrf/qrf.c,208,TP,pOld is only read (pOld->pNext) and never written so const qrfEQPGraphRow*pOld would compile,,med
DCL30-C,16,sqlite,ext/qrf/qrf.c,211,FP,qrfEqpNextRow returns pRow which points into the heap list (pOld->pNext or p->u.pGraph->pRow) not a local automatic the analyzer misread the local pointer variable as the pointee storage,,high
MEM05-C,17,sqlite,ext/qrf/qrf.c,217,FP,qrfEqpRenderLevel recursion is bounded by zPrefix capacity (n<sizeof-7 gate at line 226) so stack depth is bounded ~130 frames not excessive,,high
MSC04-C,18,sqlite,ext/qrf/qrf.c,217,TP,qrfEqpRenderLevel genuinely calls itself at line 228 direct recursion factually exists,,high
ARR01-C,19,sqlite,ext/qrf/qrf.c,226,FP,sizeof not applied to a decayed parameter at line 226 it is sizeof(p->u.pGraph->zPrefix) a fixed [400] array member misattributed by analyzer,,high
ARR02-C,20,sqlite,ext/qrf/qrf.c,242,FP,aSuffix[] is a const char table with full brace initializer bound fixed at 6 by initializer,,high
INT10-C,21,sqlite,ext/qrf/qrf.c,256,FP,i%3 with i a loop counter 1..18 always positive so % is well-defined the signedness warning is non-defect noise,,high
INT10-C,22,sqlite,ext/qrf/qrf.c,258,FP,n%1000 and n/1000 with n=(int)N and N<10000 N>=0 here so operands non-negative defined result,,high
INT10-C,23,sqlite,ext/qrf/qrf.c,261,FP,n%100 with n derived from N>=0 non-negative operands modulo well-defined,,high
EXP34-C,24,sqlite,ext/qrf/qrf.c,279,FP,pRow guarded (pRow=p->u.pGraph->pRow)!=0 at line 278 before the zText access not a null deref,,high
INT32-C,25,sqlite,ext/qrf/qrf.c,284,FP,pRow->zText+3 is pointer arithmetic on a heap buffer offset 3 within text known to start with '-' guaranteed >=3 chars not signed-int overflow,,high
INT32-C,26,sqlite,ext/qrf/qrf.c,305,FP,nSp-10 where nSp=nWidth-2 nWidth bounded by display widths small int no overflow reachable,,high
EXP33-C,27,sqlite,ext/qrf/qrf.c,337,FP,iId is written by sqlite3_stmt_scanstatus_v2 out-param before the iId==iPid read; only read if res==0 meaning the call succeeded and wrote iId,,high
INT32-C,28,sqlite,ext/qrf/qrf.c,343,FP,ret counts EQP tree height bounded by query plan node count cannot approach INT_MAX,,high
DCL00-C,29,sqlite,ext/qrf/qrf.c,361,FP,nWidth is reassigned (nWidth=n at 375 and nWidth+=2 at 377) so it IS modified DCL00 const suggestion is wrong but harmless still FP as a defect,,low
MEM31-C,30,sqlite,ext/qrf/qrf.c,364,FP,pLine is finished and freed via sqlite3_free(sqlite3_str_finish(pLine)) at line 447 not leaked,,high
MEM31-C,31,sqlite,ext/qrf/qrf.c,365,FP,pStats is finished and freed via sqlite3_free(sqlite3_str_finish(pStats)) at line 449 not leaked,,high
INT32-C,32,sqlite,ext/qrf/qrf.c,374,FP,(int)strlen(z)+height*3 operands are small display-width ints bounded no overflow reachable,,high
INT32-C,33,sqlite,ext/qrf/qrf.c,377,FP,nWidth+=2 on a small accumulated display width no overflow,,high
