rule,project,file,line,verdict,reason,provenance,confidence
MSC13-C,sqlite,src/vdbe.c,850,FP,"pOp=aOp is read via sqlite3VdbeLogAbort(p, rc, pOp, aOp) at line 9249 if execution takes the pre-loop `goto no_mem`/`goto abort_due_to_interrupt` path (lines 890-902) before the for-loop reassigns pOp at line 931.",msc13_delta_adjudication_0.4.207,high
MSC13-C,sqlite,src/vdbe.c,853,FP,"nExtraDelete=0 is read by the closing assert(rc!=SQLITE_OK || nExtraDelete==0 ...) at line 9290, reachable via the pre-loop goto no_mem path without ever hitting the nExtraDelete++/-- at lines 5978/5981.",msc13_delta_adjudication_0.4.207,high
MSC13-C,sqlite,src/vdbe.c,858,FP,"resetSchemaOnFault=0 is read by `if(resetSchemaOnFault>0)` at line 9256 in the abort_due_to_error tail, reachable directly from the pre-loop goto no_mem/interrupt paths.",msc13_delta_adjudication_0.4.207,high
MSC13-C,sqlite,src/vdbe.c,866,TP,pIn1=0 at declaration is never referenced anywhere before every opcode case unconditionally overwrites it with `pIn1 = &aMem[pOp->pN]`; no early-exit tail code (abort_due_to_error/vdbe_return/no_mem) reads pIn1.,msc13_delta_adjudication_0.4.207,high
MSC13-C,sqlite,src/vdbe.c,867,TP,"pIn2=0 at declaration is likewise dead: every opcode sets pIn2 fresh from aMem before use, and none of the function's early-exit tail labels reference pIn2.",msc13_delta_adjudication_0.4.207,high
MSC13-C,sqlite,src/vdbe.c,868,TP,pIn3=0 at declaration is dead for the same reason as pIn1/pIn2 -- always reassigned per-opcode before use and never read via any early-exit path.,msc13_delta_adjudication_0.4.207,high
MSC13-C,sqlite,src/vdbe.c,869,TP,"pOut=0 at declaration is dead: always reassigned per-opcode (`pOut = &aMem[pOp->pN]` or out2Prerelease) before use, and not referenced by the tail labels.",msc13_delta_adjudication_0.4.207,high
MSC13-C,sqlite,src/vdbe.c,870,FP,"colCacheCtr=0 is read at line 3246 (`vdbeColumnFromOverflow(pC, p2, t, aOffset[p2], p->cacheCtr, colCacheCtr, pDest)`) which is reachable on the very first loop iteration before any colCacheCtr++ at lines 5822/5988.",msc13_delta_adjudication_0.4.207,high
MSC13-C,sqlite,src/vdbe.c,872,FP,"pnCycle=0 is read by `if(pnCycle)` at line 9265/9270 in the vdbe_return tail, reachable via the pre-loop goto no_mem/interrupt paths that skip the loop's own pnCycle reassignment at lines 941/946.",msc13_delta_adjudication_0.4.207,high
MSC13-C,sqlite,src/vdbe.c,923,FP,once=0 is read by `if(once)` at line 921 on any later iteration of the enclosing for(i=0;i<p->nOp;i++) loop that finds a second OP_Explain opcode; the checker misses this loop-back-edge read.,msc13_delta_adjudication_0.4.207,medium
MSC13-C,sqlite,src/vdbe.c,1011,FP,"pOrigOp=pOp is read at line 9202 (`sqlite3OpcodeProperty[pOrigOp->opcode]`) in the post-switch SQLITE_DEBUG trace block, reached whenever the case completes via a plain `break;` and SQLITE_VdbeTrace is set.",msc13_delta_adjudication_0.4.207,high
MSC13-C,sqlite,src/vdbe.c,1079,FP,"pOp=&aOp[pOp->p2-1] is read by the loop's own `pOp++` increment after the case's `break;` at line 1111, which is how jump opcodes land on the correct target.",msc13_delta_adjudication_0.4.207,high
MSC13-C,sqlite,src/vdbe.c,1102,FP,nProgressLimit+=db->nProgressOps is a compound self-read/write and the resulting value is read again by the enclosing while condition or by the tail's while loop at line 9277.,msc13_delta_adjudication_0.4.207,high
MSC13-C,sqlite,src/vdbe.c,1104,FP,nProgressLimit=LARGEST_UINT64 is read by the tail's `while(nVmStep>=nProgressLimit...)` check at line 9277 after `goto abort_due_to_error`.,msc13_delta_adjudication_0.4.207,high
MSC13-C,sqlite,src/vdbe.c,1105,FP,rc=SQLITE_INTERRUPT flows via `goto abort_due_to_error` straight to `return rc;` at line 9293.,msc13_delta_adjudication_0.4.207,high
MSC13-C,sqlite,src/vdbe.c,1156,FP,pOp=&aOp[pIn1->u.i] is read by the loop's `pOp++` increment after the case's `break;` at line 1160.,msc13_delta_adjudication_0.4.207,high
