rule,idx,project,file,line,verdict,reason,provenance,confidence
PRE00-C,0,sqlite,ext/repair/checkindex.c,29,TP,get4byte is a function-like macro that evaluates its parameter four times - genuine PRE00 multiple-evaluation hazard,,high
PRE12-C,1,sqlite,ext/repair/checkindex.c,29,TP,same macro x evaluated 4 times - PRE12 unparenthesized-multi-eval factual,,high
DCL38-C,2,sqlite,ext/repair/checkindex.c,64,TP,aCol[1] is the struct-hack flexible array; DCL38 recommends [] - factually [1],,high
STR31-C,3,sqlite,ext/repair/checkindex.c,64,FP,aCol is an array of CidxColumn structs not a character string buffer - STR31 misclassification,,high
INT31-C,4,sqlite,ext/repair/checkindex.c,73,FP,n is asserted !=0 and is always a positive sizeof-derived constant from internal callers not attacker data,,high
DCL13-C,5,sqlite,ext/repair/checkindex.c,94,FP,cidxConnect signature is fixed by the sqlite3_module xConnect function-pointer typedef,,high
DCL13-C,6,sqlite,ext/repair/checkindex.c,97,FP,cidxConnect pzErr signature fixed by xConnect typedef,,high
DCL13-C,7,sqlite,ext/repair/checkindex.c,145,FP,cidxBestIndex tab signature fixed by xBestIndex typedef,,high
DCL13-C,8,sqlite,ext/repair/checkindex.c,183,FP,cidxOpen pVTab signature fixed by xOpen typedef,,high
INT32-C,9,sqlite,ext/repair/checkindex.c,219,FP,iRowid is sqlite3_int64 row counter bounded by step iterations not reaching INT_MAX in practice,,high
DCL13-C,10,sqlite,ext/repair/checkindex.c,228,FP,cidxEof pCursor signature fixed by xEof typedef,,high
DCL30-C,11,sqlite,ext/repair/checkindex.c,273,FP,pRet is a sqlite3_stmt* heap object returned not the address of an automatic variable,,high
API00-C,12,sqlite,ext/repair/checkindex.c,281,FP,pRc is an internal contract pointer always passed non-null by callers; API00 misfire on internal helper,,med
DCL15-C,13,sqlite,ext/repair/checkindex.c,281,FP,cidxStrdup is intentionally external (non-static) as a shared helper; DCL15 misfire,,med
STR34-C,14,sqlite,ext/repair/checkindex.c,284,FP,strlen(zStr) does not sign-extend a char; n is a length not a dereferenced char value,,high
INT32-C,15,sqlite,ext/repair/checkindex.c,285,FP,n is strlen of a real string bounded well below INT_MAX; n+1 cannot overflow here,,high
ARR38-C,16,sqlite,ext/repair/checkindex.c,286,FP,memcpy size n+1 matches the n+1 allocation from cidxMalloc on the same n,,high
INT31-C,17,sqlite,ext/repair/checkindex.c,286,FP,n is a positive strlen result converted to size_t safely,,high
STR31-C,18,sqlite,ext/repair/checkindex.c,286,FP,copy length n+1 includes the terminating NUL deliberately,,high
EXP05-C,19,sqlite,ext/repair/checkindex.c,286,FP,n+1 is an int size argument not a cast away of const,,high
INT32-C,20,sqlite,ext/repair/checkindex.c,286,FP,duplicate of 15; n bounded by strlen well below INT_MAX,,high
ARR30-C,21,sqlite,ext/repair/checkindex.c,295,FP,aCol declared [1] is the struct-hack header; real allocation sizes aCol to nCol entries; index i bounded by i<nCol,,high
MEM30-C,22,sqlite,ext/repair/checkindex.c,295,FP,pIdx->aCol is live heap memory freed only in cidxFreeIndex after this loop; no use-after-free,,high
PRE32-C,23,sqlite,ext/repair/checkindex.c,315,FP,line 315 is a vtable column-index #define not a preprocessor directive spliced inside memcpy,,high
ARR30-C,24,sqlite,ext/repair/checkindex.c,342,FP,z scans a NUL-terminated string from sqlite_schema; cidx_isspace stops at NUL so loop is bounded,,high
DCL30-C,25,sqlite,ext/repair/checkindex.c,361,FP,*pzOut is set to point into the caller-owned input buffer z not to a local of cidxFindNext,,high
STR34-C,26,sqlite,ext/repair/checkindex.c,361,FP,assigning a pointer value; no char sign-extension occurs on a pointer store,,high
CON43-C,27,sqlite,ext/repair/checkindex.c,363,FP,switch on *z reads the stable NUL-terminated buffer once per state; no double-fetch race in single-threaded parser,,high
STR34-C,28,sqlite,ext/repair/checkindex.c,376,FP,*z is compared as a character; no integer sign-extension defect,,high
ARR30-C,29,sqlite,ext/repair/checkindex.c,378,FP,inner quote/comment scan is bounded by NUL terminator of the schema string,,high
DCL03-C,30,sqlite,ext/repair/checkindex.c,400,FP,assert(0) marks unreachable code; this is intentional and not a candidate for static_assert,,high
EXP34-C,31,sqlite,ext/repair/checkindex.c,411,FP,pIdx is non-null whenever index_xinfo returned rows; cidxParseSQL only called with a populated pIdx for an existing index,,med
INT32-C,32,sqlite,ext/repair/checkindex.c,415,FP,z+1 is pointer arithmetic into a bounded NUL-terminated buffer not signed-int overflow,,high
INT32-C,33,sqlite,ext/repair/checkindex.c,416,FP,z++ advances a pointer within the bounded buffer not an int near INT_MAX,,high
ARR30-C,34,sqlite,ext/repair/checkindex.c,417,FP,loop bounded by the NUL-terminated schema buffer via cidxFindNext EOF handling,,high
EXP34-C,35,sqlite,ext/repair/checkindex.c,422,FP,pCol points into pIdx->aCol which is allocated and populated before cidxParseSQL runs,,high
ARR00-C,36,sqlite,ext/repair/checkindex.c,425,FP,z[-1] is backward pointer scan into the schema buffer past the opening paren not a negative array subscript,,med
ARR00-C,37,sqlite,ext/repair/checkindex.c,426,FP,z[-3] backward read bounded by preceding CREATE INDEX text in the same allocation,,med
ARR00-C,38,sqlite,ext/repair/checkindex.c,426,FP,z[-4] backward read within the same schema-string allocation,,med
INT32-C,39,sqlite,ext/repair/checkindex.c,427,FP,z -= 3 is pointer decrement within the buffer not int overflow,,high
ARR00-C,40,sqlite,ext/repair/checkindex.c,428,FP,z[-1] backward pointer read bounded by buffer content,,med
ARR00-C,41,sqlite,ext/repair/checkindex.c,430,FP,z[-4] backward pointer read within allocation,,med
ARR00-C,42,sqlite,ext/repair/checkindex.c,430,FP,z[-5] backward pointer read within allocation following the keyword/ident check,,med
