rule,idx,project,file,line,verdict,reason
MSC12-C,0,sel4,src/arch/arm/32/machine/debug.c,338,FP,"else-if branch has explanatory comment ('So no need to do anything for debug v7.0') -- deliberate documented no-op."
MSC12-C,1,sel4,src/arch/arm/32/model/statedata.c,43,TP,"Genuine stray double semicolon after a global array declaration; harmless but a real no-op token."
MSC12-C,2,sel4,src/arch/arm/64/c_traps.c,27,FP,"NODE_UNLOCK_IF_HELD is a macro that releases the big kernel lock on SMP builds -- hidden real effect, sqc can't see through macro expansion."
MSC12-C,3,sel4,src/arch/arm/64/kernel/thread.c,36,FP,"Arch_activateIdleThread body is a documented no-op stub ('Don't need to do anything')."
MSC12-C,4,sel4,src/arch/riscv/c_traps.c,37,FP,"Same NODE_UNLOCK_IF_HELD macro-hidden-effect FP as idx 2."
MSC12-C,5,sel4,src/arch/riscv/object/objecttype.c,112,FP,"case cap_asid_control_cap: break; is a deliberate no-op case (nothing to clean up for this cap type)."
MSC12-C,6,sel4,src/arch/x86/32/kernel/thread.c,48,FP,"Mode_postModifyRegisters is a documented no-op stub ('Don't need to do anything')."
MSC12-C,7,sel4,src/arch/x86/64/machine/capdl.c,331,FP,"Grouped case cap_pml4_cap: falls through to a shared, commented break -- deliberate."
MSC12-C,8,sel4,src/arch/x86/64/object/objecttype.c,233,FP,"'Empty' if-branch actually contains AUXUPD/GHOSTUPD formal-verification annotation comments (Isabelle proof hints), not dead code -- misattribution."
MSC12-C,9,sel4,src/arch/x86/64/object/objecttype.c,239,FP,"Same AUXUPD/GHOSTUPD verification-annotation misattribution as idx 8, else branch."
MSC12-C,10,sel4,src/arch/x86/object/vcpu.c,1054,FP,"Grouped case VMX_GUEST_CR4: falls through to a shared break -- deliberate multi-value case idiom."
MSC12-C,11,sel4,src/drivers/serial/bcm2835-aux-uart.c,42,FP,"while (!(...TXIDLE)); is a deliberate busy-wait polling loop (UART ready-bit spin), all work done in the condition."
MSC12-C,12,sel4,src/drivers/serial/bcm2835-aux-uart.c,50,FP,"Same busy-wait UART-poll idiom as idx 11."
MSC12-C,13,sel4,src/drivers/serial/imx-lpuart.c,30,FP,"while (!(...TDRE)) { } -- same busy-wait UART-poll idiom, braced form."
MSC12-C,14,sel4,src/drivers/serial/meson-gx-uart.c,25,FP,"Busy-wait UART TX-full poll loop."
MSC12-C,15,sel4,src/drivers/serial/meson-gx-uart.c,35,FP,"Busy-wait UART RX-empty poll loop."
MSC12-C,16,sel4,src/drivers/serial/tegra_omap3_dwapb.c,33,FP,"Busy-wait UART poll loop."
MSC12-C,17,sel4,src/drivers/timer/am335x-timer.c,68,FP,"while (cond) { ; } -- busy-wait poll for a clock-select register, all work in the condition."
MSC12-C,18,sel4,src/drivers/timer/exynos4412-mct.c,24,FP,"Busy-wait poll of a timer status register."
MSC12-C,19,sel4,src/drivers/timer/omap3430-timer.c,63,FP,"Busy-wait poll of a timer status register."
MSC12-C,20,sel4,src/fastpath/fastpath.c,215,TP,"Genuine stray double semicolon after an assignment statement."
MSC12-C,21,sel4,src/fastpath/fastpath.c,452,TP,"Genuine stray double semicolon after a function-call statement."
MSC12-C,22,sel4,src/fastpath/fastpath.c,881,TP,"Genuine stray double semicolon after an assignment statement (same pattern as idx 20, different call site)."
MSC12-C,23,sel4,src/kernel/thread.c,689,FP,"SCHED_APPEND_CURRENT_TCB is a scheduler macro with a real effect under CONFIG_KERNEL_MCS -- hidden by macro expansion."
MSC12-C,24,sel4,src/object/cnode.c,687,FP,"case cap_null_cap: break; -- deliberate no-op case (a null cap has nothing to delete)."
MSC12-C,25,sel4,src/plat/allwinnerA20/machine/l2cache.c,37,FP,"plat_cleanL2Range is a documented no-op platform stub (this platform has no L2 cache to operate on)."
MSC12-C,26,sel4,src/plat/allwinnerA20/machine/l2cache.c,38,FP,"Same platform-stub pattern as idx 25 (plat_invalidateL2Range)."
MSC12-C,27,sel4,src/plat/allwinnerA20/machine/l2cache.c,39,FP,"Same platform-stub pattern as idx 25 (plat_cleanInvalidateL2Range)."
MSC12-C,28,sel4,src/plat/allwinnerA20/machine/l2cache.c,40,FP,"Same platform-stub pattern as idx 25 (plat_cleanInvalidateL2Cache)."
MSC12-C,29,sel4,src/plat/am335x/machine/hardware.c,14,FP,"while (!(...RESETDONE)) ; -- busy-wait poll for IRQ controller reset completion."
MSC12-C,30,sel4,src/plat/am335x/machine/l2cache.c,39,FP,"Same platform-stub pattern as idx 25, am335x variant."
MSC12-C,31,sel4,src/plat/bcm2837/machine/intc.c,107,FP,"default: break; after two commented fallthrough cases -- deliberate 'nothing to do for these IRQs' idiom."
MSC12-C,32,sel4,src/plat/omap3/machine/l2cache.c,39,FP,"Same platform-stub pattern as idx 25, omap3 variant."
MSC12-C,33,sel4,src/plat/pc99/machine/intel-vtd.c,148,FP,"Busy-wait poll of the VT-d invalidation-context-cache-command completion bit."
MSC12-C,34,sel4,src/plat/pc99/machine/intel-vtd.c,159,FP,"Same VT-d busy-wait poll idiom as idx 33."
MSC12-C,35,sel4,src/plat/pc99/machine/intel-vtd.c,413,FP,"Busy-wait poll of the VT-d root-table-pointer-set status bit."
MSC12-C,36,sel4,src/plat/pc99/machine/io.c,17,FP,"Busy-wait poll of a UART line-status busy bit."
MSC12-C,37,sel4,src/plat/pc99/machine/io.c,40,FP,"Busy-wait poll of a debug-port UART ready bit."
MSC12-C,38,sel4,src/smp/ipi.c,38,FP,"SCHED_ENQUEUE_CURRENT_TCB is a scheduler macro with a real effect under CONFIG_KERNEL_MCS -- hidden by macro expansion."
MSC12-C,39,sel4,src/smp/ipi.c,180,FP,"IPI_MEM_BARRIER expands to a real memory-barrier instruction/intrinsic -- hidden by macro expansion."
