rule,project,file,line,verdict,reason,provenance,confidence
MSC17-C,lua,lapi.c,443,FP,"case LUA_VTABLE: { ... return res; } is a brace-wrapped block whose final statement is a return; sqc's checker inspects only the compound_statement node itself, not its last inner statement.",delta_msc17_task534,high
MSC17-C,lua,lapi.c,977,FP,case LUA_TTABLE: { ... break; } ends in break inside braces; the case body as a whole is a compound_statement so the literal break is missed.,delta_msc17_task534,high
MSC17-C,lua,lapi.c,985,FP,"case LUA_TUSERDATA: { ... break; } ends in break inside braces, same brace-wrapped compound_statement miss.",delta_msc17_task534,high
MSC17-C,lua,lapi.c,1180,FP,case LUA_GCSTOP: { g->gcstp = GCSTPUSR; break; } ends in break inside braces.,delta_msc17_task534,high
MSC17-C,lua,lapi.c,1184,FP,case LUA_GCRESTART: { ...; break; } ends in break inside braces.,delta_msc17_task534,high
MSC17-C,lua,lapi.c,1189,FP,case LUA_GCCOLLECT: { luaC_fullgc(...); break; } ends in break inside braces.,delta_msc17_task534,high
MSC17-C,lua,lapi.c,1193,FP,case LUA_GCCOUNT: { res = ...; break; } ends in break inside braces.,delta_msc17_task534,high
MSC17-C,lua,lapi.c,1198,FP,case LUA_GCCOUNTB: { res = ...; break; } ends in break inside braces.,delta_msc17_task534,high
MSC17-C,lua,lapi.c,1202,FP,case LUA_GCSTEP: { ...; break; } ends in break inside braces.,delta_msc17_task534,high
MSC17-C,lua,lapi.c,1221,FP,case LUA_GCISRUNNING: { res = gcrunning(g); break; } ends in break inside braces.,delta_msc17_task534,high
MSC17-C,lua,lapi.c,1225,FP,case LUA_GCGEN: { ...; break; } ends in break inside braces.,delta_msc17_task534,high
MSC17-C,lua,lapi.c,1230,FP,case LUA_GCINC: { ...; break; } ends in break inside braces.,delta_msc17_task534,high
MSC17-C,lua,lapi.c,1235,FP,case LUA_GCPARAM: { ...; break; } ends in break inside braces.,delta_msc17_task534,high
MSC17-C,lua,lapi.c,1376,FP,"case LUA_VCCL: { ... return """"; } ends in a return inside braces, control never reaches the next case.",delta_msc17_task534,high
MSC17-C,lua,lapi.c,1384,FP,"case LUA_VLCL: { ... return (name==NULL)?""(no name)"":getstr(name); } ends in a return inside braces.",delta_msc17_task534,high
MSC17-C,lua,lapi.c,1450,FP,"case LUA_VLCL: { return *getupvalref(L, fidx, n, NULL); } is a single-statement return block, not a fallthrough.",delta_msc17_task534,high
MSC17-C,lua,lauxlib.c,930,FP,case LUA_TNUMBER: { ...; break; } ends in break inside braces.,delta_msc17_task534,high
MSC17-C,lua,lbaselib.c,210,FP,case LUA_GCCOUNT: { ...; return 1; } ends in a return inside braces.,delta_msc17_task534,high
MSC17-C,lua,lbaselib.c,217,FP,case LUA_GCSTEP: { ...; return 1; } ends in a return inside braces.,delta_msc17_task534,high
MSC17-C,lua,lbaselib.c,224,FP,case LUA_GCISRUNNING: { ...; return 1; } ends in a return inside braces.,delta_msc17_task534,high
MSC17-C,lua,lbaselib.c,230,FP,"case LUA_GCGEN: { return pushmode(L, lua_gc(L, o)); } is a single-statement return block.",delta_msc17_task534,high
MSC17-C,lua,lbaselib.c,233,FP,"case LUA_GCINC: { return pushmode(L, lua_gc(L, o)); } is a single-statement return block.",delta_msc17_task534,high
MSC17-C,lua,lbaselib.c,236,FP,case LUA_GCPARAM: { ...; return 1; } ends in a return inside braces.,delta_msc17_task534,high
MSC17-C,lua,lcode.c,98,FP,case VKSTR: { ...; return 1; } ends in a return inside braces.,delta_msc17_task534,high
MSC17-C,lua,lcode.c,102,FP,case VCONST: { ...; return 1; } ends in a return inside braces.,delta_msc17_task534,high
MSC17-C,lua,lcode.c,821,FP,case VCONST: { const2exp(...); break; } ends in break inside braces (dischargevars).,delta_msc17_task534,high
MSC17-C,lua,lcode.c,828,FP,case VLOCAL: { ...; break; } ends in break inside braces.,delta_msc17_task534,high
MSC17-C,lua,lcode.c,834,FP,case VUPVAL: { ...; break; } ends in break inside braces.,delta_msc17_task534,high
MSC17-C,lua,lcode.c,839,FP,case VINDEXUP: { ...; break; } ends in break inside braces.,delta_msc17_task534,high
MSC17-C,lua,lcode.c,844,FP,case VINDEXI: { ...; break; } ends in break inside braces.,delta_msc17_task534,high
MSC17-C,lua,lcode.c,850,FP,case VINDEXSTR: { ...; break; } ends in break inside braces.,delta_msc17_task534,high
MSC17-C,lua,lcode.c,856,FP,case VINDEXED: { ...; break; } ends in break inside braces.,delta_msc17_task534,high
MSC17-C,lua,lcode.c,862,FP,case VVARGIND: { ...; break; } ends in break inside braces.,delta_msc17_task534,high
MSC17-C,lua,lcode.c,868,FP,"case VVARARG: case VCALL: { luaK_setoneret(fs, e); break; } ends in break inside braces.",delta_msc17_task534,high
MSC17-C,lua,lcode.c,885,FP,"case VNIL: { luaK_nil(fs, reg, 1); break; } ends in break inside braces (discharge2reg).",delta_msc17_task534,high
MSC17-C,lua,lcode.c,889,FP,case VFALSE: { ...; break; } ends in break inside braces.,delta_msc17_task534,high
MSC17-C,lua,lcode.c,893,FP,case VTRUE: { ...; break; } ends in break inside braces.,delta_msc17_task534,high
MSC17-C,lua,lcode.c,900,FP,case VK: { luaK_codek(...); break; } ends in break inside braces.,delta_msc17_task534,high
MSC17-C,lua,lcode.c,904,FP,case VKFLT: { ...; break; } ends in break inside braces.,delta_msc17_task534,high
MSC17-C,lua,lcode.c,908,FP,case VKINT: { ...; break; } ends in break inside braces.,delta_msc17_task534,high
MSC17-C,lua,lcode.c,912,FP,case VRELOC: { ...; break; } ends in break inside braces.,delta_msc17_task534,high
MSC17-C,lua,lcode.c,917,FP,case VNONRELOC: { if (...) ...; break; } ends in a top-level break inside braces even though preceded by an if.,delta_msc17_task534,high
MSC17-C,lua,lcode.c,1107,FP,case VLOCAL: { ...; return; } ends in a return inside braces (luaK_storevar).,delta_msc17_task534,high
MSC17-C,lua,lcode.c,1112,FP,case VUPVAL: { ...; break; } ends in break inside braces.,delta_msc17_task534,high
MSC17-C,lua,lcode.c,1117,FP,case VINDEXUP: { ...; break; } ends in break inside braces.,delta_msc17_task534,high
MSC17-C,lua,lcode.c,1121,FP,case VINDEXI: { ...; break; } ends in break inside braces.,delta_msc17_task534,high
MSC17-C,lua,lcode.c,1125,FP,case VINDEXSTR: { ...; break; } ends in break inside braces.,delta_msc17_task534,high
MSC17-C,lua,lcode.c,1133,FP,case VINDEXED: { ...; break; } ends in break inside braces (the preceding VVARGIND case already has an explicit FALLTHROUGH comment).,delta_msc17_task534,high
MSC17-C,lua,lcode.c,1182,FP,case VJMP: { ...; break; } ends in break inside braces (luaK_goiftrue).,delta_msc17_task534,high
MSC17-C,lua,lcode.c,1187,FP,case VK: case VKFLT: case VKINT: case VKSTR: case VTRUE: { pc = NO_JUMP; break; } ends in break inside braces.,delta_msc17_task534,high
MSC17-C,lua,lcode.c,1209,FP,case VJMP: { pc = e->u.info; break; } ends in break inside braces (luaK_goiffalse).,delta_msc17_task534,high
MSC17-C,lua,lcode.c,1213,FP,case VNIL: case VFALSE: { pc = NO_JUMP; break; } ends in break inside braces.,delta_msc17_task534,high
MSC17-C,lua,lcode.c,1233,FP,case VNIL: case VFALSE: { e->k = VTRUE; break; } ends in break inside braces (codenot).,delta_msc17_task534,high
MSC17-C,lua,lcode.c,1237,FP,case VK: case VKFLT: case VKINT: case VKSTR: case VTRUE: { e->k = VFALSE; break; } ends in break inside braces.,delta_msc17_task534,high
