rule,project,file,line,verdict,reason,provenance,confidence
PRE08-C,mosquitto,libcommon.h,39,TP,"'libcommon_base64.h'[:8]='libcommo' equals 'libcommon_cjson.h'[:8]='libcommo' (case-insensitive) -- verified both files exist under mosquitto's include tree with this literal shared 8-char prefix, a genuine PRE08-C violation per the rule's letter regardless of modern-filesystem practical impact.",delta_pre08_task543,high
PRE08-C,mosquitto,libcommon.h,40,TP,"'libcommon_cjson.h'[:8]='libcommo' equals 'libcommon_file.h'[:8]='libcommo' (case-insensitive) -- verified both files exist under mosquitto's include tree with this literal shared 8-char prefix, a genuine PRE08-C violation per the rule's letter regardless of modern-filesystem practical impact.",delta_pre08_task543,high
PRE08-C,mosquitto,libcommon.h,41,TP,"'libcommon_file.h'[:8]='libcommo' equals 'libcommon_memory.h'[:8]='libcommo' (case-insensitive) -- verified both files exist under mosquitto's include tree with this literal shared 8-char prefix, a genuine PRE08-C violation per the rule's letter regardless of modern-filesystem practical impact.",delta_pre08_task543,high
PRE08-C,mosquitto,libcommon.h,42,TP,"'libcommon_memory.h'[:8]='libcommo' equals 'libcommon_password.h'[:8]='libcommo' (case-insensitive) -- verified both files exist under mosquitto's include tree with this literal shared 8-char prefix, a genuine PRE08-C violation per the rule's letter regardless of modern-filesystem practical impact.",delta_pre08_task543,high
PRE08-C,mosquitto,libcommon.h,43,TP,"'libcommon_password.h'[:8]='libcommo' equals 'libcommon_properties.h'[:8]='libcommo' (case-insensitive) -- verified both files exist under mosquitto's include tree with this literal shared 8-char prefix, a genuine PRE08-C violation per the rule's letter regardless of modern-filesystem practical impact.",delta_pre08_task543,high
PRE08-C,mosquitto,libcommon.h,44,TP,"'libcommon_properties.h'[:8]='libcommo' equals 'libcommon_random.h'[:8]='libcommo' (case-insensitive) -- verified both files exist under mosquitto's include tree with this literal shared 8-char prefix, a genuine PRE08-C violation per the rule's letter regardless of modern-filesystem practical impact.",delta_pre08_task543,high
PRE08-C,mosquitto,libcommon.h,45,TP,"'libcommon_random.h'[:8]='libcommo' equals 'libcommon_string.h'[:8]='libcommo' (case-insensitive) -- verified both files exist under mosquitto's include tree with this literal shared 8-char prefix, a genuine PRE08-C violation per the rule's letter regardless of modern-filesystem practical impact.",delta_pre08_task543,high
PRE08-C,mosquitto,libcommon.h,46,TP,"'libcommon_string.h'[:8]='libcommo' equals 'libcommon_time.h'[:8]='libcommo' (case-insensitive) -- verified both files exist under mosquitto's include tree with this literal shared 8-char prefix, a genuine PRE08-C violation per the rule's letter regardless of modern-filesystem practical impact.",delta_pre08_task543,high
PRE08-C,mosquitto,libcommon.h,47,TP,"'libcommon_time.h'[:8]='libcommo' equals 'libcommon_topic.h'[:8]='libcommo' (case-insensitive) -- verified both files exist under mosquitto's include tree with this literal shared 8-char prefix, a genuine PRE08-C violation per the rule's letter regardless of modern-filesystem practical impact.",delta_pre08_task543,high
PRE08-C,mosquitto,libcommon.h,48,TP,"'libcommon_topic.h'[:8]='libcommo' equals 'libcommon_utf8.h'[:8]='libcommo' (case-insensitive) -- verified both files exist under mosquitto's include tree with this literal shared 8-char prefix, a genuine PRE08-C violation per the rule's letter regardless of modern-filesystem practical impact.",delta_pre08_task543,high
PRE08-C,mosquitto,libmosquitto.h,225,TP,"'libmosquitto_auth.h'[:8]='libmosqu' equals 'libmosquitto_callbacks.h'[:8]='libmosqu' (case-insensitive) -- verified both files exist under mosquitto's include tree with this literal shared 8-char prefix, a genuine PRE08-C violation per the rule's letter regardless of modern-filesystem practical impact.",delta_pre08_task543,high
PRE08-C,mosquitto,libmosquitto.h,226,TP,"'libmosquitto_callbacks.h'[:8]='libmosqu' equals 'libmosquitto_connect.h'[:8]='libmosqu' (case-insensitive) -- verified both files exist under mosquitto's include tree with this literal shared 8-char prefix, a genuine PRE08-C violation per the rule's letter regardless of modern-filesystem practical impact.",delta_pre08_task543,high
PRE08-C,mosquitto,libmosquitto.h,227,TP,"'libmosquitto_connect.h'[:8]='libmosqu' equals 'libmosquitto_create_delete.h'[:8]='libmosqu' (case-insensitive) -- verified both files exist under mosquitto's include tree with this literal shared 8-char prefix, a genuine PRE08-C violation per the rule's letter regardless of modern-filesystem practical impact.",delta_pre08_task543,high
PRE08-C,mosquitto,libmosquitto.h,228,TP,"'libmosquitto_create_delete.h'[:8]='libmosqu' equals 'libmosquitto_helpers.h'[:8]='libmosqu' (case-insensitive) -- verified both files exist under mosquitto's include tree with this literal shared 8-char prefix, a genuine PRE08-C violation per the rule's letter regardless of modern-filesystem practical impact.",delta_pre08_task543,high
PRE08-C,mosquitto,libmosquitto.h,229,TP,"'libmosquitto_helpers.h'[:8]='libmosqu' equals 'libmosquitto_loop.h'[:8]='libmosqu' (case-insensitive) -- verified both files exist under mosquitto's include tree with this literal shared 8-char prefix, a genuine PRE08-C violation per the rule's letter regardless of modern-filesystem practical impact.",delta_pre08_task543,high
PRE08-C,mosquitto,libmosquitto.h,230,TP,"'libmosquitto_loop.h'[:8]='libmosqu' equals 'libmosquitto_message.h'[:8]='libmosqu' (case-insensitive) -- verified both files exist under mosquitto's include tree with this literal shared 8-char prefix, a genuine PRE08-C violation per the rule's letter regardless of modern-filesystem practical impact.",delta_pre08_task543,high
PRE08-C,mosquitto,libmosquitto.h,231,TP,"'libmosquitto_message.h'[:8]='libmosqu' equals 'libmosquitto_options.h'[:8]='libmosqu' (case-insensitive) -- verified both files exist under mosquitto's include tree with this literal shared 8-char prefix, a genuine PRE08-C violation per the rule's letter regardless of modern-filesystem practical impact.",delta_pre08_task543,high
PRE08-C,mosquitto,libmosquitto.h,232,TP,"'libmosquitto_options.h'[:8]='libmosqu' equals 'libmosquitto_publish.h'[:8]='libmosqu' (case-insensitive) -- verified both files exist under mosquitto's include tree with this literal shared 8-char prefix, a genuine PRE08-C violation per the rule's letter regardless of modern-filesystem practical impact.",delta_pre08_task543,high
PRE08-C,mosquitto,libmosquitto.h,233,TP,"'libmosquitto_publish.h'[:8]='libmosqu' equals 'libmosquitto_socks.h'[:8]='libmosqu' (case-insensitive) -- verified both files exist under mosquitto's include tree with this literal shared 8-char prefix, a genuine PRE08-C violation per the rule's letter regardless of modern-filesystem practical impact.",delta_pre08_task543,high
PRE08-C,mosquitto,libmosquitto.h,234,TP,"'libmosquitto_socks.h'[:8]='libmosqu' equals 'libmosquitto_subscribe.h'[:8]='libmosqu' (case-insensitive) -- verified both files exist under mosquitto's include tree with this literal shared 8-char prefix, a genuine PRE08-C violation per the rule's letter regardless of modern-filesystem practical impact.",delta_pre08_task543,high
PRE08-C,mosquitto,libmosquitto.h,235,TP,"'libmosquitto_subscribe.h'[:8]='libmosqu' equals 'libmosquitto_tls.h'[:8]='libmosqu' (case-insensitive) -- verified both files exist under mosquitto's include tree with this literal shared 8-char prefix, a genuine PRE08-C violation per the rule's letter regardless of modern-filesystem practical impact.",delta_pre08_task543,high
PRE08-C,mosquitto,libmosquitto.h,236,TP,"'libmosquitto_tls.h'[:8]='libmosqu' equals 'libmosquitto_unsubscribe.h'[:8]='libmosqu' (case-insensitive) -- verified both files exist under mosquitto's include tree with this literal shared 8-char prefix, a genuine PRE08-C violation per the rule's letter regardless of modern-filesystem practical impact.",delta_pre08_task543,high
PRE08-C,mosquitto,libmosquitto.h,237,TP,"'libmosquitto_unsubscribe.h'[:8]='libmosqu' equals 'libmosquitto_will.h'[:8]='libmosqu' (case-insensitive) -- verified both files exist under mosquitto's include tree with this literal shared 8-char prefix, a genuine PRE08-C violation per the rule's letter regardless of modern-filesystem practical impact.",delta_pre08_task543,high
