rule,idx,project,file,line,verdict,reason,provenance,confidence
ARR02-C,1,sqlite,ext/misc/carray.c,69,FP,azCarrayType[] is a file-scope const char* initialized by 5 string literals so size is fixed by initializer; implicit-bound on initialized aggregate is idiomatic and safe,b14-adjudicator,high
FLP06-C,2,sqlite,ext/misc/carray.c,69,FP,line 69 is a char* string array initializer not a floating-point variable; FLP06 misfire on the (double) cast context confusion,b14-adjudicator,high
DCL13-C,3,sqlite,ext/misc/carray.c,114,FP,pAux is a parameter of xConnect whose signature is fixed by the sqlite3_module xCreate/xConnect typedef so const cannot be added,b14-adjudicator,high
DCL13-C,4,sqlite,ext/misc/carray.c,117,FP,pzErr is the char** error-out param of xConnect fixed by sqlite3_module typedef and is an output pointer not const-able,b14-adjudicator,high
EXP33-C,5,sqlite,ext/misc/carray.c,131,FP,pNew is assigned from sqlite3_malloc before any deref at line 131 then null-checked at 132 so no uninitialized deref,b14-adjudicator,high
MEM12-C,6,sqlite,ext/misc/carray.c,132,FP,on NOMEM at 132 pNew is null so nothing leaks and *ppVtab holds the same null; SQLITE_NOMEM return is correct vtab contract,b14-adjudicator,high
MEM12-C,7,sqlite,ext/misc/carray.c,135,FP,line 135 returns rc after successful alloc or declare failure with no owned unreleased resource; pNew is stored into *ppVtab and owned by SQLite,b14-adjudicator,high
DCL13-C,8,sqlite,ext/misc/carray.c,149,FP,p is the sqlite3_vtab* param of xOpen fixed by sqlite3_module typedef so const cannot be added,b14-adjudicator,high
EXP33-C,9,sqlite,ext/misc/carray.c,151,FP,pCur assigned from sqlite3_malloc at 151 and null-checked at 152 before memset deref so not uninitialized,b14-adjudicator,high
MEM33-C,10,sqlite,ext/misc/carray.c,154,FP,line 154 takes &pCur->base address it does not assign a flexible-array struct by value; MEM33 misfire,b14-adjudicator,high
INT32-C,11,sqlite,ext/misc/carray.c,172,FP,iRowid is sqlite3_int64 bounded by iCnt via carrayEof; increment cannot reach INT_MAX in practice and i64 not int,b14-adjudicator,high
DCL13-C,12,sqlite,ext/misc/carray.c,181,FP,cur is the cursor param of xRowid fixed by sqlite3_module typedef so const cannot be added,b14-adjudicator,high
INT32-C,13,sqlite,ext/misc/carray.c,198,FP,iRowid is i64 set to 1 in xFilter and bounded by iCnt in xEof; iRowid-1 is a valid in-range index not an overflow,b14-adjudicator,high
INT32-C,14,sqlite,ext/misc/carray.c,203,FP,same i64 iRowid-1 index path bounded by xFilter/xEof invariant; INT32 misfire on i64,b14-adjudicator,high
FLP06-C,15,sqlite,ext/misc/carray.c,207,FP,line 207 declares double *p from a void* cast not a float initialized by integer arithmetic; FLP06 misfire,b14-adjudicator,high
FLP34-C,16,sqlite,ext/misc/carray.c,207,FP,line 207 is a pointer cast (double*)pCur->pPtr not a value conversion to double so no range issue; FLP34 misfire,b14-adjudicator,high
INT32-C,17,sqlite,ext/misc/carray.c,208,FP,i64 iRowid-1 index into double array bounded by xFilter/xEof; INT32 misfire on i64,b14-adjudicator,high
INT32-C,18,sqlite,ext/misc/carray.c,213,FP,i64 iRowid-1 index into char* array bounded by xFilter/xEof; INT32 misfire on i64,b14-adjudicator,high
INT32-C,19,sqlite,ext/misc/carray.c,219,FP,i64 iRowid-1 index into iovec array bounded by xFilter/xEof; INT32 misfire on i64,b14-adjudicator,high
INT32-C,20,sqlite,ext/misc/carray.c,220,FP,second i64 iRowid-1 in same iovec result_blob call bounded by xFilter/xEof; INT32 misfire on i64,b14-adjudicator,high
DCL13-C,21,sqlite,ext/misc/carray.c,234,FP,cur is the cursor param of xEof fixed by sqlite3_module typedef so const cannot be added,b14-adjudicator,high
DCL13-C,22,sqlite,ext/misc/carray.c,244,FP,cur is the cursor param of carrayEof fixed by sqlite3_module typedef so const cannot be added,b14-adjudicator,high
DCL13-C,23,sqlite,ext/misc/carray.c,256,FP,argv is sqlite3_value** param of xFilter fixed by sqlite3_module typedef; pointer-to-pointer is not const-able under contract,b14-adjudicator,high
ARR01-C,24,sqlite,ext/misc/carray.c,279,FP,sizeof(azCarrayType) at line 279 operates on the genuine file-scope array not a decayed parameter so the element-count idiom is correct; ARR01 misfires treating the global array as a param,b14-adjudicator,high
ARR01-C,25,sqlite,ext/misc/carray.c,279,FP,duplicate of idx24 same line; sizeof on the real file-scope array is valid not a decayed parameter,b14-adjudicator,high
ARR39-C,26,sqlite,ext/misc/carray.c,279,FP,line 279 loop bound sizeof(azCarrayType)/sizeof(azCarrayType[0]) is the correct element count idiom and azCarrayType is a real array not a pointer; no double scaling,b14-adjudicator,high
ARR01-C,27,sqlite,ext/misc/carray.c,282,FP,line 282 sizeof on real file-scope azCarrayType array is correct; not a decayed parameter,b14-adjudicator,high
ARR01-C,28,sqlite,ext/misc/carray.c,282,FP,duplicate of idx27 same line; sizeof on real global array is correct,b14-adjudicator,high
