rule,idx,project,file,line,verdict,reason,provenance,confidence
MSC37-C,0,sqlite,src/printf.c,74,FP,"Line 74 is inside #if 0...#endif (dead TCL script in a comment-like block); not C code, sqc misparsed TCL foreach as a function",,high
MSC37-C,1,sqlite,src/printf.c,74,FP,Same dead #if 0 TCL script line 74; not compiled C,,high
EXP33-C,2,sqlite,src/printf.c,75,FP,"Line 75 is TCL (scan $c %c x) inside #if 0; not C, 'c' is a TCL loop var",,high
MEM05-C,3,sqlite,src/printf.c,78,FP,Line 78 TCL llength inside #if 0; no VLA exists in compiled code,,high
EXP33-C,4,sqlite,src/printf.c,81,FP,Line 81 TCL set mx 27 inside #if 0; not C,,high
MSC37-C,5,sqlite,src/printf.c,83,FP,Line 83 TCL for loop inside #if 0; not C,,high
INT10-C,6,sqlite,src/printf.c,84,FP,"Line 84 TCL format inside #if 0; not C, no modulo on signed C operand",,high
INT33-C,7,sqlite,src/printf.c,84,FP,"Line 84 TCL inside #if 0; $r is a TCL var, no C division",,high
ARR32-C,8,sqlite,src/printf.c,85,FP,Line 85 TCL foreach inside #if 0; no C VLA named array,,high
MSC37-C,9,sqlite,src/printf.c,85,FP,Line 85 dead TCL inside #if 0,,high
DCL31-C,10,sqlite,src/printf.c,86,FP,"Line 86 TCL inside #if 0; $n is a TCL array, not a C function call",,high
EXP16-C,11,sqlite,src/printf.c,86,FP,Line 86 TCL conditional inside #if 0; not C,,high
INT10-C,12,sqlite,src/printf.c,86,FP,Line 86 TCL modulo inside #if 0; not C,,high
INT33-C,13,sqlite,src/printf.c,86,FP,"Line 86 TCL inside #if 0; $mx is TCL var, no C division",,high
API00-C,14,sqlite,src/printf.c,129,FP,"sqlite3StrAccumSetError contract requires non-null p; all internal callers pass valid StrAccum, assert validates eError not p by design",,high
INT32-C,15,sqlite,src/printf.c,141,FP,"p->nUsed++ at 141 guarded by p->nArg<=p->nUsed return at 140; nUsed bounded by nArg, no INT_MAX reach",,high
INT32-C,16,sqlite,src/printf.c,145,FP,nUsed++ at 145 guarded by nArg<=nUsed check at 144; bounded,,high
INT32-C,17,sqlite,src/printf.c,149,FP,nUsed++ at 149 guarded by nArg<=nUsed check at 148; bounded,,high
DCL30-C,18,sqlite,src/printf.c,172,FP,printfTempBuf returns z which is sqlite3DbMallocRaw heap pointer not a local automatic; sqc misread 'char *z' decl as the returned object,,high
API00-C,19,sqlite,src/printf.c,194,FP,"sqlite3_str_vappendf is public API; pAccum non-null is documented caller contract, deref'd via assert at 232",,high
API00-C,20,sqlite,src/printf.c,194,FP,fmt non-null is caller contract; sqc flags param-validation on a public printf-family API where null fmt is UB by spec not a sqc-fixable defect,,high
