rule,project,file,line,verdict,reason,provenance,confidence
MSC17-C,curl,lib/cf-h1-proxy.c,157,FP,"case body ends with FALLTHROUGH() which expands to __attribute__((fallthrough))",delta_msc17_task534,high
MSC17-C,curl,lib/cf-h1-proxy.c,579,FP,"case H1_TUNNEL_INIT ends with h1_tunnel_go_state() then FALLTHROUGH() attribute marker",delta_msc17_task534,high
MSC17-C,curl,lib/cf-h1-proxy.c,588,FP,"case H1_TUNNEL_CONNECT ends with h1_tunnel_go_state() then FALLTHROUGH() attribute marker",delta_msc17_task534,high
MSC17-C,curl,lib/cf-h1-proxy.c,597,FP,"case H1_TUNNEL_RECEIVE ends with h1_tunnel_go_state() then FALLTHROUGH() attribute marker",delta_msc17_task534,high
MSC17-C,curl,lib/cf-h2-proxy.c,147,FP,"case H2_TUNNEL_ESTABLISHED ends with FALLTHROUGH() attribute marker before H2_TUNNEL_FAILED",delta_msc17_task534,high
MSC17-C,curl,lib/cf-h2-proxy.c,828,FP,"case H2_TUNNEL_INIT ends with h2_tunnel_go_state() then FALLTHROUGH() attribute marker",delta_msc17_task534,high
MSC17-C,curl,lib/cf-h2-proxy.c,837,FP,"case H2_TUNNEL_CONNECT if/else sets result and either breaks or goto out, and the reachable path ends in explicit FALLTHROUGH() attribute marker before H2_TUNNEL_RESPONSE",delta_msc17_task534,high
MSC17-C,curl,lib/cf-h2-proxy.c,1416,FP,"case CF_QUERY_NEED_FLUSH's compound body ends in an explicit break (checker only inspected the outer block, not the nested break inside braces)",delta_msc17_task534,high
MSC17-C,curl,lib/cf-h2-proxy.c,1425,FP,"case CF_QUERY_ALPN_NEGOTIATED's compound body ends in return CURLE_OK inside braces, so control never reaches default",delta_msc17_task534,high
MSC17-C,curl,lib/cf-haproxy.c,118,FP,"case HAPROXY_INIT ends with FALLTHROUGH() attribute marker before HAPROXY_SEND",delta_msc17_task534,high
MSC17-C,curl,lib/cf-haproxy.c,124,FP,"case HAPROXY_SEND ends with ctx->state assignment then FALLTHROUGH() attribute marker before default",delta_msc17_task534,high
MSC17-C,curl,lib/cf-https-connect.c,308,FP,"case CF_HC_INIT ends with FALLTHROUGH() attribute marker before CF_HC_CONNECT",delta_msc17_task534,high
MSC17-C,curl,lib/cf-https-connect.c,489,FP,"case CF_QUERY_TIMER_CONNECT's compound body ends in return CURLE_OK inside braces, so control never reaches the next case",delta_msc17_task534,high
MSC17-C,curl,lib/cf-https-connect.c,494,FP,"case CF_QUERY_TIMER_APPCONNECT's compound body ends in return CURLE_OK inside braces, so control never reaches default",delta_msc17_task534,high
MSC17-C,curl,lib/cf-https-connect.c,499,FP,"case CF_QUERY_NEED_FLUSH's compound body ends in an explicit break inside braces after a for-loop, so control never falls into default",delta_msc17_task534,high
MSC17-C,curl,lib/cf-ip-happy.c,778,FP,"case SCFST_INIT ends with ctx->state assignment then FALLTHROUGH() attribute marker before SCFST_WAITING",delta_msc17_task534,high
MSC17-C,curl,lib/cf-ip-happy.c,863,FP,"case CF_QUERY_CONNECT_REPLY_MS's compound body ends in return CURLE_OK inside braces, so control never reaches the next case",delta_msc17_task534,high
MSC17-C,curl,lib/cf-ip-happy.c,868,FP,"case CF_QUERY_TIMER_CONNECT's compound body ends in return CURLE_OK inside braces, so control never reaches the next case",delta_msc17_task534,high
MSC17-C,curl,lib/cf-ip-happy.c,874,FP,"case CF_QUERY_TIMER_APPCONNECT's compound body ends in return CURLE_OK inside braces, so control never reaches default",delta_msc17_task534,high
MSC17-C,curl,lib/cf-socket.c,1648,FP,"case CF_QUERY_TIMER_CONNECT's braced body contains a nested switch (with its own FALLTHROUGH() marker) and the outer block ends in return CURLE_OK, so control never reaches the next outer case",delta_msc17_task534,high
MSC17-C,curl,lib/cf-socket.c,1652,FP,"nested case TRNSPRT_QUIC ends with an explicit FALLTHROUGH() attribute marker into default",delta_msc17_task534,high
MSC17-C,curl,lib/connect.c,225,FP,"case AF_INET body actually ends in an explicit break statement at line 231, so it does not fall through to AF_INET6 at all",delta_msc17_task534,high
MSC17-C,curl,lib/content_encoding.c,375,FP,"BROTLI_DECODER_ERROR_FORMAT_PADDING_2 is one of a long chain of empty case labels stacked to share the same return CURLE_BAD_CONTENT_ENCODING body, a standard multi-value case grouping with no statements to skip, not an unintentional fallthrough",delta_msc17_task534,high
MSC17-C,curl,lib/cookie.c,708,FP,"case 2's path-parsing branch ends with fields++ and an explicit FALLTHROUGH() attribute marker (also accompanied by a comment saying 'fall down to secure') before case 3",delta_msc17_task534,high
MSC17-C,curl,lib/curl_gssapi.c,181,FP,"case STUB_GSS_KRB5 is an if/else where the if-branch ends in break and the else-branch ends in return GSS_S_FAILURE, so every path terminates before the next case",delta_msc17_task534,high
MSC17-C,curl,lib/curl_sasl.c,647,FP,"case SASL_EXTERNAL body actually ends in an explicit break statement at line 649, so it does not fall through to SASL_GSASL at all",delta_msc17_task534,high
MSC17-C,curl,lib/curl_sasl.c,779,FP,"if/else-if/else branches end in return, break, and return respectively so no branch falls through",delta_msc17_task534,high
MSC17-C,curl,lib/doh.c,675,FP,case CURL_DNS_TYPE_AAAA body ends in an explicit break statement,delta_msc17_task534,high
MSC17-C,curl,lib/doh.c,1016,FP,case CURL_DNS_TYPE_AAAA body is a single return \"AAAA\" statement,delta_msc17_task534,high
MSC17-C,curl,lib/formdata.c,370,FP,case CURLFORM_PTRNAME ends with the FALLTHROUGH() attribute macro marking the fallthrough intentional,delta_msc17_task534,high
MSC17-C,curl,lib/formdata.c,394,FP,case CURLFORM_PTRCONTENTS ends with the FALLTHROUGH() attribute macro marking the fallthrough intentional,delta_msc17_task534,high
MSC17-C,curl,lib/formdata.c,542,FP,case CURLFORM_CONTENTHEADER body is a compound block whose last statement is break; the checker missed it because the top-level statement is the block not the break,delta_msc17_task534,high
MSC17-C,curl,lib/ftp.c,262,FP,default: label is immediately followed by case FTPFILE_MULTICWD with no statements in between (stacked empty case labels),delta_msc17_task534,high
MSC17-C,curl,lib/ftp.c,1258,FP,case AF_INET body ends in an explicit break statement,delta_msc17_task534,high
MSC17-C,curl,lib/ftp.c,3665,FP,case CURLE_WRITE_ERROR is an empty stacked label immediately followed by case CURLE_OK with no statements in between,delta_msc17_task534,high
MSC17-C,curl,lib/ftp.c,3667,FP,case CURLE_OK falls to default only via the explicit FALLTHROUGH() attribute macro after the premature check,delta_msc17_task534,high
MSC17-C,curl,lib/ftp.c,4035,FP,case CURLWC_MATCHING body is a compound block whose every path ends in continue or return,delta_msc17_task534,high
MSC17-C,curl,lib/ftp.c,4058,FP,case CURLWC_DOWNLOADING body is a compound block whose every path ends in return,delta_msc17_task534,high
MSC17-C,curl,lib/ftp.c,4114,FP,case CURLWC_SKIP body is a compound block that ends in continue;,delta_msc17_task534,high
MSC17-C,curl,lib/ftp.c,4126,FP,case CURLWC_CLEAN body is a compound block that ends in return result;,delta_msc17_task534,high
MSC17-C,curl,lib/ftp.c,4386,FP,case 'I' is an empty stacked label immediately followed by default: with no statements in between,delta_msc17_task534,high
MSC17-C,curl,lib/ftplistparser.c,838,FP,case PL_UNIX_TOTALSIZE falls to PL_UNIX_FILETYPE only via the explicit FALLTHROUGH() attribute macro,delta_msc17_task534,high
MSC17-C,curl,lib/getinfo.c,112,FP,default: label is immediately followed by case HTTPREQ_GET with no statements in between (stacked empty case labels),delta_msc17_task534,high
MSC17-C,curl,lib/getinfo.c,320,FP,case CURLINFO_CONDITION_UNMET body ends in an explicit break statement,delta_msc17_task534,high
MSC17-C,curl,lib/hostip.c,210,FP,case AF_INET body is a compound block ending in an explicit break statement,delta_msc17_task534,high
MSC17-C,curl,lib/http.c,1496,FP,case EXP100_AWAITING_CONTINUE falls to default only via the explicit FALLTHROUGH() attribute macro,delta_msc17_task534,high
MSC17-C,curl,lib/http.c,1959,FP,default: label is immediately followed by case HTTPREQ_GET with no statements in between (stacked empty case labels),delta_msc17_task534,high
MSC17-C,curl,lib/http.c,2279,FP,case HTTPREQ_PUT body is a single ternary return statement,delta_msc17_task534,high
MSC17-C,curl,lib/http.c,2881,FP,case H1_HD_HOST body ends in an explicit break statement,delta_msc17_task534,high
MSC17-C,curl,lib/http.c,2933,FP,case H1_HD_REFERER body ends in an explicit break statement,delta_msc17_task534,high
MSC17-C,curl,lib/http.c,2951,FP,case H1_HD_TRANSFER_ENCODING body ends in an explicit break statement,delta_msc17_task534,high
MSC17-C,curl,lib/http.c,2994,FP,case H1_HD_CONNECTION body is a compound block ending in an explicit break statement,delta_msc17_task534,high
MSC17-C,curl,lib/http.c,3775,FP,"case 304 ends with FALLTHROUGH() macro before case 204, an explicit fallthrough marker",delta_msc17_task534,high
MSC17-C,curl,lib/http.c,3928,FP,"case 101 body ends with a comment and break; after the nested switch(upgr101_requested) closes, no fallthrough occurs",delta_msc17_task534,high
MSC17-C,curl,lib/http.c,3946,FP,"case UPGR101_H2 ends with *pconsumed += blen; break;, a real break statement",delta_msc17_task534,high
MSC17-C,curl,lib/http2.c,1053,FP,"case NGHTTP2_DATA body is a single return curl_msnprintf(...) statement, control cannot fall through",delta_msc17_task534,high
MSC17-C,curl,lib/http2.c,1060,FP,"case NGHTTP2_HEADERS body is a single return curl_msnprintf(...) statement",delta_msc17_task534,high
