rule,project,file,line,verdict,reason,provenance,confidence
EXP33-C,sqlite,ext/misc/spellfix.c,755,FP,"pStmt is set via the address-of output parameter in sqlite3_prepare(db, zSql, -1, &pStmt, 0) at line 751, and the function returns early at line 753 if rc!=0, so on every path reaching sqlite3_step(pStmt) at 755 pStmt was already assigned by prepare's out-param.",exp33_delta_adjudication_0.4.207,high
EXP33-C,sqlite,ext/rtree/rtree.c,3341,FP,"p is set via the output parameter in sqlite3_prepare_v2(db, zSql, -1, &p, 0) at line 3339, and sqlite3_step(p) at 3341 is only reached inside the if(rc==SQLITE_OK) block guarding that same call, so p is always initialized when read.",exp33_delta_adjudication_0.4.207,high
EXP33-C,sqlite,src/btree.c,2810,FP,"pBt starts NULL at line 2536 but on every path reaching the rc==SQLITE_OK branch at line 2800 it was already set: either found non-null in the shared-cache search loop (line 2638) or allocated at line 2673 with a goto btree_open_out on failure, so sqlite3PagerFile(pBt->pPager) at 2810 always sees a non-null pBt.",exp33_delta_adjudication_0.4.207,high
EXP33-C,sqlite,src/os.c,374,FP,"mutex is declared and assigned only under #if SQLITE_THREADSAFE (lines 365/372) and read unconditionally via sqlite3_mutex_enter(mutex) at 374; under a threadsafe build mutex is set unconditionally before use, and under a non-threadsafe build sqlite3_mutex_enter expands to a no-op macro that never evaluates its argument, so there is no real build configuration where an uninitialized mutex is actually read.",exp33_delta_adjudication_0.4.207,high
EXP33-C,sqlite,src/random.c,87,FP,"Same #if SQLITE_THREADSAFE-guarded declare/assign/use idiom as os.c: mutex is set at line 84 under the identical guard as its use at line 87, and when SQLITE_THREADSAFE is 0 sqlite3_mutex_enter(mutex) compiles to a no-op that never evaluates mutex.",exp33_delta_adjudication_0.4.207,high
EXP33-C,sqlite,src/vdbe.c,1100,FP,"nProgressLimit is set unconditionally before the main for(;;) loop begins, at line 885 (db->xProgress true) or line 887 (else branch), so every iteration's read at line 1100 inside check_for_interrupt sees a value set once pre-loop.",exp33_delta_adjudication_0.4.207,high
EXP33-C,sqlite,src/vdbe.c,1204,FP,"Line 1204 is only pCaller's declaration; it is assigned at line 1208 (pCaller = &aOp[pIn1->u.i];) before its first genuine read at line 1209, with no intervening branch in the OP_EndCoroutine case block.",exp33_delta_adjudication_0.4.207,high
EXP33-C,sqlite,src/vdbe.c,1294,FP,"Line 1294 is only pFrame's declaration; it is assigned at line 1311 (pFrame = p->pFrame;) and only ever read later inside that same if(p->pFrame && pOp->p1==SQLITE_OK) block at lines 1312/1315, never read outside that guard.",exp33_delta_adjudication_0.4.207,high
EXP33-C,sqlite,src/vdbe.c,1334,FP,"Line 1334 is only zErr's declaration; it is assigned at line 1336 (zErr = sqlite3ValueText(...);) immediately before its only read at line 1337, straight-line with no intervening branch.",exp33_delta_adjudication_0.4.207,high
EXP33-C,sqlite,src/vdbe.c,1576,FP,"Line 1576 is only pVar's declaration; it is assigned at line 1579 (pVar = &p->aVar[pOp->p1 - 1];) immediately before its first read at line 1580 (sqlite3VdbeMemTooBig(pVar)), straight-line with no intervening branch.",exp33_delta_adjudication_0.4.207,high
