rule,idx,project,file,line,verdict,reason,provenance,confidence
EXP30-C,0,sqlite,src/treeview.c,30,FP,line 30 p assigned via *pp=p=malloc then null-checked next line then memset; assignment-before-use across sequence point not a real EXP30 defect,,high
EXP34-C,1,sqlite,src/treeview.c,30,FP,line 30 result of sqlite3_malloc64 checked for 0 on line 31 before any deref so no null deref,,high
INT32-C,2,sqlite,src/treeview.c,34,FP,p->iLevel bounded by tree-recursion depth (a few dozen); never approaches INT_MAX,,high
INT32-C,3,sqlite,src/treeview.c,46,FP,iLevel-- only reached when iLevel>=0 after a matching Push; bounded counter cannot underflow INT_MIN,,high
API00-C,4,sqlite,src/treeview.c,57,FP,sqlite3TreeViewLine explicitly guards body with if(p) on line 63 and tolerates p==0,,high
DCL13-C,5,sqlite,src/treeview.c,57,FP,sqlite3TreeViewLine signature is part of the printf-style public debug API and p is used read-only but const would not change ABI and is stylistic only; pointer is passed by value not mutated yet flagged as defect incorrectly,,high
ARR01-C,6,sqlite,src/treeview.c,64,FP,p->bLine is a real fixed array member of struct TreeView not a decayed parameter so sizeof is correct,,high
FIO47-C,7,sqlite,src/treeview.c,77,FP,zBuf is char zBuf[1000] decaying to char* which matches %s; analyzer misread array as integer,,high
ERR33-C,8,sqlite,src/treeview.c,78,FP,fflush(stdout) in a debug-only pretty-printer; ignoring return is benign for diagnostic output but technically ERR33; debug code so FP in practice,,low
API00-C,9,sqlite,src/treeview.c,92,FP,"pView tolerates null throughout (Push mallocs, Line guards if(p)); no unchecked deref",,high
API00-C,10,sqlite,src/treeview.c,92,FP,aCol indexed 0..nCol-1 by caller contract from a valid Table; loop bounded by nCol; not a trust boundary,,high
API00-C,11,sqlite,src/treeview.c,92,FP,nCol is i16 column count schema-bounded (<=32767); loop arithmetic cannot overflow,,high
DCL11-C,12,sqlite,src/treeview.c,128,FP,flg is u16 promoted to int then unsigned for %x varargs; standard promotion fully safe,,high
ERR33-C,13,sqlite,src/treeview.c,130,FP,debug-only fflush return ignored; benign,,low
API00-C,14,sqlite,src/treeview.c,139,FP,pWith==0 returns early line 141; pView tolerated null by callees; no unchecked deref,,high
MSC04-C,15,sqlite,src/treeview.c,139,TP,genuine mutual recursion sqlite3TreeViewWith->Select->With confirmed in source,,high
