rule,idx,project,file,line,verdict,reason,provenance,confidence
MSC37-C,0,sqlite,src/mem5.c,92,FP,"Line 92 is the head of the Mem5Global struct definition, not a function body; MSC37 misparse of SQLITE_WSD struct",,high
ENV01-C,1,sqlite,src/mem5.c,124,FP,"Line 124 aiFreelist[LOGMAX+1] is a fixed compile-time array member, no environment variable involved",,high
MEM05-C,2,sqlite,src/mem5.c,124,FP,"aiFreelist[LOGMAX+1] size is a macro constant, not a runtime-sized VLA",,high
ARR00-C,3,sqlite,src/mem5.c,153,FP,memsys5Unlink i is asserted i>=0 && i<mem5.nBlock at line 151 and callers are internal with the invariant,,high
ARR00-C,4,sqlite,src/mem5.c,158,FP,iLogsize asserted iLogsize>=0 && iLogsize<=LOGMAX at line 152 bounding aiFreelist index,,high
ARR00-C,5,sqlite,src/mem5.c,176,FP,memsys5Link i asserted i>=0 && i<mem5.nBlock at line 174 under held mutex,,high
ARR00-C,6,sqlite,src/mem5.c,178,FP,iLogsize asserted 0..LOGMAX at line 175 bounding aiFreelist[iLogsize],,high
ARR00-C,7,sqlite,src/mem5.c,184,FP,same iLogsize 0..LOGMAX assert governs the write at line 184,,high
DCL13-C,8,sqlite,src/mem5.c,201,FP,memsys5Size signature is fixed by sqlite3_mem_methods.xSize typedef int(*)(void*) so const param would break the methods table,,high
FLP03-C,9,sqlite,src/mem5.c,204,FP,"Line 204 is integer division of pointer offset by szAtom, no floating point present",,high
INT14-C,10,sqlite,src/mem5.c,204,FP,"mem5 is a struct accessed via member; szAtom set >=8 in init, bit/arith mix is intended size-class math",,high
INT33-C,11,sqlite,src/mem5.c,204,FP,"mem5.szAtom is always >=8 (forced up to >=sizeof(Mem5Link) in init), divisor never zero",,high
INT14-C,12,sqlite,src/mem5.c,206,FP,CTRL_LOGSIZE is a 0x1f mask constant; mixing mask and arithmetic is the intended size-class decode,,high
INT14-C,13,sqlite,src/mem5.c,206,FP,i is an in-bounds block index; bit/arith mix is intended pool addressing,,high
INT32-C,14,sqlite,src/mem5.c,206,FP,aCtrl&CTRL_LOGSIZE caps shift to <=31 and actual logsize bounded by LOGMAX(30); intended size math,,high
INT32-C,15,sqlite,src/mem5.c,259,FP,"iBin>iLogsize>=0 loop guard ensures iBin>0 before iBin--, never reaches INT_MIN",,high
INT13-C,16,sqlite,src/mem5.c,260,FP,iBin bounded 0..LOGMAX; signed shift of small size-class value is intended buddy-split math,,high
INT32-C,17,sqlite,src/mem5.c,260,FP,1<<iBin with iBin<=LOGMAX(30) cannot overflow a 32-bit int; intended,,high
INT13-C,18,sqlite,src/mem5.c,261,FP,"iBin used as size-class index, value <=LOGMAX; OR with CTRL_FREE is intended aCtrl encoding",,high
INT32-C,19,sqlite,src/mem5.c,261,FP,i+newSize is an in-pool block index bounded by the free block just unlinked; intended,,high
INT32-C,20,sqlite,src/mem5.c,262,FP,same i+newSize bounded block index used as aCtrl subscript; intended,,high
INT32-C,21,sqlite,src/mem5.c,270,FP,iFullSz-nByte is debug-only fragmentation stat with iFullSz>=nByte by construction,,high
INT31-C,22,sqlite,src/mem5.c,280,FP,"iFullSz is a positive power-of-two allocation size; memset under SQLITE_DEBUG only, no truncation risk",,high
DCL13-C,23,sqlite,src/mem5.c,290,TP,memsys5FreeUnsafe pOld is only read for pointer arithmetic never written through and is internal static not bound by a methods typedef so const void* would compile,,med
FLP03-C,24,sqlite,src/mem5.c,297,FP,"Line 297 is integer division by szAtom, no floating point",,high
INT14-C,25,sqlite,src/mem5.c,297,FP,mem5 struct member access; bit/arith size-class math is intended,,high
INT33-C,26,sqlite,src/mem5.c,297,FP,"mem5.szAtom always >=8, divisor never zero",,high
INT33-C,27,sqlite,src/mem5.c,301,FP,"mem5.szAtom always >=8, modulo divisor never zero",,high
INT14-C,28,sqlite,src/mem5.c,302,FP,iBlock is in-bounds block index; bit/arith mix is intended,,high
INT13-C,29,sqlite,src/mem5.c,305,FP,iLogsize is masked from aCtrl (<=31) and <LOGMAX in this loop; intended shift,,high
INT32-C,30,sqlite,src/mem5.c,305,FP,1<<iLogsize bounded by LOGMAX cannot overflow; intended buddy size,,high
INT13-C,31,sqlite,src/mem5.c,320,FP,iLogsize size-class value ORed with CTRL_FREE is the intended aCtrl encoding,,high
INT13-C,32,sqlite,src/mem5.c,323,FP,iBlock>>iLogsize uses a bounded in-pool index; intended buddy address math,,high
INT34-C,33,sqlite,src/mem5.c,323,FP,iLogsize is u32 derived from CTRL_LOGSIZE mask (<=31) and <LOGMAX; shift amount always valid,,high
INT13-C,34,sqlite,src/mem5.c,330,FP,iLogsize ORed with CTRL_FREE is the intended aCtrl byte encoding,,high
INT13-C,35,sqlite,src/mem5.c,334,FP,same intended CTRL_FREE|iLogsize encoding,,high
INT13-C,36,sqlite,src/mem5.c,338,FP,same intended CTRL_FREE|iLogsize encoding,,high
