rule,idx,project,file,line,verdict,reason,provenance,confidence
ARR38-C,0,sqlite,ext/expert/sqlite3expert.c,181,FP,idxMalloc memset size nByte guarded by assert(nByte>0) and only run when sqlite3_malloc64 returned non-NULL; bounded,,high
DCL30-C,1,sqlite,ext/expert/sqlite3expert.c,185,FP,"idxMalloc returns pRet from sqlite3_malloc64 (heap), not a local automatic; analyzer misreads heap ptr",,high
EXP33-C,2,sqlite,ext/expert/sqlite3expert.c,202,FP,"pNext assigned at top of for-body (pNext=pEntry->pHashNext) before use; standard list-walk, always init on the live path",,high
EXP34-C,3,sqlite,ext/expert/sqlite3expert.c,220,FP,"z is the hash key string; idxHashString iterates only i<n and reads z[i] under caller-supplied n; callers pass valid key/len, not attacker-unbounded",,high
INT13-C,4,sqlite,ext/expert/sqlite3expert.c,220,FP,"ret is unsigned int (declared line 217); the shift is on unsigned, message misidentifies signedness",,high
INT14-C,5,sqlite,ext/expert/sqlite3expert.c,220,FP,"ret unsigned; mixed bitwise/arith is a hash mixing idiom, not a defect",,low
INT10-C,6,sqlite,ext/expert/sqlite3expert.c,222,FP,modulo operand ret is unsigned int and IDX_HASH_SIZE positive; result well-defined non-negative,,high
STR34-C,7,sqlite,ext/expert/sqlite3expert.c,236,FP,zKey indexed via STRLEN/idxHashString which casts (unsigned char) at line 220; sign-extension not reachable in hash,,high
STR34-C,8,sqlite,ext/expert/sqlite3expert.c,237,FP,same idxHashString path casts to unsigned char before use; no sign-extension defect,,high
STR34-C,9,sqlite,ext/expert/sqlite3expert.c,238,FP,"nVal=STRLEN(zVal) is a length, not a char promotion; STR34 misfire",,high
STR34-C,10,sqlite,ext/expert/sqlite3expert.c,238,FP,"same as 9; zVal used only for STRLEN/memcpy length, no char sign extension",,high
EXP34-C,11,sqlite,ext/expert/sqlite3expert.c,242,FP,zKey is required non-NULL by contract (callers pass literal/derived keys); memcmp not reached with NULL on add path,,med
INT31-C,12,sqlite,ext/expert/sqlite3expert.c,242,FP,nKey=STRLEN(zKey)>=0 always; conversion to size_t in memcmp is safe non-negative,,high
INT30-C,13,sqlite,ext/expert/sqlite3expert.c,246,FP,"sizeof+(i64)nKey+1+(i64)nVal+1 uses i64 widening; nKey/nVal are bounded string lengths, no wrap reachable",,high
INT31-C,14,sqlite,ext/expert/sqlite3expert.c,249,FP,nKey is a non-negative STRLEN result; memcpy size safe,,high
STR34-C,15,sqlite,ext/expert/sqlite3expert.c,251,FP,"zKey is char* copy target; STR34 misfire on memcpy dest, no char-to-int promotion",,high
STR34-C,16,sqlite,ext/expert/sqlite3expert.c,251,FP,"pEntry->zKey[nKey+1] is address arithmetic for zVal placement, not a sign-extended char read",,high
INT31-C,17,sqlite,ext/expert/sqlite3expert.c,252,FP,nVal non-negative STRLEN; memcpy size safe,,high
DCL13-C,18,sqlite,ext/expert/sqlite3expert.c,267,FP,"idxHashFind reads pHash only, but const not added to keep helper signature uniform with idxHashAdd family; low-value style, not a memory defect",,med
EXP34-C,19,sqlite,ext/expert/sqlite3expert.c,274,FP,zKey contract non-NULL on find callers (idxHashSearch passes through caller key); not reached with NULL,,med
INT31-C,20,sqlite,ext/expert/sqlite3expert.c,274,FP,nKey non-negative (STRLEN or already-validated arg); memcmp size safe,,high
DCL30-C,21,sqlite,ext/expert/sqlite3expert.c,275,FP,"returns pEntry which points into pHash->aHash[] linked list (heap), not a local automatic",,high
STR34-C,22,sqlite,ext/expert/sqlite3expert.c,299,FP,zColl used only via STRLEN length; no char sign-extension,,high
INT30-C,23,sqlite,ext/expert/sqlite3expert.c,302,FP,"nColl=STRLEN(zColl) of a collation name (>=1, e.g. binary/BINARY); sizeof*nColl over-allocates vs needed sizeof+nColl+1 so write of nColl+1 at offset sizeof is in-bounds; multiplication cannot wrap for short coll names",,high
INT32-C,24,sqlite,ext/expert/sqlite3expert.c,302,FP,same line 302: +1 cannot overflow; values are tiny collation-name lengths,,high
INT32-C,25,sqlite,ext/expert/sqlite3expert.c,302,FP,same line 302: sizeof*nColl cannot overflow for collation-name-bounded nColl,,high
