rule,idx,project,file,line,verdict,reason,provenance,confidence
ARR02-C,0,sqlite,ext/misc/spellfix.c,75,FP,"midClass[] is a const lookup table fully initialized by aggregate initializer indexed only by c&0x7f (0..127); 128 entries present, size implicit-but-complete",,high
ARR02-C,1,sqlite,ext/misc/spellfix.c,125,FP,initClass[] same const fully-initialized 128-entry table indexed by c&0x7f; no out-of-bounds possible,,high
STR04-C,2,sqlite,ext/misc/spellfix.c,176,FP,className/midClass are intentional unsigned char tables holding small class codes used as values not text; STR04 style-only and contract-correct,,high
INT32-C,3,sqlite,ext/misc/spellfix.c,195,FP,nIn is sqlite3_value_bytes byte count bounded by SQLITE_MAX_LENGTH (<2GB) so nIn+1 cannot overflow int; sqlite3_malloc64 takes 64-bit arg,,high
ARR00-C,4,sqlite,ext/misc/spellfix.c,212,FP,"nIn is a real parameter (sqlite3_value_bytes result), fully initialized before the loop; analyzer misread it as uninitialized",,high
DCL00-C,5,sqlite,ext/misc/spellfix.c,213,FP,"c is reassigned repeatedly inside the loop (c=aClass[c&0x7f] etc); not a const candidate, DCL00 misfire",,high
INT30-C,6,sqlite,ext/misc/spellfix.c,214,FP,"i is int loop counter bounded by nIn (byte length <2GB); i+1 compared only as array guard, no wrap",,high
INT30-C,7,sqlite,ext/misc/spellfix.c,215,FP,"same bounded int loop index i; i+1 used as zIn index after i+1<nIn guard, no wrap",,high
INT30-C,8,sqlite,ext/misc/spellfix.c,216,FP,"bounded int i, guarded by i+1<nIn before zIn[i+1] access, no overflow",,high
INT30-C,9,sqlite,ext/misc/spellfix.c,216,FP,"same line guarded i+1<nIn, bounded loop index",,high
INT30-C,10,sqlite,ext/misc/spellfix.c,217,FP,"i+2 used only inside the i+2<nIn guard; bounded, no overflow",,high
INT30-C,11,sqlite,ext/misc/spellfix.c,218,FP,"i+1 inside i+2<nIn guard, bounded",,high
INT30-C,12,sqlite,ext/misc/spellfix.c,218,FP,"i+2 inside i+2<nIn guard, bounded",,high
INT13-C,13,sqlite,ext/misc/spellfix.c,221,FP,"c is unsigned char here (declared unsigned char c at line 213); c&0x7f is well-defined, not a signed-char op",,high
ARR00-C,14,sqlite,ext/misc/spellfix.c,239,FP,"zOut is a sqlite3_malloc64 heap pointer not a local array; returning it is correct ownership transfer, not dangling",,high
DCL13-C,15,sqlite,ext/misc/spellfix.c,249,FP,argv signature fixed by sqlite3 scalar-function callback typedef (sqlite3_value**); cannot be const-qualified,,high
INT13-C,16,sqlite,ext/misc/spellfix.c,269,FP,c is the char parameter but indexes initClass[c&0x7f] which masks to 0..127; &0x7f makes index well-defined regardless of sign,,high
INT13-C,17,sqlite,ext/misc/spellfix.c,269,FP,"same masked index midClass[c&0x7f]; well-defined, signedness irrelevant after mask",,high
EXP43-C,18,sqlite,ext/misc/spellfix.c,292,FP,"characterClass(cPrev,cPrev) passes same value not same pointer; scalar char args by value, no restrict/aliasing UB",,high
MEM05-C,19,sqlite,ext/misc/spellfix.c,375,FP,"mStack is a fixed int[75] stack array not a VLA; chosen only when nB is small enough to fit, else malloc path used",,high
INT32-C,20,sqlite,ext/misc/spellfix.c,381,FP,nMatch counts common-prefix bytes bounded by string length <2GB; cannot reach INT_MAX,,high
