rule,project,file,line,verdict,reason,provenance,confidence
ARR37-C,sqlite,ext/expert/sqlite3expert.c,1228,FP,"Subscript operation 'zIdx[nIdx]' on non-array pointer 'zIdx'. Subscript notation implies array access -- zIdx is assigned 'zIdx = &zDetail[i+13]' (or +22), an address-of-subscript into the zDetail text buffer returned by sqlite3_column_text, so it is array-backed and the loop bound (nDetail) guards the walk",delta_arr37_task538,high
ARR37-C,sqlite,ext/fts3/fts3.c,1142,FP,"Compound assignment 'p += n' on non-array pointer 'p' -- p is assigned 'p = (char *)&azCol[nCol]', an address-of-subscript into the azCol buffer that was malloc'd with extra trailing space for the column-name strings, so p is array-backed",delta_arr37_task538,high
ARR37-C,sqlite,ext/fts3/fts3.c,1448,FP,"Compound assignment 'zCsr += nName' on non-array pointer 'zCsr' -- zCsr is assigned 'zCsr = (char *)&p->abNotindexed[nCol]', an address-of-subscript into the single malloc64'd Fts3Table allocation whose size (nByte) explicitly reserves trailing 'Space for azColumn strings', so zCsr walks a real array region",delta_arr37_task538,high
ARR37-C,sqlite,ext/fts3/fts3.c,1451,FP,"Compound assignment 'zCsr += nDb' on non-array pointer 'zCsr' -- zCsr is assigned 'zCsr = (char *)&p->abNotindexed[nCol]', an address-of-subscript into the single malloc64'd Fts3Table allocation whose size (nByte) explicitly reserves trailing 'Space for azColumn strings', so zCsr walks a real array region",delta_arr37_task538,high
ARR37-C,sqlite,ext/fts3/fts3.c,1461,FP,"Subscript operation 'zCsr[n]' on non-array pointer 'zCsr'. Subscript notation implies array access -- zCsr is assigned 'zCsr = (char *)&p->abNotindexed[nCol]', an address-of-subscript into the single malloc64'd Fts3Table allocation whose size (nByte) explicitly reserves trailing 'Space for azColumn strings', so zCsr walks a real array region",delta_arr37_task538,high
ARR37-C,sqlite,ext/fts3/fts3.c,1464,FP,"Compound assignment 'zCsr += n+1' on non-array pointer 'zCsr' -- zCsr is assigned 'zCsr = (char *)&p->abNotindexed[nCol]', an address-of-subscript into the single malloc64'd Fts3Table allocation whose size (nByte) explicitly reserves trailing 'Space for azColumn strings', so zCsr walks a real array region",delta_arr37_task538,high
ARR37-C,sqlite,ext/fts3/fts3.c,2108,FP,"Compound assignment 'p += n' on non-array pointer 'p' -- p is 'char *p = *pp' where *pp is the caller-supplied preallocated output buffer pointer documented in fts3PoslistCopy/fts3ColumnlistCopy's header comment, i.e. a buffer/array pointer passed by reference",delta_arr37_task538,medium
ARR37-C,sqlite,ext/fts3/fts3.c,2146,FP,"Compound assignment 'p += n' on non-array pointer 'p' -- p is 'char *p = *pp' where *pp is the caller-supplied preallocated output buffer pointer documented in fts3PoslistCopy/fts3ColumnlistCopy's header comment, i.e. a buffer/array pointer passed by reference",delta_arr37_task538,medium
ARR37-C,sqlite,ext/fts3/fts3.c,2204,FP,"Subscript operation 'p[1]' on non-array pointer 'p'. Subscript notation implies array access -- p is 'char *p = *pp' in fts3PutColNumber, the caller-supplied output buffer pointer for a position list (array-backed doclist buffer)",delta_arr37_task538,medium
ARR37-C,sqlite,ext/fts3/fts3.c,2206,FP,"Subscript operation 'p[n]' on non-array pointer 'p'. Subscript notation implies array access -- p is 'char *p = *pp' in fts3PutColNumber, the caller-supplied output buffer pointer for a position list (array-backed doclist buffer)",delta_arr37_task538,medium
