rule,idx,project,file,line,verdict,reason,provenance,confidence
MEM31-C,0,sqlite,ext/rtree/rtree.c,1,FP,apSqlParam points into the same single pBlob allocation and dup'd values are freed in matching loop in rtreeMatchArgFree,,high
PRE01-C,1,sqlite,ext/rtree/rtree.c,100,FP,standard offsetof idiom ST used only as cast target (ST*)0 where parenthesization is moot,,med
PRE01-C,2,sqlite,ext/rtree/rtree.c,100,FP,M used only as member-access target ->M parenthesizing changes nothing,,med
PRE00-C,3,sqlite,ext/rtree/rtree.c,270,TP,RTREE_MINCELLS evaluates parameter p twice in the division expression,,high
PRE12-C,4,sqlite,ext/rtree/rtree.c,270,TP,RTREE_MINCELLS evaluates p multiple times factual macro multiple-evaluation,,high
PRE01-C,5,sqlite,ext/rtree/rtree.c,332,FP,coord used only via member access coord.i parenthesization is semantically inert,,med
PRE00-C,6,sqlite,ext/rtree/rtree.c,334,TP,DCOORD evaluates coord twice once as coord.f once as coord.i,,high
PRE01-C,7,sqlite,ext/rtree/rtree.c,334,FP,coord used only via member access in DCOORD parenthesization inert,,med
PRE00-C,8,sqlite,ext/rtree/rtree.c,435,TP,MAX evaluates x twice in conditional expression,,high
PRE12-C,9,sqlite,ext/rtree/rtree.c,435,TP,MAX evaluates x multiple times factual,,high
PRE00-C,10,sqlite,ext/rtree/rtree.c,438,TP,MIN evaluates x twice in conditional expression,,high
PRE12-C,11,sqlite,ext/rtree/rtree.c,438,TP,MIN evaluates x multiple times factual,,high
PRE10-C,12,sqlite,ext/rtree/rtree.c,460,TP,testcase expands to bare if{} not do-while genuine dangling-else hazard,,med
DCL13-C,13,sqlite,ext/rtree/rtree.c,525,TP,readInt16 param p only read via p[0] p[1] const u8* would compile,,high
INT14-C,14,sqlite,ext/rtree/rtree.c,526,FP,INT14 advisory byte-assembly shifts in readInt16 deserializer are intentional,,med
EXP34-C,15,sqlite,ext/rtree/rtree.c,526,FP,p sourced from &pNode->zData internal helper never null,,high
INT14-C,16,sqlite,ext/rtree/rtree.c,538,FP,INT14 advisory byte-assembly shifts in readInt64 intentional,,med
MSC37-C,17,sqlite,ext/rtree/rtree.c,545,FP,readInt64 returns a value on every preprocessor branch,,high
INT14-C,18,sqlite,ext/rtree/rtree.c,560,FP,INT14 advisory byte-assembly shifts intentional,,med
INT13-C,19,sqlite,ext/rtree/rtree.c,578,FP,INT13 advisory writeInt16 i is non-negative int16 value masking well-defined,,low
INT14-C,20,sqlite,ext/rtree/rtree.c,578,FP,INT14 advisory bit-packing shift in writeInt16 intentional,,low
INT13-C,21,sqlite,ext/rtree/rtree.c,579,FP,INT13 advisory writeInt16 masking non-negative value,,low
DCL13-C,22,sqlite,ext/rtree/rtree.c,581,TP,writeCoord pCoord only read via pCoord->u const RtreeCoord* would compile,,high
DCL03-C,23,sqlite,ext/rtree/rtree.c,584,TP,assert(sizeof(RtreeCoord)==4) is constant expression static_assert applicable,,high
DCL03-C,24,sqlite,ext/rtree/rtree.c,585,TP,assert(sizeof(u32)==4) is constant expression static_assert applicable,,high
INT13-C,25,sqlite,ext/rtree/rtree.c,597,FP,INT13 misfire i in writeCoord is declared u32 unsigned not signed,,high
EXP33-C,26,sqlite,ext/rtree/rtree.c,597,FP,i assigned i=pCoord->u before any read in writeCoord generic branch,,high
INT13-C,27,sqlite,ext/rtree/rtree.c,598,FP,INT13 misfire i is u32 unsigned in writeCoord,,high
INT13-C,28,sqlite,ext/rtree/rtree.c,599,FP,INT13 misfire i is u32 unsigned in writeCoord,,high
INT13-C,29,sqlite,ext/rtree/rtree.c,600,FP,INT13 misfire i is u32 unsigned in writeCoord,,high
INT13-C,30,sqlite,ext/rtree/rtree.c,614,FP,INT13 advisory writeInt64 two's-complement byte serialization correct on all targets,,low
INT13-C,31,sqlite,ext/rtree/rtree.c,615,FP,INT13 advisory writeInt64 byte serialization intentional,,low
INT13-C,32,sqlite,ext/rtree/rtree.c,616,FP,INT13 advisory writeInt64 byte serialization intentional,,low
INT13-C,33,sqlite,ext/rtree/rtree.c,617,FP,INT13 advisory writeInt64 byte serialization intentional,,low
INT13-C,34,sqlite,ext/rtree/rtree.c,618,FP,INT13 advisory writeInt64 byte serialization intentional,,low
INT13-C,35,sqlite,ext/rtree/rtree.c,619,FP,INT13 advisory writeInt64 byte serialization intentional,,low
INT13-C,36,sqlite,ext/rtree/rtree.c,620,FP,INT13 advisory writeInt64 byte serialization intentional,,low
INT13-C,37,sqlite,ext/rtree/rtree.c,621,FP,INT13 advisory writeInt64 byte serialization intentional,,low
INT32-C,38,sqlite,ext/rtree/rtree.c,632,FP,nRef is a live reference count bounded by node references not attacker-driven to INT_MAX,,high
DCL13-C,39,sqlite,ext/rtree/rtree.c,639,TP,nodeZero reads only pRtree->iNodeSize const Rtree* would compile,,high
INT32-C,40,sqlite,ext/rtree/rtree.c,640,FP,iNodeSize bounded >=448 at connect undersize check no overflow in iNodeSize-2,,high
EXP34-C,41,sqlite,ext/rtree/rtree.c,640,FP,nodeZero callers always pass an allocated node p never null,,high
INT32-C,42,sqlite,ext/rtree/rtree.c,640,FP,iNodeSize bounded >=448 subtraction cannot overflow,,high
DCL13-C,43,sqlite,ext/rtree/rtree.c,656,TP,nodeHashLookup reads only pRtree->aHash const Rtree* would compile,,high
DCL30-C,44,sqlite,ext/rtree/rtree.c,659,FP,nodeHashLookup returns pointer variable p value a heap RtreeNode* not address of local,,high
EXP34-C,45,sqlite,ext/rtree/rtree.c,667,FP,nodeHashInsert caller passes valid node assert pNode->pNext==0,,high
DCL13-C,46,sqlite,ext/rtree/rtree.c,676,FP,nodeHashDelete mutates pRtree->aHash[] through pp so pRtree pointee is modified,,high
EXP34-C,47,sqlite,ext/rtree/rtree.c,678,FP,nodeHashDelete caller passes valid pNode,,high
INT30-C,48,sqlite,ext/rtree/rtree.c,694,FP,iNodeSize bounded sizeof small no unsigned wrap in malloc64 size,,high
INT32-C,49,sqlite,ext/rtree/rtree.c,696,FP,iNodeSize bounded memset size cannot overflow,,high
