rule,idx,project,file,line,verdict,reason,provenance,confidence
API02-C,0,sqlite,src/memdb.c,126,FP,"memdbFullPathname is a sqlite3_vfs xFullPathname slot; signature fixed by sqlite3_vfs typedef, cannot add size_t param",,high
API02-C,1,sqlite,src/memdb.c,128,FP,memdbDlError is sqlite3_vfs xDlError slot; signature fixed by typedef,,high
API02-C,2,sqlite,src/memdb.c,131,FP,memdbRandomness is sqlite3_vfs xRandomness slot; signature fixed by typedef,,high
CON03-C,3,sqlite,src/memdb.c,137,FP,memdb_vfs is a static VFS registered once and accessed under SQLITE_MUTEX_STATIC_VFS1 contract; not a raw shared mutable,,high
DCL13-C,4,sqlite,src/memdb.c,195,FP,memdbClose stores p and decrements p->nRef and frees p; pFile pointee is mutated so const is wrong (also xClose typedef slot),,high
EXP34-C,5,sqlite,src/memdb.c,196,FP,p=((MemFile*)pFile)->pStore is non-null by VFS contract (open always sets pStore); deref guarded by invariant,,high
DCL13-C,6,sqlite,src/memdb.c,198,FP,same memdbEnter/Leave helper; param fixed by use as MemStore* and p is mutated by enter/leave,,high
EXP34-C,7,sqlite,src/memdb.c,199,FP,p->pMutex deref under VFS invariant that pStore is set; not a reachable null,,high
DCL13-C,8,sqlite,src/memdb.c,210,FP,"memdbClose mutates *p (nRef--, frees); pFile cannot be const and is an xClose slot",,high
EXP33-C,9,sqlite,src/memdb.c,218,FP,memdb_g is a static struct with static-storage zero init; EXP33 misfire on file-scope static,,high
INT32-C,10,sqlite,src/memdb.c,235,FP,"p->nRef-- bounded by refcount logic (nRef>=1 here); decrement to <=0 is intended close path, no INT_MIN reach",,high
DCL40-C,11,sqlite,src/memdb.c,252,FP,"memdbRead matches forward decl at line 106 exactly; sqlite_int64 vs sqlite3_int64 are identical typedefs, not incompatible",,high
DCL13-C,12,sqlite,src/memdb.c,253,FP,memdbRead is xRead slot; signature fixed by sqlite3_io_methods typedef and p is mutated via memdbEnter,,high
INT31-C,13,sqlite,src/memdb.c,261,FP,iAmt is pager IO amount bounded to page/sector size >0; memset cast benign and never negative in practice,,high
INT31-C,14,sqlite,src/memdb.c,262,FP,iOfst<p->sz guard precedes this memcpy so p->sz-iOfst is positive; size_t conversion safe,,high
INT32-C,15,sqlite,src/memdb.c,262,FP,"p->sz-iOfst guarded positive by if(iOfst<p->sz); i64 arithmetic within allocation, no overflow",,high
INT32-C,16,sqlite,src/memdb.c,262,FP,"p->sz - iOfst with iOfst<p->sz proven; both i64, subtraction cannot overflow",,high
INT31-C,17,sqlite,src/memdb.c,266,FP,on SQLITE_OK path iOfst+iAmt<=p->sz<=szAlloc so iAmt bytes in bounds; iAmt non-negative IO amount,,high
INT32-C,18,sqlite,src/memdb.c,282,FP,"newSz*=2 bounded by prior check newSz<=szMax (<=mxMemdbSize ~2^31) and clamped to szMax after; i64, no overflow",,high
DCL40-C,19,sqlite,src/memdb.c,294,FP,memdbWrite matches forward decl line 107; sqlite_int64/sqlite3_int64 identical typedefs,,high
